#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
5380	spectra_filtered.mgf	*..*		:639	49880	-1	0	175.119	1	0.999588	0	0	313.8	22880000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf5380	-1	MONA.mgf	0.0				8	0	0.0	175.119	0	CCMSLIB00006678909
1407	spectra_filtered.mgf	*..*		:639	49880	-1	0	175.119	1	0.999255	0	0	313.8	2293000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf1407	-1	MONA.mgf	0.0				8	0	0.0	175.119	0	CCMSLIB00006678909
4822	spectra_filtered.mgf	*..*		:154	3126	-1	0	182.081	1	0.99918	0	0	51351600.0	11700000.0	Spectral Match to L-Tyrosine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf4822	-1	GNPS-NIST14-MATCHES.mgf	1.67604				7	0	0.000305176	182.081	0	CCMSLIB00003137613
4494	spectra_filtered.mgf	*..*		:10428	10428	-1	0	147.077	1	0.999011	0	0	16414.1	3929000.0	Massbank:PB000467 Glutamine|2,5-diamino-5-oxopentanoic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf4494	-1	MASSBANK.mgf	3.3199				6	0	0.000488281	147.077	0	CCMSLIB00000221812
240	spectra_filtered.mgf	*..*		:1302	50543	-1	0	183.086	1	0.998995	0	0	216.5	4430000.0	MANNITOL M+H	MONA	temp/spectra_filtered.mgf240	-1	MONA.mgf	1.66684				10	0	0.000305176	183.086	0	CCMSLIB00006679572
5570	spectra_filtered.mgf	*..*		:73	661	-1	0	156.077	1	0.998676	0	0	118.848	7448000.0	Histidine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf5570	-1	CMMC-LIBRARY.mgf	1.27094				6	0	0.000198364	156.077	0	CCMSLIB00012471675
4596	spectra_filtered.mgf	*..*		:639	49880	-1	0	175.119	1	0.998627	0	0	313.8	2181000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf4596	-1	MONA.mgf	0.0				8	0	0.0	175.119	0	CCMSLIB00006678909
4805	spectra_filtered.mgf	*..*		:458	904	-1	0	143.082	1	0.998622	0	0	133722000.0	1816700.0	ectoine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf4805	-1	BERKELEY-LAB.mgf	2.77274				6	0	0.000396729	143.082	0	CCMSLIB00010102892
4055	spectra_filtered.mgf	*..*		:73	661	-1	0	156.077	1	0.998571	0	0	118.848	1067700.0	Histidine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf4055	-1	CMMC-LIBRARY.mgf	1.85753				6	0	0.000289917	156.077	0	CCMSLIB00012471675
2287	spectra_filtered.mgf	*..*		:1302	50543	-1	0	183.086	1	0.99848	0	0	216.5	911900.0	MANNITOL M+H	MONA	temp/spectra_filtered.mgf2287	-1	MONA.mgf	0.583395				10	0	0.000106812	183.086	0	CCMSLIB00006679572
868	spectra_filtered.mgf	*..*		:1	5684	-1	0	205.097	1	0.997962	0	0	1198300000.0	5183900.0	L-Tryptophan M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf868	-1	GNPS-LIBRARY.mgf	0.520785				8	0	0.000106812	205.097	0	CCMSLIB00005716772
5523	spectra_filtered.mgf	*..*		:47049	47049	-1	0	150.058	1	0.997761	0	0	291.008	7380000.0	L-methionine [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf5523	-1	MSNLIB-POSITIVE.mgf	3.35564				7	0	0.00050354	150.059	0	CCMSLIB00012361998
5391	spectra_filtered.mgf	*..*		:1	893	-1	0	154.086	1	0.997715	0	0	131.798	20936000.0	Dopamine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf5391	-1	CMMC-LIBRARY.mgf	1.98056				8	0	0.000305176	154.086	0	CCMSLIB00012471907
3997	spectra_filtered.mgf	*..*		:301	14161	-1	0	165.076	1	0.99731	0	0	73527700.0	536000.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf3997	-1	GNPS-LIBRARY.mgf	1.20165				9	0	0.000198364	165.076	0	CCMSLIB00012176426
5167	spectra_filtered.mgf	*..*		:868	50109	-1	0	220.118	1	0.99675	0	0	238.1	1065300.0	PANTOTHENIC ACID M+H	MONA	temp/spectra_filtered.mgf5167	-1	MONA.mgf	0.415926				11	0	9.15527e-05	220.118	0	CCMSLIB00006679138
2367	spectra_filtered.mgf	*..*		:153	3643	-1	0	165.051	1	0.99669	0	0	2051810.0	2323000.0	Spectral Match to L-Tyrosine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2367	-1	GNPS-NIST14-MATCHES.mgf	22.4651				6	0	0.00370789	165.055	0	CCMSLIB00003138130
5641	spectra_filtered.mgf	*..*		:153	3643	-1	0	165.051	1	0.99669	0	0	2051810.0	2323000.0	Spectral Match to L-Tyrosine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf5641	-1	GNPS-NIST14-MATCHES.mgf	22.4651				6	0	0.00370789	165.055	0	CCMSLIB00003138130
4895	spectra_filtered.mgf	*..*		:21	459	-1	0	152.07	1	0.996454	0	0	4413260.0	3033800.0	NORADRENALINE M-H2O+H	GNPS-MSMLS	temp/spectra_filtered.mgf4895	-1	GNPS-MSMLS.mgf	3.2109				6	0	0.000488281	152.07	0	CCMSLIB00005464210
4809	spectra_filtered.mgf	*..*		:1248	50489	-1	0	205.097	1	0.996321	0	0	217.2	1872100.0	TRYPTOPHAN M+H	MONA	temp/spectra_filtered.mgf4809	-1	MONA.mgf	0.967173				8	0	0.000198364	205.097	0	CCMSLIB00006679518
1075	spectra_filtered.mgf	*..*		:301	14161	-1	0	165.076	1	0.995588	0	0	73527700.0	2970000.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf1075	-1	GNPS-LIBRARY.mgf	1.20165				9	0	0.000198364	165.076	0	CCMSLIB00012176426
711	spectra_filtered.mgf	*..*		:700	49941	-1	0	171.029	1	0.995451	0	0	394.9	1845500.0	GALLIC ACID M+H	MONA	temp/spectra_filtered.mgf711	-1	MONA.mgf	1.24905				7	0	0.000213623	171.029	0	CCMSLIB00006678970
3625	spectra_filtered.mgf	*..*		:118	3330	-1	0	148.04	1	0.995197	0	0	16374900.0	465100.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3625	-1	GNPS-LIBRARY.mgf	137.807				6	0	0.020401	148.06	0	CCMSLIB00003740029
2602	spectra_filtered.mgf	*..*		:471	4681	-1	0	188.07	1	0.995087	0	0	10238500.0	4149000.0	Spectral Match to Abrine from NIST14 M+H-CH3NH2	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2602	-1	GNPS-NIST14-MATCHES.mgf	3.16421				8	0	0.000595093	188.071	0	CCMSLIB00003139168
5561	spectra_filtered.mgf	*..*		:20	565	-1	0	204.123	1	0.994757	0	0	33468200.0	7681000.0	O-ACETYLCARNITINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf5561	-1	GNPS-MSMLS.mgf	0.971788				8	0	0.000198364	204.123	0	CCMSLIB00005464316
2876	spectra_filtered.mgf	*..*		:471	4681	-1	0	188.07	1	0.99466	0	0	10238500.0	1033500.0	Spectral Match to Abrine from NIST14 M+H-CH3NH2	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2876	-1	GNPS-NIST14-MATCHES.mgf	3.16421				8	0	0.000595093	188.071	0	CCMSLIB00003139168
5195	spectra_filtered.mgf	*..*		:29	921	-1	0	154.086	1	0.99446	0	0	130.902	1610400.0	Dopamine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf5195	-1	CMMC-LIBRARY.mgf	1.98056				6	0	0.000305176	154.086	0	CCMSLIB00012471935
3316	spectra_filtered.mgf	*..*		:14757	12814	-1	0	342.264	1	0.993997	0	0	142.177	588700.0	TOFA [M+NH4]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3316	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.624147				9	0	0.000213623	342.264	0	CCMSLIB00012267127
4705	spectra_filtered.mgf	*..*		:1701	50942	-1	0	291.086	1	0.993882	0	0	206.3	5490000.0	EPICATECHIN M+H	MONA	temp/spectra_filtered.mgf4705	-1	MONA.mgf	3.04037				11	0	0.00088501	291.085	0	CCMSLIB00006679971
5223	spectra_filtered.mgf	*..*		:1249	50490	-1	0	189.16	1	0.993457	0	0	249.8	1206700.0	NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE M+H	MONA	temp/spectra_filtered.mgf5223	-1	MONA.mgf	1.04866				6	0	0.000198364	189.16	0	CCMSLIB00006679519
371	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.993206	0	0	17421400.0	3552600.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf371	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.56448				6	0	0.000305176	195.065	0	CCMSLIB00011906145
5144	spectra_filtered.mgf	*..*		:126	3752	-1	0	137.046	1	0.993095	0	0	6474210.0	612900.0	Spectral Match to Hypoxanthine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf5144	-1	GNPS-NIST14-MATCHES.mgf	0.779384				7	0	0.000106812	137.046	0	CCMSLIB00003138239
3250	spectra_filtered.mgf	*..*		:118	3330	-1	0	148.04	1	0.992514	0	0	16374900.0	2843900.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3250	-1	GNPS-LIBRARY.mgf	138.529				6	0	0.0205078	148.061	0	CCMSLIB00003740029
3355	spectra_filtered.mgf	*..*		:1145	50386	-1	0	184.074	1	0.992284	0	0	99.2	3600700.0	PHOSPHOCHOLINE M	MONA	temp/spectra_filtered.mgf3355	-1	MONA.mgf	3.81316				6	0	0.000701904	184.073	0	CCMSLIB00006679415
2794	spectra_filtered.mgf	*..*		:1574	267	-1	0	225.09	1	0.99222	0	0	4567510.0	1232000.0	3-HYDROXYKYNURENINE M+H	GNPS-EMBL-MCF	temp/spectra_filtered.mgf2794	-1	GNPS-EMBL-MCF.mgf	13.2868				9	0	0.00299072	225.087	0	CCMSLIB00000578050
390	spectra_filtered.mgf	*..*		:301	14161	-1	0	165.076	1	0.992102	0	0	73527700.0	602800.0	Mannitol M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf390	-1	GNPS-LIBRARY.mgf	0.55461				9	0	9.15527e-05	165.076	0	CCMSLIB00012176426
3434	spectra_filtered.mgf	*..*		:6626	6626	-1	0	205.195	1	0.991997	0	0	179871000.0	267000.0	()-alpha-Bisabolol - 40.0 eV Unknown	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf3434	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	0.0				6	0	0.0	205.195	0	CCMSLIB00006123932
4499	spectra_filtered.mgf	*..*		:19	383	-1	0	162.112	1	0.991968	0	0	19049500.0	1038800.0	L-CARNITINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf4499	-1	GNPS-MSMLS.mgf	3.10612				6	0	0.00050354	162.113	0	CCMSLIB00005464134
3517	spectra_filtered.mgf	*..*		:659	1413	-1	0	288.253	1	0.991759	0	0	293681000.0	794700.0	MassbankEU:SM876702 Lauryl diethanolamide|N,N-bis(2-hydroxyethyl)dodecanamide [M+H]+	MASSBANKEU	temp/spectra_filtered.mgf3517	-1	MASSBANKEU.mgf	1.05871				8	0	0.000305176	288.253	0	CCMSLIB00000842020
3490	spectra_filtered.mgf	*..*		:154	3126	-1	0	182.081	1	0.991625	0	0	51351600.0	893700.0	Spectral Match to L-Tyrosine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf3490	-1	GNPS-NIST14-MATCHES.mgf	1.67604				7	0	0.000305176	182.081	0	CCMSLIB00003137613
2193	spectra_filtered.mgf	*..*		:4100	55224	-1	0	258.11	1	0.991035	0	0	114.7	1145100.0	SN-GLYCERO-3-PHOSPHOCHOLINE M+H	MONA	temp/spectra_filtered.mgf2193	-1	MONA.mgf	1.06411				6	0	0.000274658	258.11	0	CCMSLIB00006684253
2625	spectra_filtered.mgf	*..*		:3184	14174	-1	0	163.04	1	0.990839	0	0	122477000.0	3215800.0	Caffeic Acid M+H-H2O	GNPS-LIBRARY	temp/spectra_filtered.mgf2625	-1	GNPS-LIBRARY.mgf	6.0833				8	0	0.000991821	163.039	0	CCMSLIB00012176439
4074	spectra_filtered.mgf	*..*		:23469	23915	-1	0	149.132	1	0.99076	0	0	844177.0	67200.0	(1R)-(-)-Nopol CollisionEnergy:205060 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf4074	-1	BERKELEY-LAB.mgf	3.37647				6	0	0.00050354	149.133	0	CCMSLIB00010125905
2958	spectra_filtered.mgf	*..*		:3792	1512	-1	0	163.038	1	0.990487	0	0	7916430.0	2666400.0	Spectral Match to Rosmarinic acid from NIST14 M+H-C9H10O5	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf2958	-1	GNPS-NIST14-MATCHES.mgf	6.73851				6	0	0.00109863	163.039	0	CCMSLIB00003135999
4203	spectra_filtered.mgf	*..*		:9146	9592	-1	0	177.055	1	0.990425	0	0	45811500.0	9776000.0	ferulic acid CollisionEnergy:102040 M+H-H2O	BERKELEY-LAB	temp/spectra_filtered.mgf4203	-1	BERKELEY-LAB.mgf	2.24071				7	0	0.000396729	177.055	0	CCMSLIB00010111580
3998	spectra_filtered.mgf	*..*		:1	12004	-1	0	449.108	1	0.990354	0	0	2060300.0	3817300.0	Luteolin-7-O-glucoside M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3998	-1	GNPS-LIBRARY.mgf	1.56289				7	0	0.000701904	449.107	0	CCMSLIB00010012030
3666	spectra_filtered.mgf	*..*		:3194	54318	-1	0	204.123	1	0.990212	0	0	141.1	1183200.0	ACETYL-CARNITINE M+H	MONA	temp/spectra_filtered.mgf3666	-1	MONA.mgf	0.448517				6	0	9.15527e-05	204.123	0	CCMSLIB00006683347
