CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
5005	5515	6	0.9412	-26.016
5088	5515	6	0.9435	-26.016
5229	5515	6	0.9677	-0.000
5343	5515	6	0.9416	-26.016
5515	5649	6	0.9666	0.001
1930	5515	6	0.9412	-26.016
5005	5229	6	0.9609	-26.016
5088	5229	6	0.9618	-26.016
5229	5343	6	0.9668	26.016
5229	5649	6	0.987	0.000
1930	5229	6	0.9609	-26.016
5343	5580	6	0.9089	29.038
5005	5088	6	0.9742	0.000
5088	5343	6	0.9755	0.000
5088	5385	6	0.8835	-104.026
5088	5545	6	0.8952	-14.016
5088	5649	6	0.9668	-26.016
1930	5088	6	0.9742	-0.000
780	2911	6	0.8155	-28.031
2911	4834	6	0.8651	-14.052
4428	4834	6	0.7902	-15.036
780	4834	6	0.7885	-42.083
1621	2403	6	0.7328	31.972
5005	5545	6	0.8945	-14.016
5343	5545	6	0.9071	-14.016
5385	5545	6	0.827	90.010
5545	5618	6	0.771	47.087
1930	5545	6	0.8945	-14.016
5005	5649	6	0.9627	-26.016
5343	5649	6	0.968	-26.016
1930	5649	6	0.9627	-26.016
1930	5005	6	1.0	-0.000
1930	5343	6	0.9773	-0.000
1930	5385	6	0.8766	-104.026
5005	5343	6	0.9773	0.000
5005	5385	6	0.8766	-104.026
4428	5127	6	0.7468	-162.032
664	1193	6	0.9063	-0.000
5343	5385	6	0.8936	-104.026
2886	5127	6	0.8022	-0.000
5127	5385	6	0.8296	15.995
1621	5618	6	0.7785	-34.094
664	5127	6	0.737	-2.016
483	1729	7	0.9849	0.000
951	1729	7	0.9505	3.994
1729	1730	7	0.9527	25.020
1729	2594	7	0.973	12.000
1729	3851	7	0.9318	12.000
1729	3930	7	0.9824	26.016
1729	4423	7	1.0	-0.000
1729	4485	7	0.9824	26.016
1729	4948	7	0.9694	42.010
1380	1443	7	0.875	20.063
1443	5102	7	0.8914	-0.000
3851	3930	7	0.9285	14.016
3930	4423	7	0.9824	-26.016
3930	4485	7	1.0	-0.000
3930	4948	7	0.9788	15.994
483	3930	7	0.9838	26.016
951	3930	7	0.9524	30.011
1730	3930	7	0.9706	0.996
2503	3930	7	0.9475	-21.947
2594	3930	7	0.9747	14.016
483	951	7	0.9465	-3.994
483	1730	7	0.9549	25.021
483	2594	7	0.9693	12.000
483	4423	7	0.9849	0.000
483	4485	7	0.9838	26.016
483	4948	7	0.9661	42.011
123	560	7	0.9272	-49.978
542	560	7	0.9518	-15.994
560	2348	7	0.9344	63.995
560	2503	7	0.9334	35.963
560	3337	7	0.92	-23.017
560	3851	7	0.9514	-0.000
123	2503	7	0.9388	-14.016
542	2503	7	0.9476	19.969
1730	2503	7	0.9447	22.943
2348	2503	7	0.9433	-28.032
2503	2594	7	0.9361	-35.963
2503	3851	7	0.9395	-35.963
2503	4485	7	0.9475	-21.947
2503	4948	7	0.953	-5.953
2688	3337	7	0.892	-60.995
3851	4423	7	0.9318	-12.001
3851	4485	7	0.9285	14.015
3851	4948	7	0.9359	30.010
123	3851	7	0.9229	-49.978
542	3851	7	0.9718	-15.994
2348	3851	7	0.9297	-63.995
123	542	7	0.9328	-33.984
542	2348	7	0.9361	48.001
542	3337	7	0.9274	-39.011
4423	4948	7	0.9694	42.011
4485	4948	7	0.9788	15.995
951	4948	7	0.9441	46.005
1730	4948	7	0.9559	16.990
2594	4948	7	0.9681	30.011
951	5102	7	0.8983	19.988
123	2348	7	0.9413	14.016
4423	4485	7	0.9824	26.016
951	4485	7	0.9524	30.010
1730	4485	7	0.9706	0.995
2594	4485	7	0.9747	14.016
951	1730	7	0.9309	29.015
951	2594	7	0.9512	15.994
951	4423	7	0.9505	3.994
1730	2594	7	0.9549	-13.021
2594	4423	7	0.973	-12.000
1730	4423	7	0.9527	-25.021
968	1464	9	0.862	-86.000
1464	5664	9	0.8695	18.010
4678	5046	9	0.8805	26.016
4762	5046	9	0.9376	-0.000
4977	5046	9	0.9267	0.000
5046	5285	9	0.9393	0.000
