CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3400	3428	-304.080	0.000	0.8358	0.6985	1
3400	3438	-18.084	0.000	0.8183	0.6242	1
3400	3622	-18.011	0.000	0.9173	0.7828	1
3400	3631	39.994	0.000	0.8517	0.6771	1
3400	3766	-106.042	0.000	0.8019	0.5699	1
3400	3852	-106.042	0.000	0.7983	0.6611	1
3400	3866	-106.042	0.000	0.7865	0.5387	1
3400	3868	-262.069	0.000	0.8540	0.7176	1
3400	3874	-174.052	0.000	0.7561	0.7522	1
3400	3931	-280.079	0.000	0.8528	0.7474	1
3400	3932	-223.069	0.000	0.8021	0.7294	1
3400	3942	-162.053	0.000	0.8049	0.7773	1
3400	3969	-250.070	0.000	0.7099	0.5171	1
3400	4052	-297.107	0.000	0.7766	0.7108	1
3400	4089	-200.069	0.000	0.7335	0.5254	1
3400	4113	-162.053	0.000	0.7897	0.7785	1
3400	4131	-192.063	0.000	0.8378	0.7839	1
3400	4199	-297.106	0.000	0.7483	0.6224	1
3400	4203	-14.016	0.000	0.8558	0.7165	1
3400	4309	-192.064	0.000	0.8165	0.7839	1
3400	4325	-209.055	0.000	0.7062	0.5222	1
3400	4357	-354.096	0.000	0.8105	0.7262	1
3400	4389	-141.079	0.000	0.7308	0.5506	1
3400	4399	24.000	0.000	0.8385	0.7898	1
3400	4465	-18.011	0.000	0.9190	0.7388	1
3400	4541	-371.124	0.000	0.7786	0.6611	1
3400	4547	-0.000	0.000	0.9805	0.8089	1
3400	4548	-94.053	0.000	0.7668	0.4846	1
3400	4573	-161.143	0.000	0.7932	0.7246	1
3400	4605	-0.000	0.000	0.9805	0.8355	1
3400	4617	-18.011	0.000	0.9129	0.7845	1
3400	4624	-192.064	0.000	0.7609	0.6035	1
3400	4671	-0.000	0.000	0.9883	0.8933	1
3400	4725	-336.085	0.000	0.7641	0.6955	1
3400	4733	-220.059	0.000	0.8324	0.7031	1
3400	4802	-18.011	0.000	0.9207	0.8192	1
3400	4803	-255.095	0.000	0.7202	0.5404	1
3400	4895	10.968	0.000	0.8303	0.7632	1
3400	4915	15.995	0.000	0.7053	0.4958	1
3400	4931	-887.252	0.000	0.8090	0.6581	1
3400	4963	-106.040	0.000	0.7922	0.6542	1
3400	4990	-339.117	0.000	0.8135	0.6735	1
3400	4999	-159.126	0.000	0.7470	0.6220	1
3400	5049	-16.104	0.000	0.7278	0.5813	1
3400	5053	25.979	0.000	0.8121	0.6926	1
3400	5074	41.974	0.000	0.7352	0.6078	1
3400	5090	25.979	0.000	0.7835	0.6670	1
3400	5124	-14.016	0.000	0.8147	0.6072	1
3400	5136	-14.016	0.000	0.8550	0.7879	1
3400	5174	8.989	0.000	0.7415	0.5467	1
3400	5175	-248.054	0.000	0.7468	0.5872	1
3400	5188	-954.173	0.000	0.7157	0.3910	1
3400	5209	-354.096	0.000	0.8484	0.7578	1
3400	5280	29.937	0.000	0.7829	0.5935	1
3400	5316	-248.054	0.000	0.7577	0.5776	1
3400	5324	-73.053	0.000	0.7890	0.6936	1
3400	5369	-14.016	0.000	0.8490	0.7131	1
3400	5428	-106.042	0.000	0.8050	0.6410	1
3400	5454	-104.027	0.000	0.7685	0.6199	1
3400	5456	28.978	0.000	0.7560	0.5809	1
3400	5492	-34.079	0.000	0.7570	0.6063	1
3400	5494	-85.862	0.000	0.7253	0.5902	1
3400	5598	-336.085	0.000	0.7759	0.6519	1
3401	5178	296.252	0.000	0.8736	0.5058	1
3403	3528	27.995	0.000	0.7009	0.7184	1
3403	3700	-32.026	0.000	0.9009	0.6395	1
3403	4117	-22.057	0.000	0.7026	0.6649	1
3403	4378	-22.057	0.000	0.7325	0.6758	1
3403	4827	-50.016	0.000	0.7149	0.5611	1
3403	5030	0.000	0.000	0.9259	0.7337	1
3403	5049	1.979	0.000	0.7048	0.7015	1
3403	5071	27.995	0.000	0.7372	0.6979	1
3403	5124	4.068	0.000	0.7880	0.7087	1
3403	5246	44.026	0.000	0.7127	0.6147	1
3404	3826	144.042	0.000	0.7651	0.5837	1
3404	5199	161.069	0.000	0.7153	0.4371	1
3404	5220	161.069	0.000	0.7582	0.5348	1
3404	5275	-18.011	0.000	0.7619	0.5402	1
3405	4200	50.016	0.000	0.8195	0.7515	1
3406	3422	-92.173	0.000	0.7272	0.4664	1
3406	3465	-44.026	0.000	0.8716	0.6519	1
3406	3600	176.105	0.000	0.8420	0.6715	1
3406	3660	281.184	0.000	0.7932	0.5010	1
3406	3704	562.368	0.000	0.7641	0.4404	1
3406	3724	237.158	0.000	0.7776	0.4774	1
3406	3790	-88.053	0.000	0.8712	0.6822	1
3406	4029	-132.078	0.000	0.8657	0.6661	1
3406	4274	-176.105	0.000	0.8674	0.6362	1
3406	4313	44.025	0.000	0.8903	0.7295	1
3406	4335	193.131	0.000	0.8584	0.6486	1
3409	3438	52.031	0.000	0.7194	0.5725	1
3409	3524	-31.990	0.000	0.7434	0.7100	1
3409	3526	-106.100	0.000	0.7667	0.7102	1
3409	3528	80.026	0.000	0.7178	0.4924	1
3409	3648	-44.063	0.000	0.7343	0.6603	1
3409	3743	11.964	0.000	0.8186	0.6672	1
3409	3763	-271.163	0.000	0.7041	0.5993	1
3409	3768	-45.094	0.000	0.7016	0.6658	1
3409	3791	-120.115	0.000	0.7549	0.7007	1
3409	3893	-70.078	0.000	0.7610	0.5699	1
3409	3919	-13.979	0.000	0.7321	0.5072	1
3409	4154	-11.964	0.000	0.8375	0.7236	1
3409	4165	5.989	0.000	0.7479	0.6850	1
3409	4168	-36.073	0.000	0.7055	0.5542	1
3409	4171	-69.094	0.000	0.7204	0.7195	1
3409	4177	-70.078	0.000	0.7838	0.6206	1
3409	4196	-60.058	0.000	0.8282	0.8181	1
3409	4225	2.016	0.000	0.7793	0.6031	1
3409	4245	6.047	0.000	0.7018	0.7381	1
3409	4282	11.964	0.000	0.7090	0.4966	1
3409	4286	4.031	0.000	0.8177	0.7710	1
3409	4367	-70.078	0.000	0.7654	0.7459	1
3409	4457	-11.963	0.000	0.8289	0.8330	1
3409	4504	-72.094	0.000	0.7082	0.5976	1
3409	4510	-44.063	0.000	0.7293	0.7590	1
3409	4514	-197.090	0.000	0.7041	0.3795	1
3409	4527	-42.047	0.000	0.8238	0.8503	1
3409	4544	-11.964	0.000	0.7145	0.5699	1
3409	4577	-120.115	0.000	0.7131	0.6099	1
3409	4597	13.979	0.000	0.8151	0.6558	1
3409	4661	-11.964	0.000	0.7315	0.6557	1
3409	4743	26.016	0.000	0.7911	0.8440	1
3409	4764	-50.000	0.000	0.8066	0.7709	1
3409	4827	2.016	0.000	0.8646	0.6780	1
3409	4845	-15.995	0.000	0.7092	0.5256	1
3409	4859	-298.215	0.000	0.7047	0.6780	1
3409	4878	-28.068	0.000	0.7596	0.6707	1
3409	4889	-58.042	0.000	0.8033	0.8010	1
3409	4974	-142.115	0.000	0.7616	0.6846	1
3409	5049	54.010	0.000	0.7548	0.4992	1
3409	5071	80.026	0.000	0.7306	0.5216	1
