CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	290	304.058	0.000	0.7112	0.4523	1
1	799	134.037	0.000	0.7245	0.5374	1
1	855	-168.006	0.000	0.7312	0.4958	1
1	961	-15.994	0.000	0.8400	0.4888	1
1	1366	286.048	0.000	0.7332	0.3918	1
1	1697	286.047	0.000	0.7492	0.4693	1
1	2406	-31.991	0.000	0.8152	0.4661	1
3	439	-27.995	0.000	0.7485	0.4973	1
3	558	14.016	0.000	0.8634	0.7384	1
3	1156	17.027	0.000	0.9244	0.6982	1
4	46	320.193	0.000	0.8697	0.5557	1
4	64	318.182	0.000	0.8928	0.6123	1
4	127	342.183	0.000	0.7278	0.5890	1
4	165	386.245	0.000	0.8750	0.5805	1
4	235	83.949	0.000	0.9311	0.6396	1
4	391	334.214	0.000	0.9050	0.6066	1
4	396	370.214	0.000	0.8372	0.5027	1
4	401	74.001	0.000	0.9500	0.6645	1
4	419	280.167	0.000	0.7118	0.5665	1
4	428	274.156	0.000	0.9122	0.6287	1
4	429	93.970	0.000	0.9198	0.6396	1
4	497	150.068	0.000	0.8464	0.4999	1
4	498	322.212	0.000	0.9118	0.6396	1
4	506	324.230	0.000	0.8346	0.5503	1
4	641	2.016	0.000	0.9155	0.6187	1
4	662	107.948	0.000	0.9481	0.6645	1
4	700	272.140	0.000	0.8831	0.5978	1
4	777	298.214	0.000	0.8262	0.5065	1
4	786	85.963	0.000	0.8373	0.5970	1
4	795	258.125	0.000	0.9104	0.6123	1
4	887	296.198	0.000	0.9277	0.6294	1
4	928	107.948	0.000	0.9231	0.6567	1
4	944	79.955	0.000	0.9143	0.5805	1
4	975	174.068	0.000	0.9125	0.5877	1
4	1021	370.214	0.000	0.8959	0.6123	1
4	1089	246.124	0.000	0.8772	0.5456	1
4	1202	47.997	0.000	0.8691	0.5805	1
4	1233	282.184	0.000	0.7481	0.5710	1
4	1272	91.956	0.000	0.8955	0.5710	1
4	1275	79.954	0.000	0.8563	0.5059	1
4	1315	232.106	0.000	0.8478	0.5673	1
4	1382	105.933	0.000	0.9324	0.6645	1
4	1451	398.252	0.000	0.8639	0.5975	1
4	1489	356.199	0.000	0.8797	0.5710	1
4	1504	332.198	0.000	0.7735	0.5840	1
4	1547	-235.134	0.000	0.8857	0.5621	1
4	1590	332.199	0.000	0.9233	0.6396	1
4	1826	244.109	0.000	0.9084	0.6294	1
4	1847	286.157	0.000	0.8890	0.6115	1
4	1873	-211.134	0.000	0.8474	0.5372	1
4	1887	280.166	0.000	0.9328	0.6580	1
4	2006	14.014	0.000	0.9117	0.5805	1
4	2035	370.214	0.000	0.8981	0.6449	1
4	2057	342.183	0.000	0.7555	0.5717	1
4	2069	107.954	0.000	0.9483	0.6396	1
4	2110	306.183	0.000	0.9124	0.6645	1
4	2125	316.168	0.000	0.9271	0.6396	1
4	2127	150.068	0.000	0.8772	0.5710	1
4	2330	95.985	0.000	0.9189	0.5805	1
4	2362	244.109	0.000	0.8347	0.5145	1
4	2539	-187.133	0.000	0.8804	0.5372	1
4	2654	124.052	0.000	0.8979	0.5874	1
4	2679	328.167	0.000	0.8756	0.5710	1
4	2686	252.135	0.000	0.8571	0.5631	1
4	2742	218.091	0.000	0.8264	0.5414	1
4	2753	246.124	0.000	0.8943	0.6123	1
4	2807	346.215	0.000	0.8892	0.5710	1
4	2841	294.182	0.000	0.8866	0.6121	1
4	2869	-20.041	0.000	0.8887	0.6035	1
4	2873	122.948	0.000	0.8717	0.5665	1
4	2920	342.183	0.000	0.8864	0.6114	1
4	2933	122.948	0.000	0.8967	0.6287	1
4	2978	294.183	0.000	0.9074	0.5710	1
4	2987	274.120	0.000	0.8895	0.5710	1
4	3042	360.230	0.000	0.8455	0.5415	1
4	3090	93.970	0.000	0.9198	0.6396	1
4	3096	324.230	0.000	0.9018	0.6123	1
4	3169	372.230	0.000	0.9013	0.6560	1
4	3180	-139.131	0.000	0.7144	0.5513	1
4	3222	320.200	0.000	0.8652	0.5275	1
4	3226	282.183	0.000	0.9326	0.6396	1
4	3230	336.229	0.000	0.9171	0.6123	1
4	3238	26.016	0.000	0.9012	0.6123	1
4	3277	74.000	0.000	0.9500	0.6645	1
4	3296	258.162	0.000	0.8208	0.5534	1
4	3340	148.053	0.000	0.8663	0.5710	1
4	3349	254.152	0.000	0.9268	0.6563	1
4	3355	668.465	0.000	0.9382	0.6396	1
4	3395	43.955	0.000	0.9284	0.6396	1
4	3427	93.969	0.000	0.9036	0.6123	1
4	3543	242.168	0.000	0.8972	0.6123	1
4	3550	314.152	0.000	0.7632	0.6225	1
4	3557	581.458	0.000	0.7716	0.4959	1
4	3644	278.151	0.000	0.8745	0.5557	1
4	3650	83.948	0.000	0.9307	0.6560	1
4	3663	258.125	0.000	0.8777	0.5805	1
4	3698	110.070	0.000	0.8977	0.5710	1
