feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1000	6.0	0.6360402	ISDB	http://www.wikidata.org/entity/Q3266675	FXLOVSHXALFLKQ-UHFFFAOYSA-N	InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3	Cc1ccc(C=O)cc1	C8H8O	nan	120.057514876	4-Methylbenzaldehyde	FXLOVSHXALFLKQ	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	nan	8	1	11.044160842895508	1	546	Shikimates and Phenylpropanoids	1.0	Isoflavonoids	1.0	Cinnamic acids and derivatives	1.0
1003	1.0	0.553874	ISDB	http://www.wikidata.org/entity/Q104400228	WWOKLCSYRUIMIE-UHFFFAOYSA-N	InChI=1S/C9H16ClN/c1-9-4-2-6-11(8-10)7-3-5-9/h1-8H2	C=C1CCCN(CCl)CCC1	C9H16ClN	nan	173.097127192	Oxypterine	WWOKLCSYRUIMIE	Alkaloids	Lysine alkaloids	Quinolizidine alkaloids	http://www.wikidata.org/entity/Q50846598	Lotononis rostrata	1058449.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Crotalarieae']	['Lotononis']	['Lotononis rostrata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	nan	nan	nan	nan	nan	nan	3	2	6.215496063232422	1	327	Alkaloids	0.8461538461538461	Lysine alkaloids	0.8461538461538461	Piperidine alkaloids	0.7692307692307693
1004	1.0	0.8057229	ISDB	http://www.wikidata.org/entity/Q110192699	VQLSPQNMGDNEMF-UHFFFAOYSA-N	InChI=1S/C20H32O4/c1-10-12-5-6-14-19(4)8-11(21)7-18(2,3)15(19)13(22)9-20(14,16(10)23)17(12)24/h11-17,21-24H,1,5-9H2,2-4H3	C=C1C2CCC3C4(C)CC(O)CC(C)(C)C4C(O)CC3(C1O)C2O	C20H32O4	nan	336.230059504	5,5,9-Trimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-3,7,15,16-tetrol	VQLSPQNMGDNEMF	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q5872213	Pteris multifida	320707.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Polypodiopsida']	['Polypodiales']	['Pteridaceae']	['Unknown']	['Pteris']	['Pteris multifida']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	4.222891569137573	1	-1	nan	nan	nan	nan	nan	nan
1010	3.0	0.5161245	ISDB	http://www.wikidata.org/entity/Q105235094	RETRRXAPSLSKSS-BYFNFPHLSA-N	InChI=1S/C18H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h3-10,18H,2,11-17H2,1H3/b4-3+,6-5+,8-7+,10-9+	CC/C=C/C=C/C=C/C=C/CCCCCCCC=O	C18H28O	nan	260.214015516	(9E,11E,13E,15E)-octadeca-9,11,13,15-tetraenal	RETRRXAPSLSKSS	Fatty acids	Fatty acyls	Fatty aldehydes	http://www.wikidata.org/entity/Q8343460	Centaurea alba	1066131.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Cardueae']	['Centaurea']	['Centaurea alba']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.064497947692871	1	-1	nan	nan	nan	nan	nan	nan
1011	1.0	0.5881181	ISDB	http://www.wikidata.org/entity/Q26840951	NRZWYNLTFLDQQX-UHFFFAOYSA-N	InChI=1S/C11H16O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h5-8,12H,4H2,1-3H3	CCC(C)(C)c1ccc(O)cc1	C11H16O	nan	164.120115132	4-tert-Amylphenol	NRZWYNLTFLDQQX	nan	nan	nan	http://www.wikidata.org/entity/Q209089	Paullinia cupana	648094.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Sapindaceae']	['Paullinieae']	['Paullinia']	['Paullinia cupana']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.3524723052978516	1	978	Shikimates and Phenylpropanoids	0.75	Phenolic acids (C6-C1)	0.75	Shikimic acids and derivatives	0.75
1012	14.0	0.55383945	ISDB	http://www.wikidata.org/entity/Q105001651	FUEOKCWSAZKORQ-UHFFFAOYSA-N	InChI=1S/C30H48O2/c1-25(2)13-14-27(5)15-16-30(8)24-19(9-12-29(30,7)22(27)18-25)28(6)11-10-23(32)26(3,4)21(28)17-20(24)31/h21-23,32H,9-18H2,1-8H3	CC1(C)CCC2(C)CCC3(C)C4=C(CCC3(C)C2C1)C1(C)CCC(O)C(C)(C)C1CC4=O	C30H48O2	nan	440.365430776	3-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-2,3,4a,5,7,8,9,10,12,12a,13,14-dodecahydro-1H-picen-6-one	FUEOKCWSAZKORQ	Terpenoids	Triterpenoids	Multiflorane triterpenoids	http://www.wikidata.org/entity/Q177322	Euphorbia maculata	683660.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia maculata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	nan	8	0	10.215357780456543	1	-1	nan	nan	nan	nan	nan	nan
1014	16.0	0.42195317	ISDB	http://www.wikidata.org/entity/Q104253557	AVQIAPJJWFUCIT-VOTSOKGWSA-N	InChI=1S/C13H18O2/c1-10-5-4-8-13(2,3)12(10)7-6-11(15)9-14/h6-7,9H,4-5,8H2,1-3H3/b7-6+	CC1=C(/C=C/C(=O)C=O)C(C)(C)CCC1	C13H18O2	nan	206.130679816	Epoxy-beta-ionone	AVQIAPJJWFUCIT	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	http://www.wikidata.org/entity/Q159702	Festuca rubra	202297.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Poeae']	['Festuca']	['Festuca rubra']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	nan	nan	nan	nan	5	0	6.687812685966492	1	-1	nan	nan	nan	nan	nan	nan
1016	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104170405	KLXHCGFNNUQTEY-UHFFFAOYSA-N	InChI=1S/C13H16O5/c1-15-10-7-9(5-6-12(14)17-3)8-11(16-2)13(10)18-4/h5-8H,1-4H3	COC(=O)C=Cc1cc(OC)c(OC)c(OC)c1	C13H16O5	pos_1_1proton2acetonitrile	252.099773612	Methyl 3-(3,4,5-trimethoxyphenyl)prop-2-enoate	KLXHCGFNNUQTEY	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q15347205	Aragoa lucidula	5783470.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Plantaginaceae']	['Digitalideae']	['Aragoa']	['Aragoa lucidula']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Plantaginaceae']	nan	nan	nan	6	3	7.5	1	323	Shikimates and Phenylpropanoids	0.38461538461538464	Phenylpropanoids (C6-C3)	0.19230769230769232	Cinnamic acids and derivatives	0.19230769230769232
1018	28.0	0.46074834	ISDB	http://www.wikidata.org/entity/Q105332125	XNYPADCVPUHEKE-RCUJSYDTSA-N	InChI=1S/C20H28O2/c1-5-17(2)8-9-18(3)13(11-17)6-7-20(22)16(18)10-15(21)14-12-19(14,20)4/h5,10,13-14,22H,1,6-9,11-12H2,2-4H3/t13-,14+,17-,18-,19+,20+/m1/s1	C=C[C@]1(C)CC[C@@]2(C)C3=CC(=O)[C@@H]4C[C@]4(C)[C@]3(O)CC[C@@H]2C1	C20H28O2	nan	300.208930136	(1aS,1bR,3aR,5R,7aR,9aR)-5-ethenyl-1b-hydroxy-1a,5,7a-trimethyl-1,2,3,3a,4,6,7,9a-octahydrocyclopropa[a]phenanthren-9-one	XNYPADCVPUHEKE	Terpenoids	Diterpenoids	Erythroxylane diterpenoids	http://www.wikidata.org/entity/Q15383457	Euphorbia ebracteolata	591082.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia ebracteolata']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	nan	8	0	9.842993378639221	1	-1	nan	nan	nan	nan	nan	nan
1019	8.0	0.6282223	ISDB	http://www.wikidata.org/entity/Q105173530	MWEHWEZBGQUQSJ-PXNSSMCTSA-N	InChI=1S/C20H26O2/c1-6-13-12(2)16(21)11-15-14(13)7-8-17-19(3,4)18(22)9-10-20(15,17)5/h6,11,17,21H,1,7-10H2,2-5H3/t17-,20-/m0/s1	C=Cc1c(C)c(O)cc2c1CC[C@H]1C(C)(C)C(=O)CC[C@@]21C	C20H26O2	nan	298.193280072	(4aR,10aR)-8-ethenyl-6-hydroxy-1,1,4a,7-tetramethyl-4,9,10,10a-tetrahydro-3H-phenanthren-2-one	MWEHWEZBGQUQSJ	Terpenoids	Diterpenoids	Cleistanthane diterpenoids	http://www.wikidata.org/entity/Q3005165	Croton sonderianus	3913650.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Crotoneae']	['Croton']	['Croton sonderianus']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	nan	nan	nan	6	0	8.51288914680481	1	-1	nan	nan	nan	nan	nan	nan
