feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
5665	396	Alkaloids	0.4	Ornithine alkaloids	0.4	Polyamines	0.4	1.0	0.5261578	ISDB									XPIMOOLZEIEDTA							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.104631185531616	1
5659	195	Shikimates and Phenylpropanoids	0.5714285714285714	Naphthalenes	0.35714285714285715	Ergostane steroids	0.14285714285714285	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27135222	PQQRNPDHSJDAGV-HQSXISOASA-N	InChI=1S/C28H38O13/c1-36-16-7-13(8-17(37-2)22(16)31)20-15(11-40-28-26(35)25(34)23(32)19(10-30)41-28)14(9-29)5-12-6-18(38-3)24(33)27(39-4)21(12)20/h6-8,14-15,19-20,23,25-26,28-35H,5,9-11H2,1-4H3/t14-,15-,19+,20+,23+,25-,26+,28+/m0/s1	COc1cc([C@H]2c3c(cc(OC)c(O)c3OC)C[C@@H](CO)[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O	C28H38O13	pos_1_1proton1ammonium	582.2312412759999	(+)-lyoniresinol-3-alpha-O-beta-D-glucopyranoside	PQQRNPDHSJDAGV	Shikimates and Phenylpropanoids	Lignans	Arylnaphthalene and aryltetralin lignans	http://www.wikidata.org/entity/Q141303	Lycium chinense	58730.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Lycieae']	['Lycium']	['Lycium chinense']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	1	6.5	1
5657	1148	Shikimates and Phenylpropanoids	1.0	Phenanthrenoids	1.0	Phenanthrenes	1.0	12.0	0.0	MS1_match	http://www.wikidata.org/entity/Q179724	UFWIBTONFRDIAS-UHFFFAOYSA-N	InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H	c1ccc2ccccc2c1	C10H8	pos_1_1proton1isopropanol	128.062600256	Naphthalene	UFWIBTONFRDIAS	Shikimates and Phenylpropanoids	Phenanthrenoids	Phenanthrenes	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
5656	569	Alkaloids	0.625	Pseudoalkaloids	0.5	Steroidal alkaloids	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27108303	SSDNUGHQUZHHEE-YGUMODFPSA-N	InChI=1S/C27H48N2O2/c1-15-11-23(31)25(29-14-15)16(2)24-22(30)13-21-19-6-5-17-12-18(28)7-9-26(17,3)20(19)8-10-27(21,24)4/h15-25,29-31H,5-14,28H2,1-4H3/t15-,16+,17+,18+,19-,20+,21+,22-,23+,24+,25-,26+,27+/m1/s1	C[C@H]1CN[C@H]([C@@H](C)[C@H]2[C@H](O)C[C@H]3[C@@H]4CC[C@H]5C[C@@H](N)CC[C@]5(C)[C@H]4CC[C@]23C)[C@@H](O)C1	C27H48N2O2	pos_1_minus1proton2potassium	432.371578776	Solacapine	SSDNUGHQUZHHEE	Alkaloids	Pseudoalkaloids	Steroidal alkaloids	http://www.wikidata.org/entity/Q1475749	Solanum pseudocapsicum	121218.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum pseudocapsicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']		8	3	9.5	1
5654	57	Alkaloids	1.0	Tyrosine alkaloids	1.0	Isoquinoline alkaloids	0.8	1.0	0.81603366	ISDB	http://www.wikidata.org/entity/Q105133573	JQOTXJRWMCMWBT-SLFFLAALSA-N	InChI=1S/C20H19NO6/c1-21-5-4-10-6-14-15(26-8-25-14)7-12(10)20(21)18(22)11-2-3-13-17(27-9-24-13)16(11)19(20)23/h2-3,6-7,18-19,22-23H,4-5,8-9H2,1H3/t18-,19-,20+/m0/s1	CN1CCc2cc3c(cc2[C@]12[C@@H](O)c1ccc4c(c1[C@@H]2O)OCO4)OCO3	C20H19NO6		369.121237328	(6S,7R,8S)-6'-methylspiro[6,8-dihydrocyclopenta[g][1,3]benzodioxole-7,5'-7,8-dihydro-[1,3]dioxolo[4,5-g]isoquinoline]-6,8-diol	JQOTXJRWMCMWBT	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	http://www.wikidata.org/entity/Q15336724	Corydalis vaginans	5727950.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Papaveraceae']	['Unknown']	['Corydalis']	['Corydalis vaginans']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Papaveraceae']				6	3	10.764134645462036	1
5651	-1							1.0	0.91664183	ISDB	http://www.wikidata.org/entity/Q104402222	YGSIRXHFAUFUEJ-GPTQDWHKSA-N	InChI=1S/C12H16O8/c1-5-11(6(14)2-3-18-5)20-12-10(17)9(16)8(15)7(4-13)19-12/h2-3,7-10,12-13,15-17H,4H2,1H3/t7-,8-,9+,10-,12+/m1/s1	Cc1occc(=O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C12H16O8		288.084517472	Dianthoside	YGSIRXHFAUFUEJ	Polyketides	Cyclic polyketides	4-pyrone derivatives	http://www.wikidata.org/entity/Q932516	Turnera diffusa	92073.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Passifloraceae']	['Unknown']	['Turnera']	['Turnera diffusa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']					5	0	8.666567325592041	1
5650	-1							1.0	0.27682978	ISDB	http://www.wikidata.org/entity/Q105306485	WITGZKZTBTXECL-USPPIBIUSA-N	InChI=1S/C26H36O10/c1-14-6-10-25-11-8-17(26(25,33)12-7-14)24(3,36-23(25)32)9-4-5-15(2)21(31)35-22-20(30)19(29)18(28)16(13-27)34-22/h4-6,9,16-20,22,27-30,33H,7-8,10-13H2,1-3H3/b9-4+,15-5+/t16-,17+,18-,19+,20-,22+,24-,25-,26+/m1/s1	CC1=CC[C@@]23CC[C@@H]([C@@](C)(/C=C/C=C(\C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)OC2=O)[C@@]3(O)CC1	C26H36O10		508.2308473519998	deacetylpseudolaric acid A O-beta-d-glucopyranoside	WITGZKZTBTXECL	Terpenoids			http://www.wikidata.org/entity/Q147439	Larix kaempferi	154040.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Unknown']	['Pinales']	['Pinaceae']	['Unknown']	['Larix']	['Larix kaempferi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']							3	0	4.107319116592407	1
5647	98	Alkaloids	0.5625	Ornithine alkaloids	0.5	Polyamines	0.5	2.0	0.5597318	ISDB	http://www.wikidata.org/entity/Q115947014	UKDQTQBQRCLXJK-UHFFFAOYSA-N	InChI=1S/C25H33N3O6/c29-20-8-4-18(16-22(20)31)6-10-24(33)27-14-2-1-12-26-13-3-15-28-25(34)11-7-19-5-9-21(30)23(32)17-19/h4-5,7-9,11,16-17,26,29-32H,1-3,6,10,12-15H2,(H,27,33)(H,28,34)	O=C(C=Cc1ccc(O)c(O)c1)NCCCNCCCCNC(=O)CCc1ccc(O)c(O)c1	C25H33N3O6		471.236935776		UKDQTQBQRCLXJK	Alkaloids	Ornithine alkaloids	Polyamines	http://www.wikidata.org/entity/Q10998	Solanum tuberosum	494835.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum tuberosum']	9	3	12.738927125930786	1
5646	303	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	0.75	Cinnamic acids and derivatives	0.75	45.0	0.0	MS1_match	http://www.wikidata.org/entity/Q99374	NGSWKAQJJWESNS-ZZXKWVIFSA-N	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+	O=C(O)/C=C/c1ccc(O)cc1	C9H8O3	pos_2MH	164.047344116	4-Hydroxycinnamic acid	NGSWKAQJJWESNS	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q161098	Triticum aestivum	31926.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Triticeae']	['Triticum']	['Triticum aestivum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Triticeae']	['Triticum']	['Triticum aestivum']	9	3	10.5	1
5646	303	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	0.75	Cinnamic acids and derivatives	0.75	45.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27102874	PMOWTIHVNWZYFI-UHFFFAOYSA-N	InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)	O=C(O)C=Cc1ccccc1O	C9H8O3	pos_2MH	164.047344116	ortho-Hydroxycinnamic acid	PMOWTIHVNWZYFI	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q161098	Triticum aestivum	31926.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Triticeae']	['Triticum']	['Triticum aestivum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Triticeae']	['Triticum']	['Triticum aestivum']	9	3	10.5	1
