"sirius_smiles"	"sirius_confidenceRank"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_#adducts"	"sirius_#predictedFPs"	"sirius_ConfidenceScore"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_id"	"sirius_featureId"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"[B-](C(CC1=CC=C(C=C1)Cl)NC(=O)C)(O)(O)O"	4447	1	1	1	1	"N/A"	-342.617579419133	1	90.2577096352339	"C10H15BClNO4"	"[M + Na]+"	"FPCXTDQHLFRWCJ"	"InChI=1S/C10H14BClNO4/c1-7(14)13-10(11(15,16)17)6-8-2-4-9(12)5-3-8/h2-5,10,15-17H,6H2,1H3,(H,13,14)/q-1"	"[1-acetamido-2-(4-chlorophenyl)ethyl]-trihydroxyboranuide"	2.12225628	"449042;3393378;46937174"	"COCONUT:(CNP0036036);PubChem:(449042 3393378 46937174);PubChem class - bio and metabolites"	18874370	281.070648193359	35.5728096	"3478_fibl_pilot_pos_sirius_3726"	3726	NA	NA	NA	NA	3726
"[B-](CNC(=O)C1=CC=CC=C1F)(O)(O)O"	351	1	1	1	2	"0.7137685724814241"	-351.457495214298	1	90.4665372950382	"C8H11BFNO4"	"[M + H]+"	"GSERMWXQEOLTTB"	"InChI=1S/C8H10BFNO4/c10-7-4-2-1-3-6(7)8(12)11-5-9(13,14)15/h1-4,13-15H,5H2,(H,11,12)/q-1"	"[(2-Fluorophenyl)carbonylamino]methyl-Trihydroxy-Boron"	1.20677447	"53301827"	"PubChem:(53301827);PubChem class - bio and metabolites"	16777218	215.087585449219	31.264371	"3986_fibl_pilot_pos_sirius_4247"	4247	NA	NA	NA	NA	4247
"B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O"	2674	1	3	1	5	"0.20480189453949377"	-278.187592241752	0.0482412060301508	43.5311845064054	"C19H25BN4O4"	"[M + Na]+"	"GXJABQQUPOEUTA"	"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)"	"Velcade"	1.5669589	"93860;387447;5213527;9952007;25209751;25231054;25231056;25231122;25241453;25241454;25241455;24871309;45038428;59476170;70260947;70274896;76974040;129009633;137699993"	"HMDB:(14334);additional;HSDB:(179324-69-7);MeSH:(387447);PubMed;NORMAN:(NS00006197);COCONUT:(CNP0273738);PubChem:(93860 387447 5213527 9952007 25209751 25231054 25231056 25231122 25241453 25241454 25241455 24871309 45038428 59476170 70260947 70274896 76974040 129009633 137699993);CHEBI:(52717 93759);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubChem class - drug"	120341102	406.189483642578	166.707732	"4269_fibl_pilot_pos_sirius_4538"	4538	"CHEBI:93759"	"[3-methyl-1-[[1-oxo-2-[[oxo(2-pyrazinyl)methyl]amino]-3-phenylpropyl]amino]butyl]boronic acid"	"2.47"	"2"	4538
"B(C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=NC=CN=C3)(O)O"	318	1	3	1	5	"0.7412136067565158"	-345.014094403049	0.0597989949748744	53.3020453011403	"C22H23BN4O4"	"[M + Na]+"	"ILENEQWIGPQYCQ"	"InChI=1S/C22H23BN4O4/c28-21(27-20(23(30)31)14-17-9-5-2-6-10-17)18(13-16-7-3-1-4-8-16)26-22(29)19-15-24-11-12-25-19/h1-12,15,18,20,30-31H,13-14H2,(H,26,29)(H,27,28)"	"null"	2.05446005	"137348256"	"PubChem:(137348256);PubChem class - bio and metabolites"	16777218	440.175445556641	220.381938	"2323_fibl_pilot_pos_sirius_2516"	2516	NA	NA	NA	NA	2516
"B(C(CN1C=C(N=N1)C2=CC(=CC=C2)C(=O)O)NC(=O)CC3=CC=CS3)(O)O"	2707	1	1	2	2	"0.20201474954528464"	-367.811894613002	1	32.2954554145316	"C17H17BN4O5S"	"[M + H]+"	"WHXOLIBPKXZPTN"	"InChI=1S/C17H17BN4O5S/c23-16(8-13-5-2-6-28-13)19-15(18(26)27)10-22-9-14(20-21-22)11-3-1-4-12(7-11)17(24)25/h1-7,9,15,26-27H,8,10H2,(H,19,23)(H,24,25)"	"null"	1.09637833	"71550248;78108299"	"PubChem:(71550248 78108299);PubMed;PubChem class - bio and metabolites"	16777282	400.113830566406	218.070012	"4637_fibl_pilot_pos_sirius_4911"	4911	NA	NA	NA	NA	4911
"B(C1=C(C=CC(=C1)OCCCC)F)(O)O"	3114	1	1	1	2	"0.16470594772059263"	-188.370703463846	1	62.5837893961275	"C10H14BFO3"	"[M + H]+"	"GKZWJVVFPFQIDP"	"InChI=1S/C10H14BFO3/c1-2-3-6-15-8-4-5-10(12)9(7-8)11(13)14/h4-5,7,13-14H,2-3,6H2,1H3"	"5-Butoxy-2-fluorophenylboronic acid"	2.60195231	"16217682"	"PubChem:(16217682);PubChem class - safety and toxic"	67108866	212.113037109375	37.278288	"4088_fibl_pilot_pos_sirius_4356"	4356	NA	NA	NA	NA	4356
"B(C1=CC(=C(C=C1)B(O)O)[N+](=O)[O-])(O)O"	4463	1	1	1	2	"N/A"	-334.830170928878	1	65.8849942196811	"C6H7B2NO6"	"[M + H]+"	"GGASDGRERPDUQP"	"InChI=1S/C6H7B2NO6/c10-7(11)4-1-2-5(8(12)13)6(3-4)9(14)15/h1-3,10-13H"	"2-Nitrobenzene-1,4-diboronic acid"	0.326443166	"206655"	"PubChem:(206655);PubChem class - safety and toxic"	67108866	210.06063079834	49.2121458	"1173_fibl_pilot_pos_sirius_1286"	1286	NA	NA	NA	NA	1286
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O"	3004	1	1	1	2	"0.1746354765062846"	-276.239058455023	1	60.1066265531629	"C9H12BFO3"	"[M + H]+"	"HJJYROZZJOJOOW"	"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3"	"3-Fluoro-5-Isopropoxybenzeneboronic Acid"	2.15604806	"44558177;45788923"	"PubChem:(44558177 45788923);PubChem class - safety and toxic"	67108866	198.097045898438	40.203687	"4789_fibl_pilot_pos_sirius_5064"	5064	NA	NA	NA	NA	5064
"B(OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C)(OC(C)C)OC(C)C"	3429	1	1	1	1	"0.13981014431760821"	-459.158219306067	1	86.4487977561506	"C21H37BO3"	"[M + Na]+"	"DUVZAERRPMFJPA"	"InChI=1S/C21H37BO3/c1-14(2)23-22(24-15(3)4)25-19-17(20(6,7)8)12-16(5)13-18(19)21(9,10)11/h12-15H,1-11H3"	"4-06-00-03513 (Beilstein Handbook Reference)"	7.20115948	"18033"	"PubChem:(18033);PubChem class - safety and toxic"	67108866	370.277847290039	554.819778	"5122_fibl_pilot_pos_sirius_5401"	5401	NA	NA	NA	NA	5401
"B(OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C)(OC(C)C)OC(C)C"	3831	1	1	1	1	"0.10213854374328374"	-495.030183899263	1	51.8003036030879	"C21H37BO3"	"[M + Na]+"	"DUVZAERRPMFJPA"	"InChI=1S/C21H37BO3/c1-14(2)23-22(24-15(3)4)25-19-17(20(6,7)8)12-16(5)13-18(19)21(9,10)11/h12-15H,1-11H3"	"4-06-00-03513 (Beilstein Handbook Reference)"	7.20115948	"18033"	"PubChem:(18033);PubChem class - safety and toxic"	67108866	370.277282714844	542.595486	"909_fibl_pilot_pos_sirius_995"	995	NA	NA	NA	NA	995
