confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	2	0.9999973265772011	-7.758415751013143	0.9999999999999999	35.0407598263962	C29H56NO10P	[M + H]+	CDZVJFRXJAUXPP	InChI=1S/C29H56NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-20-28(33)37-24-26(40-29(34)21-18-19-27(31)32)25-39-41(35,36)38-23-22-30(2,3)4/h26H,5-25H2,1-4H3,(H-,31,32,35,36)/p+1	Epitope ID:153524	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCC(=O)O	6.0	11365502;11365503;46907872;46907873;86289345;95065533;137700459;137700460	PubChem:(11365502 11365503 46907872 46907873 86289345 95065533 137700459 137700460);CHEBI:(61822 77756);ZINC bio:(ZINC64634199 ZINC64857588);additional;MeSH:(46907872);Training Set;PubMed;KEGG Mine	8590483558	610.371337890625	482.772132	3302_fibl_pilot_pos_sirius_3543	3543
2	1	1	1	2	0.9998808619841713	-332.4915740554701	0.9899497487437185	22.457547507026586	C42H72N2O12	[M + H]+	LZUIHANWEHANCW	InChI=1S/C42H72N2O12/c45-37-19-13-7-1-2-8-14-20-38(46)52-32-26-44-29-35-55-41(49)23-17-11-5-3-9-15-21-39(47)53-33-27-43(25-31-51-37)28-34-54-40(48)22-16-10-4-6-12-18-24-42(50)56-36-30-44/h1-36H2	4,15,21,32,37,48-Hexaoxa-1,18-diazabicyclo(16.16.16)pentacontane-5,14,22,31,38,47-hexone	C1CCCCC(=O)OCCN2CCOC(=O)CCCCCCCCC(=O)OCCN(CCOC(=O)CCC1)CCOC(=O)CCCCCCCCC(=O)OCC2	7.4000001	53425884	PubChem:(53425884);NORMAN:(NS00065661)	262146	797.5172729492188	676.3174799999999	4439_fibl_pilot_pos_sirius_4712	4712
3	1	1	1	2	0.9998573838543097	-22.090157649201455	0.9999999999999999	123.11046062543355	C12H23NOS2	[M + H]+	BULCNSNGNSSTBP	InChI=1S/C12H23NOS2/c1-16(14)11-9-7-5-3-2-4-6-8-10-13-12-15/h2-11H2,1H3	null	CS(=O)CCCCCCCCCCN=C=S	4.30000019	9856525	COCONUT:(CNP0067221);HMDB:(39082);Natural Products:(UNPD39309);PubChem:(9856525);SuperNatural:(SN00273718);PubChem class - bio and metabolites	19955722	262.1294250488281	385.11949200000004	4518_fibl_pilot_pos_sirius_4791	4791
4	1	1	2	3	0.9994698817016836	-28.810007687137535	0.9125628140703519	29.226706718353316	C26H29NO11	[M + H]+	LOJGKLLTOGPATF	InChI=1S/C26H29NO11/c1-27-5-4-11-6-15-16(34-9-33-15)7-13(11)23-19(27)12-2-3-14-24(35-10-32-14)18(12)25(37-23)38-26-22(31)21(30)20(29)17(8-28)36-26/h2-3,6-7,17,19-23,25-26,28-31H,4-5,8-10H2,1H3	null	CN1CCC2=CC3=C(C=C2C4C1C5=C(C(O4)OC6C(C(C(C(O6)CO)O)O)O)C7=C(C=C5)OCO7)OCO3	0.300000012	131750861	COCONUT:(CNP0300386);HMDB:(29361);Natural Products:(UNPD175347);PubChem:(131750861);SuperNatural:(SN00325500);PubChem class - bio and metabolites	19955722	532.1809692382812	144.858378	3724_fibl_pilot_pos_sirius_3980	3980
5	1	1	2	2	0.999246902901102	-15.156959484189635	0.9999999999999999	34.46784169716969	C14H20N4O2	[M + H]+	AKIHYQWCLCDMMI	InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)	4-coumaroylagmatine	C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O	0.400000006	440362;5280691;10826328;25245514;91825720	HMDB:(33460);SuperNatural:(SN00378900 SN00363027);additional;Plantcyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID);PubMed;COCONUT:(CNP0290027);KNApSAcK:(28060);Natural Products:(UNPD99005 UNPD159410);PubChem:(440362 5280691 10826328 25245514 91825720);CHEBI:(86078 86085 86080 58644 32818 86083);PubChem class - bio and metabolites;KEGG:(C04498);Training Set;Biocyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID)	20629882	277.16607666015625	129.06422999999998	3881_fibl_pilot_pos_sirius_4139	4139
6	1	1	2	2	0.9992447894643338	-17.035599973830067	0.9999999999999999	42.7633905151239	C14H20N4O2	[M + H]+	AKIHYQWCLCDMMI	InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)	4-coumaroylagmatine	C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O	0.400000006	440362;5280691;10826328;25245514;91825720	HMDB:(33460);SuperNatural:(SN00378900 SN00363027);additional;Plantcyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID);PubMed;COCONUT:(CNP0290027);KNApSAcK:(28060);Natural Products:(UNPD99005 UNPD159410);PubChem:(440362 5280691 10826328 25245514 91825720);CHEBI:(86078 86085 86080 58644 32818 86083);PubChem class - bio and metabolites;KEGG:(C04498);Training Set;Biocyc:(N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID)	20629882	277.1658630371094	141.991812	750_fibl_pilot_pos_sirius_819	819
7	1	1	2	2	0.9989964415002973	-2.7750489869404635	0.9999999999999999	32.62719881688295	C7H15NO3	[M + H]+	PHIQHXFUZVPYII	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1	Carnitin	C[N+](C)(C)CC(CC(=O)O)O	-0.800000012	85;288;10918;10917;160907;450345;451225;2724480;10535083;10535084;10559012;10559013;6914103;6914104;10773397;10773398;12302477;12302480;15930740;45038580;46186912;46186913;46216349;46215843;46216189;46216517;46213982;46213983;46214499;46214500;46215500;46215495;46215496;46215497;46215498;46215499;46215501;46215502;46215503;46215504;46215505;46215506;46215507;46215508;46215509;46215510;46215663;46215664;46215665;46215666;46215667;46215668;46215669;46215670;46215671;46215672;46215673;46215674;46215675;46215676;46215677;46215678;46215679;46215680;46215836;46215837;46215838;46215839;46215840;46215841;46215842;46215844;46215845;46215846;46215847;46215848;46215849;46215850;46215851;46216012;46216013;46216014;46216015;46216016;46216017;46216018;46216019;46216020;46216021;46216022;46216023;46216024;46216025;46216026;46216027;46216028;46216029;46216174;46216175;46216176;46216177;46216178;46216179;46216180;46216181;46216182;46216183;46216184;46216185;46216186;46216187;46216188;46216334;46216335;46216336;46216337;46216338;46216339;46216340;46216341;46216342;46216343;46216344;46216345;46216346;46216347;46216348;46216350;46216351;46216513;46216514;46216515;46216516;46216518;46216519;46216520;46216521;46216522;46216523;46216524;46216525;46216526;46780190;46780191;46932131;59324226;59324227;59324230;59324231;71309822;87285198;89059971;89059972;89059973;89059975;89059976;89059977;89059984;89059985;89059993;89059994;117064620;118524994;118524995;129316446;129709323;129709324;129880693;129880694;133687794;133687795	HMDB:(62 62496 62634);PubChem class - food;SuperNatural:(SN00001153 SN00389969 SN00003349);ZINC bio:(ZINC00154729 ZINC03079340);additional;HSDB:(541-15-1);MeSH:(288 10917);Plantcyc:(CARNITINE);PubMed;NORMAN:(NS00009461);COCONUT:(CNP0151897 CNP0334740);Natural Products:(UNPD9107 UNPD143588);PubChem:(85 288 10918 10917 160907 450345 451225 2724480 10535083 10535084 10559012 10559013 6914103 6914104 10773397 10773398 12302477 12302480 15930740 45038580 46186912 46186913 46216349 46215843 46216189 46216517 46213982 46213983 46214499 46214500 46215500 46215495 46215496 46215497 46215498 46215499 46215501 46215502 46215503 46215504 46215505 46215506 46215507 46215508 46215509 46215510 46215663 46215664 46215665 46215666 46215667 46215668 46215669 46215670 46215671 46215672 46215673 46215674 46215675 46215676 46215677 46215678 46215679 46215680 46215836 46215837 46215838 46215839 46215840 46215841 46215842 46215844 46215845 46215846 46215847 46215848 46215849 46215850 46215851 46216012 46216013 46216014 46216015 46216016 46216017 46216018 46216019 46216020 46216021 46216022 46216023 46216024 46216025 46216026 46216027 46216028 46216029 46216174 46216175 46216176 46216177 46216178 46216179 46216180 46216181 46216182 46216183 46216184 46216185 46216186 46216187 46216188 46216334 46216335 46216336 46216337 46216338 46216339 46216340 46216341 46216342 46216343 46216344 46216345 46216346 46216347 46216348 46216350 46216351 46216513 46216514 46216515 46216516 46216518 46216519 46216520 46216521 46216522 46216523 46216524 46216525 46216526 46780190 46780191 46932131 59324226 59324227 59324230 59324231 71309822 87285198 89059971 89059972 89059973 89059975 89059976 89059977 89059984 89059985 89059993 89059994 117064620 118524994 118524995 129316446 129709323 129709324 129880693 129880694 133687794 133687795);CHEBI:(16347 11060 51453 3424 17126 39547);PubChem class - bio and metabolites;KEGG:(C00318 C00487 C15025);PubChem class - safety and toxic;YMDB:(616 188);Training Set;PubChem class - drug;Biocyc:(D-CARNITINE CARNITINE)	255847278	162.11251831054688	82.07535	4230_fibl_pilot_pos_sirius_4499	4499
8	1	1	2	2	0.9989948251752506	-2.784883767915595	0.9999999999999999	32.70220193977023	C7H15NO3	[M + H]+	PHIQHXFUZVPYII	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/p+1	Carnitin	C[N+](C)(C)CC(CC(=O)O)O	-0.800000012	85;288;10918;10917;160907;450345;451225;2724480;10535083;10535084;10559012;10559013;6914103;6914104;10773397;10773398;12302477;12302480;15930740;45038580;46186912;46186913;46216349;46215843;46216189;46216517;46213982;46213983;46214499;46214500;46215500;46215495;46215496;46215497;46215498;46215499;46215501;46215502;46215503;46215504;46215505;46215506;46215507;46215508;46215509;46215510;46215663;46215664;46215665;46215666;46215667;46215668;46215669;46215670;46215671;46215672;46215673;46215674;46215675;46215676;46215677;46215678;46215679;46215680;46215836;46215837;46215838;46215839;46215840;46215841;46215842;46215844;46215845;46215846;46215847;46215848;46215849;46215850;46215851;46216012;46216013;46216014;46216015;46216016;46216017;46216018;46216019;46216020;46216021;46216022;46216023;46216024;46216025;46216026;46216027;46216028;46216029;46216174;46216175;46216176;46216177;46216178;46216179;46216180;46216181;46216182;46216183;46216184;46216185;46216186;46216187;46216188;46216334;46216335;46216336;46216337;46216338;46216339;46216340;46216341;46216342;46216343;46216344;46216345;46216346;46216347;46216348;46216350;46216351;46216513;46216514;46216515;46216516;46216518;46216519;46216520;46216521;46216522;46216523;46216524;46216525;46216526;46780190;46780191;46932131;59324226;59324227;59324230;59324231;71309822;87285198;89059971;89059972;89059973;89059975;89059976;89059977;89059984;89059985;89059993;89059994;117064620;118524994;118524995;129316446;129709323;129709324;129880693;129880694;133687794;133687795	HMDB:(62 62496 62634);PubChem class - food;SuperNatural:(SN00001153 SN00389969 SN00003349);ZINC bio:(ZINC00154729 ZINC03079340);additional;HSDB:(541-15-1);MeSH:(288 10917);Plantcyc:(CARNITINE);PubMed;NORMAN:(NS00009461);COCONUT:(CNP0151897 CNP0334740);Natural Products:(UNPD9107 UNPD143588);PubChem:(85 288 10918 10917 160907 450345 451225 2724480 10535083 10535084 10559012 10559013 6914103 6914104 10773397 10773398 12302477 12302480 15930740 45038580 46186912 46186913 46216349 46215843 46216189 46216517 46213982 46213983 46214499 46214500 46215500 46215495 46215496 46215497 46215498 46215499 46215501 46215502 46215503 46215504 46215505 46215506 46215507 46215508 46215509 46215510 46215663 46215664 46215665 46215666 46215667 46215668 46215669 46215670 46215671 46215672 46215673 46215674 46215675 46215676 46215677 46215678 46215679 46215680 46215836 46215837 46215838 46215839 46215840 46215841 46215842 46215844 46215845 46215846 46215847 46215848 46215849 46215850 46215851 46216012 46216013 46216014 46216015 46216016 46216017 46216018 46216019 46216020 46216021 46216022 46216023 46216024 46216025 46216026 46216027 46216028 46216029 46216174 46216175 46216176 46216177 46216178 46216179 46216180 46216181 46216182 46216183 46216184 46216185 46216186 46216187 46216188 46216334 46216335 46216336 46216337 46216338 46216339 46216340 46216341 46216342 46216343 46216344 46216345 46216346 46216347 46216348 46216350 46216351 46216513 46216514 46216515 46216516 46216518 46216519 46216520 46216521 46216522 46216523 46216524 46216525 46216526 46780190 46780191 46932131 59324226 59324227 59324230 59324231 71309822 87285198 89059971 89059972 89059973 89059975 89059976 89059977 89059984 89059985 89059993 89059994 117064620 118524994 118524995 129316446 129709323 129709324 129880693 129880694 133687794 133687795);CHEBI:(16347 11060 51453 3424 17126 39547);PubChem class - bio and metabolites;KEGG:(C00318 C00487 C15025);PubChem class - safety and toxic;YMDB:(616 188);Training Set;PubChem class - drug;Biocyc:(D-CARNITINE CARNITINE)	255847278	162.11256408691406	91.673532	1581_fibl_pilot_pos_sirius_1732	1732
9	1	1	2	2	0.9988665522679104	-149.39554577872292	0.9999999999999999	33.5588506098091	C16H20N2O6S	[M + H]+	CWNIQCOMWQROPA	InChI=1S/C16H20N2O6S/c19-7-11-13(20)14(21)15(22)16(24-11)25-12(18-23)5-8-6-17-10-4-2-1-3-9(8)10/h1-4,6,11,13-17,19-23H,5,7H2	Desulfoglucobrassicin	C1=CC=C2C(=C1)C(=CN2)CC(=NO)SC3C(C(C(C(O3)CO)O)O)O	0.5	9603283;14122903;24892786;71551220;126456434	COCONUT:(CNP0085407);KNApSAcK:(7398);PubChem:(9603283 14122903 24892786 71551220 126456434);CHEBI:(136527 80545);PubChem class - bio and metabolites;KEGG:(C16517);Plantcyc:(CPD-1862);Biocyc:(CPD-1862)	19007794	369.11146545410156	130.97445	2273_fibl_pilot_pos_sirius_2464	2464
10	1	1	2	2	0.9987052063624696	-0.3417043215599934	0.9999999999999999	59.27097905461301	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.1339416503906	108.16500599999999	4337_fibl_pilot_pos_sirius_4607	4607
