"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"1413_416.26_3.6",1413,416.264404961684,3.59871218695652,0.00460837349437828,2.33645232993767,0.698224771025342,-0.518236554379557,"Polyketides","Linear polyketides","Open-chain polyketides","null",NA,NA,"CC1C(OC(CC1=C)(CC(=O)NCC2CC(C(C(O2)CC(CO)O)(C)C)O)O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C21H37NO7/c1-12-8-21(27,29-14(3)13(12)2)9-19(26)22-10-16-7-17(25)20(4,5)18(28-16)6-15(24)11-23/h13-18,23-25,27H,1,6-11H2,2-5H3,(H,22,26)","YWJZKKGHAWXBLL"
"74_225.08_4",74,225.075606689917,3.960327568,0.00653162318067387,2.18497887832523,1.59027546574189,0.669276689181363,"Polyketides","Meroterpenoids","Simple cyclic polyketides","Trinexapac","C(C1)C1C(O)=C(C(=O)CC2C(=O)O)C(=O)C2","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)/b10-9-",NA,"DFFWZNDCNBOKDI-UHFFFAOYSA-N","DFFWZNDCNBOKDI","PCMORTLOPMLEFB","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI"
"2187_242.25_8.6",2187,242.247906351723,8.55847344188034,0.00707916067589123,2.1500182303663,0.652551487702179,-0.615836357002456,"Fatty acids","Fatty amides","Primary amides","Pentadecanamide",NA,"CC(C)CCCCCCCCCCCC(N)=O","CCCCCCCCCCCCCCC(=O)N",NA,NA,NA,NA,"ZMLQVXILYPDTDA","InChI=1S/C15H31NO/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H2,16,17)","ZMLQVXILYPDTDA-UHFFFAOYSA-N","InChI=1S/C15H31NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H2,16,17)","RQGCQWARLQDMCZ"
"4895_152.07_0.7",4895,152.070513460314,0.734931626967213,0.00914043521342956,2.03903312524089,0.706121406081092,-0.502011842137367,"Alkaloids","Tyrosine alkaloids","Phenylethylamines","Noradrop","NC[C@H](O)C1=CC(O)=C(O)C=C1",NA,"C1=CC(=C(C=C1C(CN)O)O)O","\"\"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1\"\"",NA,"SFLSHLFXELFNJZ-QMMMGPOBSA-N","SFLSHLFXELFNJZ",NA,NA,NA,"InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2","SFLSHLFXELFNJZ"
"5330_173.14_1.2",5330,173.139803718654,1.18964628039216,0.00981542091648121,2.00809107173534,1.46232975735837,0.548268677679994,"Alkaloids","Ornithine alkaloids","Polyamines","Acetylagmatine",NA,NA,"CC(=O)NCCCCN=C(N)N",NA,NA,NA,NA,"JMACEDIUUMWDIC","nan","nan","InChI=1S/C7H16N4O/c1-6(12)10-4-2-3-5-11-7(8)9/h2-5H2,1H3,(H,10,12)(H4,8,9,11)","JMACEDIUUMWDIC"
"2169_568.35_3.8",2169,568.347646077474,3.8270436,0.0104594878524231,1.98048958012572,0.629003151832345,-0.668860848654814,"Amino acids and Peptides","Oligopeptides","Linear peptides","null",NA,NA,"CC(C)C(C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C)NC(=O)C(C(C)O)NC(=O)C(C)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H47N7O8/c1-13(2)19(31-22(36)15(4)29-24(38)20(16(5)34)32-21(35)14(3)28)25(39)33-12-8-10-18(33)23(37)30-17(26(40)41)9-6-7-11-27/h13-20,34H,6-12,27-28H2,1-5H3,(H,29,38)(H,30,37)(H,31,36)(H,32,35)(H,40,41)","BOFDHDDYNBHUFQ"
"2287_183.09_1.4",2287,183.086061045226,1.40477215340909,0.0110915774959581,1.95500668206828,0.673598955611154,-0.570038193323578,"Carbohydrates","Saccharides","Monosaccharides","Sorbogem","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO","C(C(C(C(C(CO)O)O)O)O)O","\"\"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1\"\"",NA,"FBPFZTCFMRRESA-KVTDHHQDSA-N","FBPFZTCFMRRESA","FBPFZTCFMRRESA","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-","FBPFZTCFMRRESA-GUCUJZIJSA-N","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA"
"390_165.08_1.4",390,165.076098522703,1.38244283211009,0.0137333843203016,1.86222242630901,0.664657839511842,-0.589316250930467,"Carbohydrates","Saccharides","Monosaccharides","Sorbogem","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","C(C(C(C(C(CO)O)O)O)O)O","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",NA,"FBPFZTCFMRRESA-KVTDHHQDSA-N","FBPFZTCFMRRESA","SHZGCJCMOBCMKK","InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1","SHZGCJCMOBCMKK-JFNONXLTSA-N","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA"
"2687_242.1_1.7",2687,242.099864103887,1.7449229,0.0155117957153788,1.80933792338963,0.633219543872018,-0.659222310966101,"Fatty acids","Fatty amides","N-acyl amines","vitamin B5",NA,"C=CC#CC#Cc1ccc(C#CC)s1|C=CC#Cc1ccc(C#CC#CC)s1","CC(C)(CO)C(C(=O)NCCC(=O)O)O",NA,NA,NA,NA,"CHXZRHMQQRUVHF|ANIAOEHACLPLEY","InChI=1S/C13H8S/c1-3-5-6-7-9-13-11-10-12(14-13)8-4-2/h3,10-11H,1H2,2H3|InChI=1S/C13H8S/c1-3-5-7-9-13-11-10-12(14-13)8-6-4-2/h4,10-11H,2H2,1H3","CHXZRHMQQRUVHF-UHFFFAOYSA-N|ANIAOEHACLPLEY-UHFFFAOYSA-N","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","GHOKWGTUZJEAQD"
"3997_165.08_1.5",3997,165.076193644633,1.54027111743119,0.0206861224747305,1.68432090835052,0.644397242460892,-0.633977774487368,"Carbohydrates","Saccharides","Monosaccharides","Sorbogem","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","C(C(C(C(C(CO)O)O)O)O)O","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",NA,"FBPFZTCFMRRESA-KVTDHHQDSA-N","FBPFZTCFMRRESA","SHZGCJCMOBCMKK","InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1","SHZGCJCMOBCMKK-JFNONXLTSA-N","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA"
