"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.00653162318067387,2.18497887832523,1.59027546574189,0.669276689181363,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,3.55143007420678,0.0219560878243513,3.44173922309483,0.0279441117764471,3.57296906345758,0.0259481037924152,0.239,0.255489021956088
240,"240_183.09_0.7","hexane-1,2,3,4,5,6-hexol_[240_183.09_0.7]",183.086278461492,0.74251660539823,0.0312717537775676,1.50484776203938,0.693552941901148,-0.52792208097151,"Sorbogem","hexane-1,2,3,4,5,6-hexol","CHEBI:125392",0.861925203155878,-1.62829574948428,97.1592427557228,1,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA","C6H14O6","[M + H]+","C(C(C(C(C(CO)O)O)O)O)O","Carbohydrates","Monosaccharides","Saccharides","182.079038168","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-","FBPFZTCFMRRESA-GUCUJZIJSA-N","FBPFZTCFMRRESA","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO","C6H14O6","Galactitol","http://www.wikidata.org/entity/Q420367","Carbohydrates","Saccharides","Carbohydrates","Saccharides","Disaccharides","Veronica hederifolia","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Veroniceae']","['Veronica']","['Veronica hederifolia']","nan","502001.0","http://www.wikidata.org/entity/Q158319",9,1.96874807739539,0.199600798403194,1.94881009766875,0.19560878243513,1.99031926457252,0.201596806387226,0.1025,0.906187624750499
390,"390_165.08_1.4","hexane-1,2,3,4,5,6-hexol_[390_165.08_1.4]",165.076098522703,1.38244283211009,0.0137333843203016,1.86222242630901,0.664657839511842,-0.589316250930467,"Sorbogem","hexane-1,2,3,4,5,6-hexol","CHEBI:125392",0.689369268129197,-1.73570058255449,101.592823474228,1,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA","C6H14O6","[M - H2O + H]+","C(C(C(C(C(CO)O)O)O)O)O","Carbohydrates","Monosaccharides","Saccharides","164.068473484","InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1","SHZGCJCMOBCMKK-JFNONXLTSA-N","SHZGCJCMOBCMKK","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","C6H12O5","L-Rhamnose","http://www.wikidata.org/entity/Q74411108","Carbohydrates","Saccharides","Carbohydrates","Saccharides","Disaccharides","Plantago maritima","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Plantagineae']","['Plantago']","['Plantago maritima']","nan","236705.0","http://www.wikidata.org/entity/Q21126",6,2.91111254869791,0.0439121756487026,2.85132974256101,0.0598802395209581,2.97901194921082,0.0558882235528942,0.1815,0.321357285429142
1075,"1075_165.08_0.7","hexane-1,2,3,4,5,6-hexol_[1075_165.08_0.7]",165.076191250928,0.650918970789474,0.0313953723449711,1.50313436189987,0.681626891142671,-0.552945841845776,"Sorbogem","hexane-1,2,3,4,5,6-hexol","CHEBI:125392",0.670375216457058,-2.193282161376,118.733855123149,1,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA","C6H14O6","[M - H2O + H]+","C(C(C(C(C(CO)O)O)O)O)O","Carbohydrates","Monosaccharides","Saccharides","164.068473484","InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1","SHZGCJCMOBCMKK-JFNONXLTSA-N","SHZGCJCMOBCMKK","C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O","C6H12O5","L-Rhamnose","http://www.wikidata.org/entity/Q74411108","Carbohydrates","Saccharides","Carbohydrates","Saccharides","Disaccharides","Plantago maritima","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Plantagineae']","['Plantago']","['Plantago maritima']","nan","236705.0","http://www.wikidata.org/entity/Q21126",6,1.00100150250438,0.293413173652695,1.00100150250438,0.297405189620758,1.00100150250438,0.291417165668663,0.076,0.992015968063872
1224,"1224_345.19_2.9","NA_[1224_345.19_2.9]",345.190773703835,2.89813385,0.0486426317862026,1.31298293580553,1.3989279836774,0.484321694978906,"null",NA,NA,0.680459601769497,-78.409144151886,49.3263071875501,1,"InChI=1S/C17H28O7/c1-9-6-10(19)7-17(2,3)11(9)4-5-23-16-15(22)14(21)13(20)12(8-18)24-16/h6,11-16,18,20-22H,4-5,7-8H2,1-3H3","VXSOHGIOPJUTRX","C17H28O7","[M + H]+","CC1=CC(=O)CC(C1CCOC2C(C(C(C(O2)CO)O)O)O)(C)C","Terpenoids","Secoiridoid monoterpenoids","Apocarotenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38942503594182,0.199600798403194,1.34406227991274,0.17564870259481,1.37457856297529,0.169660678642715,0.159,0.698602794411178
1413,"1413_416.26_3.6","NA_[1413_416.26_3.6]",416.264404961684,3.59871218695652,0.00460837349437828,2.33645232993767,0.698224771025342,-0.518236554379557,"null",NA,NA,0.68791081641793,-275.455819311411,29.4931669509264,0.958291457286432,"InChI=1S/C21H37NO7/c1-12-8-21(27,29-14(3)13(12)2)9-19(26)22-10-16-7-17(25)20(4,5)18(28-16)6-15(24)11-23/h13-18,23-25,27H,1,6-11H2,2-5H3,(H,22,26)","YWJZKKGHAWXBLL","C21H37NO7","[M + H]+","CC1C(OC(CC1=C)(CC(=O)NCC2CC(C(C(O2)CC(CO)O)(C)C)O)O)C","Polyketides","Open-chain polyketides","Linear polyketides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97729023839609,0.0578842315369262,2.98319147533084,0.0379241516966068,3.16967215407829,0.0459081836327345,0.207,0.357285429141717
2002,"2002_740.46_3.5","NA_[2002_740.46_3.5]",740.462685990898,3.53495432876712,0.0241101381257077,1.61780030156527,1.53192566661435,0.615346295299024,"null",NA,NA,0.932808845508834,-292.378653801834,19.0710797969589,0.422613065326633,"InChI=1S/C30H57N15O7/c1-44(2)15-23(48)45-14-6-10-22(45)27(52)43-21(9-5-13-39-30(35)36)26(51)42-20(8-4-12-38-29(33)34)25(50)41-19(7-3-11-37-28(31)32)24(49)40-18(16-46)17-47/h16,18-22,47H,3-15,17H2,1-2H3,(H,40,49)(H,41,50)(H,42,51)(H,43,52)(H4,31,32,37)(H4,33,34,38)(H4,35,36,39)","DWYVYOKAWWYHEC","C30H57N15O7","[M + H]+","CN(C)CC(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CO)C=O","Amino acids and Peptides","Cyclic peptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03925390111266,0.0159680638722555,4.03925390111266,0.00798403193612774,4.14198137117131,0.0199600798403194,0.1835,0.217564870259481
2168,"2168_144.1_1.5","DL-Stachydrine_[2168_144.1_1.5]",144.101949366241,1.5254054398374,0.0438424037095092,1.35810564318339,1.38907375401069,0.474123202429884,"stachydrine","DL-Stachydrine","CHEBI:193587",0.717677599559007,-17.7050338659524,42.5306857554479,1,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/p+1","CMUNUTVVOOHQPW","C7H13NO2","[M + H]+","C[N+]1(CCCC1C(=O)O)C","Amino acids and Peptides","Pyrrolidine alkaloids","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9715804023779,0.137724550898204,1.85021033733688,0.179640718562874,1.98341520781671,0.159680638722555,0.178,0.666666666666667
2169,"2169_568.35_3.8","NA_[2169_568.35_3.8]",568.347646077474,3.8270436,0.0104594878524231,1.98048958012572,0.629003151832345,-0.668860848654814,"null",NA,NA,0.689996790326948,-231.121334678563,21.6002707936621,0.0482412060301508,"InChI=1S/C26H47N7O8/c1-13(2)19(31-22(36)15(4)29-24(38)20(16(5)34)32-21(35)14(3)28)25(39)33-12-8-10-18(33)23(37)30-17(26(40)41)9-6-7-11-27/h13-20,34H,6-12,27-28H2,1-5H3,(H,29,38)(H,30,37)(H,31,36)(H,32,35)(H,40,41)","BOFDHDDYNBHUFQ","C26H47N7O8","[M - H2O + H]+","CC(C)C(C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C)NC(=O)C(C(C)O)NC(=O)C(C)N","Amino acids and Peptides","Linear peptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6678275402208,0.0159680638722555,3.61521472249417,0.0199600798403194,3.70041626550316,0.0219560878243513,0.249,0.0738522954091816
2187,"2187_242.25_8.6","NA_[2187_242.25_8.6]",242.247906351723,8.55847344188034,0.00707916067589123,2.1500182303663,0.652551487702179,-0.615836357002456,"Pentadecanamide",NA,NA,0.948834852531188,-10.0554588205507,5.88262187588702,1,"InChI=1S/C15H31NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H2,16,17)","RQGCQWARLQDMCZ","C15H31NO","[M + H]+","CCCCCCCCCCCCCCC(=O)N","Fatty acids","Primary amides","Fatty amides","241.240564612","InChI=1S/C15H31NO/c1-14(2)12-10-8-6-4-3-5-7-9-11-13-15(16)17/h14H,3-13H2,1-2H3,(H2,16,17)","ZMLQVXILYPDTDA-UHFFFAOYSA-N","ZMLQVXILYPDTDA","CC(C)CCCCCCCCCCCC(N)=O","C15H31NO","13-Methyltetradecanamide","http://www.wikidata.org/entity/Q82494744","Fatty acids","Fatty amides","Fatty acids","Fatty amides","Primary amides","Bacillus pumilus","['Bacteria']","['Unknown']","['Firmicutes']","['Bacilli']","['Bacillales']","['Bacillaceae']","['Unknown']","['Bacillus']","['Bacillus pumilus']","nan","37567.0","http://www.wikidata.org/entity/Q4838979",0,3.3072427818282,0.0698602794411178,3.3072427818282,0.0538922155688623,3.44082817632328,0.0598802395209581,0.2365,0.231536926147705
