	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
Serinyl-Phenylalanine	0.487025360508157	0.177237000674864
1-isothiocyanato-6-(methylsulfinyl)hexane	0.173946561853166	0.546228606922
hexane-1,2,3,4,5,6-hexol	-0.295318367007709	0.353183324639768
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.247916770052308	0.398421815700141
heptaethylene glycol	-0.156917728635511	0.59791107828847
caffeic acid	0.291969850414531	0.39651328000539
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.321928094887362	0.355917683749582
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.29655626861597	0.333113371905073
N,N,N-Trimethyllysine	0.341304735507283	0.317579932733966
diethylamino hydroxybenzoyl hexyl benzoate	0.0707588737878866	0.764261403512927
SPB 17:1;2O	-0.286089393005287	0.403957146877818
tryptophol	-0.307707435650061	0.37396681224782
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.232979507825897	0.497108014940006
Benzoylcholine	-0.0979738345092246	0.770839978262916
arginine	0.46178352164473	0.160471776558013
phenylalanine	0.442582958446286	0.209952063475983
ACar 15:0	-0.289794994782562	0.39915677894573
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	-0.321928094887362	0.355917683749582
hydroxytyrosol	-0.0609767079918783	0.793518712880464
8-(methylsulfinyl)octyl isothiocyanate	-0.318191826748466	0.229616512228969
7,8-dihydro-8-oxoguanine	-0.199210563700215	0.496715357358954
3-hydroxykynurenine	0.54015542087357	0.137257374644471
tyrosine	0.403495358686626	0.21233783038031
carnitinium	0.419331705857113	0.145510320813822
phosphocholine	0.321928094887362	0.355917683749582
noradrenaline	0.517097638847524	0.149771893066791
caproylcholine	0.321928094887362	0.355917683749582
octadecan-1-amine	-0.0649747481740031	0.829652437168545
kynurenine	0.528970226966287	0.139797998570155
9-aminononanoic acid	-0.231282623464149	0.529496840337538
HDMBOA-Glc	0.426156660426349	0.195487840908037
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.164014481714002	0.641301801328032
pantothenic acid	0.307540705935511	0.367989695219177
gabapentin	-0.381889269531575	0.0648033209709872
DL-Stachydrine	0.283635974890118	0.381200435276405
1-cyano-8-(methylsulfinyl)octane	-0.321928094887362	0.355917683749582
alpha-CEHC	0.40481598402535	0.206072976843327
1-Hexadecylamine	-0.116709840045661	0.699114763235122
N-acetyltryptophan	0.32952569423556	0.340489502940614
3-(4-hydroxyphenyl)lactic acid	0.408226651300748	0.205830621210618
dopamine	0.115148608803046	0.644228420679634
12-aminododecanoic acid	-0.148670674560597	0.54023663933986
hexadecanamide	0.0629198888227929	0.766322217451221
3-(indol-3-yl)lactic acid	0.412090948941524	0.232448540279334
palmitoyl ethanolamide	0.202155588471951	0.519836114052789
n-Dimethylarginine	0.432209578633075	0.189347445816441
N-hexadecanoylglycine	0.173889622546879	0.387269544452801
bis(2-ethylhexyl) adipate	-0.226466273999843	0.405110868623881
glycyl-DL-phenylalanine	0.442932558103972	0.155562275064332
alanyl-leucine	0.276688146089304	0.368492194673266
(+)-N-Acetylmuramic acid	0.170588554127893	0.628311519537683
hordenine	0.269753679104248	0.362366248717229
pyributicarb	0.139700211180709	0.690844135435418
2-hydroxy-4-(methylthio)butanoic acid	0.237590883102991	0.485345577172113
6,7-dimethoxy-3-(4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl)-3H-isobenzofuran-1-one	-0.321928094887362	0.355917683749582
2-phenylethylamine	-0.202127819019935	0.523716281706917
citric acid	0.015431393851171	0.970539944149687
monoethyl phthalate	-0.169033868206719	0.509020381139694
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	0.445458557657929	0.185235111914773
glutamic acid	0.416771446950578	0.204323615912125
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	0.227306505479409	0.534398830620716
SPB 16:1;2O	-0.193997422823822	0.570123907952412
N-undecanoylglycine	0.0369663631986171	0.871349113730363
8-amino-7-oxononanoic acid	-0.029352048702234	0.893093734444968
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	-0.321928094887362	0.355917683749582
N,N-bis(2-hydroxyethyl)dodecanamide	-0.212915707138132	0.324396931750783
lombricine	0.318088119232071	0.360427281183832
octadecanamide	0.199998733301167	0.370044275725651
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	0.414329302110406	0.160489842739088
ACar 14:1	0.064331783941539	0.864877894877144
hexaethylene glycol	-0.127521169476596	0.642790880747875
H-gamma-Glu-Tyr-OH	0.321928094887362	0.355917683749582
avobenzone	0.528402403813622	0.139395364876501
N-methylnicotinic acid	0.06921875939695	0.805173355758614
serotonin	-0.321928094887362	0.355917683749582
hypoxanthine	0.364975048467937	0.254441396367853
epinine	-0.198668276399905	0.477303285961166
histidine	0.43963678707627	0.172952168101619
p-coumaroylagmatine	0.478448200231656	0.157010618584201
2-(4-Morpholinyl)benzothiazole	0.266392590669682	0.428509104952519
Valyl-Proline	0.336101412639376	0.273047824519681
N-(6-aminohexanoyl)-6-aminohexanoic acid	-0.0357995635318246	0.903851885776194
h-gamma-Glu-leu-oh	0.369526897158263	0.261605181159797
N-hippuryl-N(6)-(carboxymethyl)lysine	0.321928094887362	0.355917683749582
4-hydroxy-3-methoxycinnamoylagmatine	0.321928094887362	0.355917683749582
sulforaphane	0.198140608817875	0.476749668286338
