	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
4-hydroxystyrene	0.129692639929928	0.496494201393511
Elaidolinolenic acid	-0.0621523866609292	0.762837400003087
9-(methylsulfinyl)nonanoic acid	-0.237182157845884	0.205562107579073
1-[(9E)-octadecenoyl]glycerol	-0.00384503407025855	0.984727777182619
2-hydroxyemodic acid	0.181373827980349	0.289637724658903
sinapyl alcohol	-0.119422501513174	0.534397835131544
Serinyl-Phenylalanine	0.260037863758034	0.146005864619025
1-isothiocyanato-6-(methylsulfinyl)hexane	0.0308700691101014	0.853747853264203
hexane-1,2,3,4,5,6-hexol	0.000912881358690983	0.995542587001159
sanguinarine	0.192645077942396	0.337049057953584
7,9-dihydro-1H-purine-2,6,8(3H)-trione	-0.208135379221507	0.204285951938185
heptaethylene glycol	0.110749360339667	0.373651365774168
[(6Z,12E)-4,9,11-Triacetyloxy-3a-hydroxy-2,5,8,8,12-pentamethyl-2,3,4,5,9,10,11,13a-octahydro-1H-cyclopenta[12]annulen-1-yl] benzoate	0.192645077942396	0.337049057953584
trimazosin	-0.174261865240832	0.310992915096925
Methyl 2-octynoate	0.0653108928008146	0.689133323870631
caffeic acid	-0.0797772148129296	0.628085073622616
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.234804777052028	0.107967831944772
sinapic acid	0.256986021765134	0.155292208402451
quercetin	-0.56997493124875	0.000115850255786805
15-hydroxypentadecanoic acid	-0.31185620229871	0.0706281442881058
N-Phenylacetylaspartic acid	0.00526281377918166	0.97609345701172
Isoetharine	-0.00249778269530823	0.989476762182318
Isofraxidin	0.141552952278386	0.449502897735059
flavan-3,3',4',5,5',7-hexol	-0.0108535870470115	0.957634761031701
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.234188616865728	0.136677903565331
N,N,N-Trimethyllysine	0.414830218399571	0.01709612762163
bethanidine	-0.262019434305836	0.213821568647421
diethylamino hydroxybenzoyl hexyl benzoate	0.0505830466560298	0.789988187392304
1-monopalmitoylglycerol	0.183320385147631	0.320582232441931
tryptophol	-0.0741494129382379	0.646499504491267
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.204237436173803	0.304616198367907
myricetin	-0.448989906030114	0.00267657871917231
salicylic acid-2-O-glucoside	-0.0467654703454568	0.82069773607941
2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	-0.378906945163153	0.0156589551194443
Benzoylcholine	-0.0520610634780747	0.781255326457734
C18_Sphingosine*	-0.162733682920935	0.400296834039633
(2R,3R)-3,4',7-Trihydroxyflavanone	0.192645077942396	0.337049057953585
2-(hydroxymethyl)-6-[(e)-4-(1,2,4-trihydroxy-2,6,6-trimethylcyclohexyl)but-3-en-2-yl]oxyoxane-3,4,5-triol	0.149634915106938	0.374820298083827
3-(3,4-dihydroxyphenyl)propanoic acid	-0.16000014683548	0.458211258660383
Palmitoyl Serinol	-0.130805898822948	0.459152333784121
paracetamol	0.211782283350993	0.192305231707418
arginine	0.309037487866791	0.0782811428839936
phenylalanine	0.308449138871799	0.0624686195819358
Isochlorogenic acid	-0.235148389033129	0.182548554917072
Tricosanoylglycine	-0.271612916942973	0.0251561031524994
benzoxonium chloride	0.189148155845041	0.340360372253928
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	0.192645077942396	0.337049057953584
quinaldic acid	0.192645077942396	0.337049057953584
N-trans-feruloyl-3-methoxytyramine	0.192903840604568	0.359210845356836
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	-0.233009723756454	0.111917245001143
hydroxytyrosol	0.268751619425381	0.165072656338624
9,16-dihydroxy-palmitic acid	-0.199052546460163	0.305909969987737
8-(methylsulfinyl)octyl isothiocyanate	0.212573984548221	0.124392755082873
spermidine	-0.0638593424175974	0.71227132205893
4-acetamidobenzoic acid	-0.329143110378504	0.150701909463897
7,8-dihydro-8-oxoguanine	-0.049221069808652	0.803577833261532
(3,4,5-trihydroxy-6-{[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-3-yl]oxy}oxan-2-yl)methyl acetate	-0.192645077942396	0.337049057953584
prilocaine	0.0860551200313118	0.632286912674349
tyrosine	0.380661784180157	0.0676554603931824
Nifekalant	0.192645077942396	0.337049057953584
3-oxooctanoic acid	0.131956685112097	0.55066972971609
N-tridecanoylglycine	-0.275669005737394	0.107857851087225
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	0.462618978459103	0.000690674651434757
naringenin	-0.598288178483295	0.000277647677861877
sym-homospermidine	0.0171320669719815	0.935730274750248
N-[(5-Hydroxy-2-pyridinyl)methyl]adenosine	-0.233132618080355	0.238482737887201
quinolin-8-ol	0.227582429028473	0.158415464364737
carnitinium	0.180177227643566	0.270445965853487
kaempferol	-0.643576283421789	1.06946327546301e-05
13-Docosenoic acid, methyl ester	0.142231911524649	0.469825200896273
phosphocholine	0.129720593949335	0.475094394675887
noradrenaline	0.224419304066966	0.19084434450982
2-[(2-Amino-1-hydroxy-3-methylpentylidene)amino]-3-methylpentanoic acid	0.22538656880191	0.21558091283962
phenyl-[1-(2-phenylethyl)-4-piperidinyl]methanol	0.0555488364281517	0.789830615706138
6-methoxy-2-benzoxazolinone	0.0319016292437412	0.862676418386232
Keioside	-0.47810644970856	0.000627628123625288
fraxetin	0.0109304985971036	0.959368750399746
caproylcholine	0.258799885530171	0.197405012172883
2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one	0.192645077942396	0.337049057953584
L-Linalool 3-[xylosyl-(1->6)-glucoside]	-0.170927416530849	0.356638403847763
octadecan-1-amine	-0.129347181723971	0.553711291111384
kynurenine	0.13805726066341	0.353558979873071
4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one	-0.232721862591522	0.14413900229239
9-aminononanoic acid	0.275082739536534	0.0804625773853044
8-amino-7-oxononanoic acid	0.152305104261588	0.389824396004253
3-oxo-1,8-octanedicarboxylic acid	-0.326903460706341	0.0364473060806775
5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl hexopyranoside	0.0737967874031976	0.692726902066529
stearolic acid	0.178052873792871	0.367012382323804
(RS)-coclaurine	0.174494481962301	0.400684330191939
N-(dodecanoyl)ethanolamine	-0.0592993175385862	0.645265501097751
HDMBOA-Glc	0.192645077942396	0.337049057953584
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.338355406782037	0.0533032846041106
eupatorin	-0.162042920388339	0.409902295790342
3,6,9-Trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one	0.0627467334846345	0.712852975852256
5-hydroxymethylfurfural	-0.175266459904393	0.342772287671717
pantothenic acid	0.085304550955182	0.653772203487785
gabapentin	0.0341432458050769	0.832603066980688
DL-Stachydrine	0.283022579901769	0.0817468121265814
(3-phenoxyphenyl)methanol	0.069840590377871	0.753710630019216
spermine	0.143289582073056	0.530030268688361
alpha-CEHC	-0.15481703808521	0.502433909177381
1-cyano-8-(methylsulfinyl)octane	-0.411029816045926	0.0312083609402574
2-[4-[1,3-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-2-yl]oxy-3,5-dimethoxyphenyl]-5,7-dihydroxychromen-4-one	0.192645077942396	0.337049057953584
choline hydrogen sulfate	0.250968310772183	0.129793820597082
1-Hexadecylamine	-0.110720450753422	0.606263156368899
N-acetyltryptophan	0.113207250975727	0.487962913056562
Ethyl vanillate	-0.0429406298484003	0.784208482799752
nicotinic acid	0.227380443093823	0.175745599297039
Podophyllotoxin, glucoside	-0.109802835216767	0.597906646395483
3-(4-hydroxyphenyl)lactic acid	0.35115599482956	0.0686533281496947
(4-Hydroxy-3-methoxyphenyl)ethanol	0.190674440678593	0.262947072874975
4-[[4-(dimethylamino)-6-(4-morpholinyl)-1,3,5-triazin-2-yl]oxy]benzoic acid methyl ester	0.377773299607674	0.0963604543077617
4-chloro-N-[3-(3-methylanilino)-1-(5-nitro-2-furanyl)-3-oxoprop-1-en-2-yl]benzamide	0.321692202836387	0.0410818928717092
elaidic acid	-0.121718721973633	0.400572211962162
syringaresinol	-0.334876556517842	0.112563013466693
octadeca-9,12-diynoic acid	-0.213329595510372	0.17021209792271
N-Acetyl-ornithine	0.246418720518232	0.12464987494644
dopamine	0.225691594481587	0.235804226446877
12-aminododecanoic acid	0.0726301995985762	0.634751939417595
2-[3-(4-Hydroxy-3,5-dimethoxyphenyl)prop-2-enoyloxy]butanedioic acid	0.373549084869586	0.0345233193646701
alpha-Cyclohexylmandelic acid	-0.117880099031161	0.320213170195091
4-coumaric acid	-0.277137309214833	0.0821407720834811
N-(decanoyl)ethanolamine	0.279418893145462	0.110963593488477
hexadecanamide	-0.239615568384101	0.140931064298651
3,4-dimethoxycinnamyl acetate	0.192645077942396	0.337049057953584
3-(indol-3-yl)lactic acid	0.533882940445228	0.000998095285425804
