"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"4393_595.17_3.1",4393,595.165537944302,3.08922194027778,2.94077708999476e-06,5.53153789363444,0.642848878452395,-0.637448467647893,"Shikimates and Phenylpropanoids","Flavonoids","Flavones","isoscoparin 2''''-O-arabinoside",NA,"O=c1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12|O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12","COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)OC5C(C(C(CO5)O)O)O)O)O",NA,NA,NA,NA,"SFNFQCXADNWOCI|FIAAVMJLAGNUKW","InChI=1S/C27H30O15/c28-7-15-19(32)22(35)24(37)26(41-15)18-12(31)6-14-17(21(18)34)11(30)5-13(40-14)9-1-3-10(4-2-9)39-27-25(38)23(36)20(33)16(8-29)42-27/h1-6,15-16,19-20,22-29,31-38H,7-8H2/t15-,16-,19-,20-,22+,23+,24-,25-,26+,27-/m1/s1|InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-30,32-39H,6-7H2/t12-,13-,17-,18+,21+,22+,23-,24-,26+,27+/m1/s1","SFNFQCXADNWOCI-KETMJRJWSA-N|FIAAVMJLAGNUKW-KZBKGRIKSA-N","InChI=1S/C27H30O15/c1-38-15-4-9(2-3-10(15)29)14-5-11(30)18-16(40-14)6-12(31)19(22(18)35)25-26(23(36)21(34)17(7-28)41-25)42-27-24(37)20(33)13(32)8-39-27/h2-6,13,17,20-21,23-29,31-37H,7-8H2,1H3","KUWGHIQQQGCUJX"
"2402_372.17_2.4",2402,372.165554855946,2.36537260606061,4.79823185418072e-06,5.31891877042436,0.651678182987362,-0.617768397957912,"Alkaloids","Ornithine alkaloids","Polyamines","8-[bis(2-hydroxyethyl)amino]-3-methyl-7-(2-phenoxyethyl)purine-2,6-dione",NA,NA,"CN1C2=C(C(=O)NC1=O)N(C(=N2)N(CCO)CCO)CCOC3=CC=CC=C3",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C18H23N5O5/c1-21-15-14(16(26)20-18(21)27)23(9-12-28-13-5-3-2-4-6-13)17(19-15)22(7-10-24)8-11-25/h2-6,24-25H,7-12H2,1H3,(H,20,26,27)","OUMUXBTWZQODMN"
"4403_287.05_2.9",4403,287.054911120277,2.92317532758621,6.23278487741628e-06,5.20531786238497,0.619572558055811,-0.690654848812728,"Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Campherol","OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",NA,"IYRMWMYZSQPJKC-UHFFFAOYSA-N","IYRMWMYZSQPJKC","IYRMWMYZSQPJKC","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","IYRMWMYZSQPJKC-UHFFFAOYSA-N","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","IYRMWMYZSQPJKC"
"1758_287.05_3.2",1758,287.054708811102,3.15272295172414,1.06946327546301e-05,4.97083412417109,0.640124182477912,-0.643576283421789,"Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Campherol","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c21","O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12","C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",NA,"IYRMWMYZSQPJKC-UHFFFAOYSA-N","IYRMWMYZSQPJKC","IYRMWMYZSQPJKC","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","IYRMWMYZSQPJKC-UHFFFAOYSA-N","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H","IYRMWMYZSQPJKC"
"4355_349.09_2.4",4355,349.089650142616,2.36160988441558,2.63472209085668e-05,4.57926518719625,0.674820527155559,-0.567424235703039,"Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Melilotoside",NA,NA,"C1=CC=C(C(=C1)C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-2-1-3-8(9)5-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)","GVRIYIMNJGULCZ"
"2278_402.23_2.7",2278,402.233392715454,2.69444056,3.79519680793771e-05,4.42076569792789,1.45788889761325,0.543880779356352,"Amino acids and Peptides","Fatty amides","Polyamines","2-[[2-[[5-amino-2-[(2-amino-3-methylbutanoyl)amino]-5-oxopentanoyl]amino]-3-methylbutanoyl]amino]acetic acid",NA,NA,"CC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(C(C)C)C(=O)NCC(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C17H31N5O6/c1-8(2)13(19)16(27)21-10(5-6-11(18)23)15(26)22-14(9(3)4)17(28)20-7-12(24)25/h8-10,13-14H,5-7,19H2,1-4H3,(H2,18,23)(H,20,28)(H,21,27)(H,22,26)(H,24,25)","VQHPHAJHXVNLSR"
"851_344.13_2.4",851,344.134148623172,2.36467961538462,3.87583183467315e-05,4.41163507446386,0.668473433834914,-0.581057868355122,"Amino acids and Peptides","Amino acid glycosides","Cyanogenic glycosides","2-(Cyanomethylene)-3,5-dihydroxy-4-methoxycyclohexyl)-.beta.-glucoside","O=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1","O=C(/C=C/c1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O|O=C(O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1","COC1C(CC(C(=CC#N)C1O)OC2C(C(C(C(O2)CO)O)O)O)O","InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-1-8(2-5-9)3-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)/b6-3+/t10-,12-,13+,14-,15-/m1/s1",NA,"LJFYQZQUAULRDF-FDGSXQGBSA-N","LJFYQZQUAULRDF","DSNCQKUYZOSARM|LJFYQZQUAULRDF","InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-3-8-1-4-9(17)5-2-8/h1-6,10,12-17,19-21H,7H2/b6-3+/t10-,12-,13+,14-,15+/m1/s1|InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(23-10)22-9-4-1-8(2-5-9)3-6-11(17)18/h1-6,10,12-16,19-21H,7H2,(H,17,18)/b6-3+/t10-,12-,13+,14-,15-/m1/s1","DSNCQKUYZOSARM-QVLXMGEUSA-N|LJFYQZQUAULRDF-FDGSXQGBSA-N","InChI=1S/C15H23NO9/c1-23-14-7(18)4-8(6(2-3-16)10(14)19)24-15-13(22)12(21)11(20)9(5-17)25-15/h2,7-15,17-22H,4-5H2,1H3","SDYUFOBSNZFKRM"
"5256_595.17_3.2",5256,595.165518761623,3.2359945515625,4.39350059496319e-05,4.35718931045102,0.6721689745595,-0.573104141474025,"Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Nicotifolin","C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)O[C@H](CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O","CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O","CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O","InChI=1S/C27H30O15/c1-9-17(32)20(35)21(36)26(38-9)41-24-18(33)15(8-28)40-27(22(24)37)42-25-19(34)16-13(31)6-12(30)7-14(16)39-23(25)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-22,24,26-33,35-37H,8H2,1H3/t9-,15+,17-,18+,20+,21+,22+,24-,26-,27-/m0/s1",NA,"YFPYXTNSQOUHPS-NIILUQFKSA-N","YFPYXTNSQOUHPS","RTATXGUCZHCSNG","InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3","RTATXGUCZHCSNG-UHFFFAOYSA-N","InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3","RTATXGUCZHCSNG"
"2815_315.12_3.7",2815,315.117120531148,3.65950556111111,6.52532763299837e-05,4.18539767776269,1.59103968488931,0.669969820885161,"Amino acids and Peptides","Small peptides","Dipeptides","2-amino-3-[2-(4-fluoro-N-propan-2-ylanilino)-2-oxoethyl]sulfanylpropanoic acid",NA,NA,"CC(C)N(C1=CC=C(C=C1)F)C(=O)CSCC(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H19FN2O3S/c1-9(2)17(11-5-3-10(15)4-6-11)13(18)8-21-7-12(16)14(19)20/h3-6,9,12H,7-8,16H2,1-2H3,(H,19,20)","NYVPFDRTSVHZRO"
"1491_322.21_1.8",1491,322.212279486444,1.77129487758621,7.3050502261334e-05,4.13637679371222,1.50580484907884,0.590534810176333,"Alkaloids","Ornithine alkaloids","Polyamines","null",NA,NA,"COCC(=O)N1CC2COCCN2C3(C1)CN(C3)C4CCOCC4",NA,NA,NA,NA,"NABYCXSHQMCCEZ","nan","nan","InChI=1S/C17H29N3O4/c1-22-10-16(21)18-8-15-9-24-7-4-20(15)17(11-18)12-19(13-17)14-2-5-23-6-3-14/h14-15H,2-13H2,1H3","YXNJSDSULLKZNU"
