"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
5,"5_437.14_3.3","NA_[5_437.14_3.3]",437.141970986322,3.30554115263158,0.000532705138751127,3.27351311376427,0.679811769252021,-0.556792756110827,"null",NA,NA,0.275391806152483,-202.780276019008,23.2706989300788,0.989447236180905,"InChI=1S/C19H26O10/c1-19(26,7-13(20)21)8-14(22)27-10-12-15(23)16(24)17(25)18(29-12)28-9-11-5-3-2-4-6-11/h2-6,12,15-18,23-26H,7-10H2,1H3,(H,20,21)","WMJMUBCEXZDILC","C19H26O10","[M + Na]+","CC(CC(=O)O)(CC(=O)OCC1C(C(C(C(O1)OCC2=CC=CC=C2)O)O)O)O","Terpenoids","Simple phenolic acids","Sesquiterpenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.794411177644711,0,0.818363273453094,0,0.770459081836327,0,1
7,"7_409.22_5.4","NA_[7_409.22_5.4]",409.219755597236,5.38612192638889,0.0260420820260415,1.58432429751265,0.797734600111755,-0.326019241657733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.732534930139721,0,0.74251497005988,0,0.688622754491018,0.014,0.375249500998004
19,"19_548.31_3.8","NA_[19_548.31_3.8]",548.306663064396,3.78497014705882,0.0146167344829959,1.83514964204457,0.769105415591086,-0.378746743608452,"1-[2,6-di(propan-2-yl)phenyl]-3-[[1-[1-[(4-fluorophenyl)methyl]indol-3-yl]cyclopentyl]methyl]urea",NA,NA,0.126952052120575,-460.634172989248,19.1735307935318,0.999497487437186,"InChI=1S/C34H40FN3O/c1-23(2)27-11-9-12-28(24(3)4)32(27)37-33(39)36-22-34(18-7-8-19-34)30-21-38(31-13-6-5-10-29(30)31)20-25-14-16-26(35)17-15-25/h5-6,9-17,21,23-24H,7-8,18-20,22H2,1-4H3,(H2,36,37,39)","VHUDUIOMUUETFO","C34H40FN3O","[M + Na]+","CC(C)C1=C(C(=CC=C1)C(C)C)NC(=O)NCC2(CCCC2)C3=CN(C4=CC=CC=C43)CC5=CC=C(C=C5)F","Alkaloids","Tropane alkaloids","Anthranilic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.159680638722555,1.00100150250438,0.157684630738523,1.00100150250438,0.177644710578842,0.0114285714285714,0.373253493013972
23,"23_487.25_4.3","NA_[23_487.25_4.3]",487.252499264781,4.297479025,0.0172966518369205,1.76203795637854,0.760838257509275,-0.394338303300851,"null",NA,NA,0.286452012751885,-162.317209075341,73.068986501628,1,"InChI=1S/C24H40O11/c1-12-7-14(26)8-23(3,4)15(12)6-5-13(2)34-21-19(29)18(28)17(27)16(35-21)9-32-22-20(30)24(31,10-25)11-33-22/h5-7,13-22,25-31H,8-11H2,1-4H3","NQBMFFMRSAECDY","C24H40O11","[M - H2O + H]+","CC1=CC(CC(C1C=CC(C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O)(C)C)O","Terpenoids","Eudesmane sesquiterpenoids","Sesquiterpenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.792415169660679,0,0.784431137724551,0,0.734530938123752,0,1
24,"24_348.72_3.5","NA_[24_348.72_3.5]",348.722459825605,3.45581344745763,0.0280874760632726,1.55148728468739,1.24696870004791,0.318425252775935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.788423153692615,0,0.792415169660679,0,0.746506986027944,0.0128571428571429,0.387225548902196
31,"31_403.23_8.6","Acetyl tributyl citrate_[31_403.23_8.6]",403.232619494927,8.56069000325203,0.0337106079345972,1.47223341537401,0.815990906254197,-0.293375020601225,"Blo-trol","Acetyl tributyl citrate","CHEBI:168067",0.157285217527624,-75.8766732429876,59.1772370778708,1,"InChI=1S/C20H34O8/c1-5-8-11-25-17(22)14-20(28-16(4)21,19(24)27-13-10-7-3)15-18(23)26-12-9-6-2/h5-15H2,1-4H3","QZCLKYGREBVARF","C20H34O8","[M + H]+","CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C","Fatty acids","Wax monoesters","Fatty esters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.774451097804391,0,0.750499001996008,0,0.698602794411178,0,1
34,"34_358.11_3.3","NA_[34_358.11_3.3]",358.11308136003,3.27399182,0.0385437824176309,1.41404566896178,1.24783124433822,0.319422838512262,"4-O-methyl-DIBOA-Glc",NA,NA,0.201204619990369,-255.576786605339,29.7436333700953,0.957286432160804,"InChI=1S/C15H19NO9/c1-22-16-7-4-2-3-5-8(7)23-15(13(16)21)25-14-12(20)11(19)10(18)9(6-17)24-14/h2-5,9-12,14-15,17-20H,6H2,1H3","SXGAXOMQODZFEX","C15H19NO9","[M + H]+","CON1C2=CC=CC=C2OC(C1=O)OC3C(C(C(C(O3)CO)O)O)O","Shikimates and Phenylpropanoids","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)","340.0794320919999","InChI=1S/C15H16O9/c16-5-10-12(19)13(20)14(21)15(24-10)23-9-3-6-1-2-11(18)22-8(6)4-7(9)17/h1-4,10,12-17,19-21H,5H2/t10-,12-,13+,14-,15-/m1/s1","XHCADAYNFIFUHF-TVKJYDDYSA-N","XHCADAYNFIFUHF","O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1","C15H16O9","Esculin","http://www.wikidata.org/entity/Q376432","Shikimates and Phenylpropanoids","Coumarins","Shikimates and Phenylpropanoids","Coumarins","Simple coumarins","Solanum virginianum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum virginianum']","nan","138106.0","http://www.wikidata.org/entity/Q1483086",8,0,0.776447105788423,0,0.772455089820359,0,0.710578842315369,0,1
43,"43_307.18_2.2","4-hydroxy-3-methoxycinnamoylagmatine_[43_307.18_2.2]",307.176527024519,2.24661596964286,0.0103390691433943,1.98551856028322,1.38801788205392,0.473026154504304,"feruloylagmatine","4-hydroxy-3-methoxycinnamoylagmatine","CHEBI:86091",0.990722896467195,-89.1443878987324,36.9965530780359,1,"InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL","C15H22N4O3","[M + H]+","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","Alkaloids","Polyamines","Ornithine alkaloids","306.169190564","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","UBMDAKWARMURDL","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","C15H22N4O3","Feruloylagmatine","http://www.wikidata.org/entity/Q27145385","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Corydalis saxicola","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Ranunculales']","['Papaveraceae']","['Unknown']","['Corydalis']","['Corydalis saxicola']","nan","345836.0","http://www.wikidata.org/entity/Q15250588",4,1.41705050316284,0.0159680638722555,1.38942503594182,0.0239520958083832,1.41120774204966,0.0179640718562874,0.0277142857142857,0.0698602794411178
65,"65_464.32_3.8","NA_[65_464.32_3.8]",464.321758195516,3.78570350392157,0.00497721648317635,2.30301346928124,0.750395894739244,-0.414276159698699,"null",NA,NA,0.0471179183886469,-468.935038409408,18.0254064472427,1,"InChI=1S/C24H41N5O4/c1-26-11-8-18(9-12-26)29-15-10-20-22(29)23(31)25-16-19(27(20)2)4-5-21(30)28-13-6-17(7-14-28)24(32)33-3/h17-20,22H,4-16H2,1-3H3,(H,25,31)","BDOWQTNYOUWPOW","C24H41N5O4","[M + H]+","CN1CCC(CC1)N2CCC3C2C(=O)NCC(N3C)CCC(=O)N4CCC(CC4)C(=O)OC","Amino acids and Peptides","Pregnane steroids","Steroids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.129740518962076,1.00100150250438,0.119760479041916,1.00100150250438,0.147704590818363,0.0137142857142857,0.261477045908184
71,"71_182.08_2.4","NA_[71_182.08_2.4]",182.081216062684,2.38423139262295,0.0282151952218016,1.5495169404867,1.25586191776269,0.32867784837746,"Acetamide, N-(4-hydroxy-2-methoxyphenyl)-",NA,NA,0.245711328275625,-99.5643570086002,35.6952370117975,1,"InChI=1S/C9H11NO3/c1-6(11)10-8-4-3-7(12)5-9(8)13-2/h3-5,12H,1-2H3,(H,10,11)","WSLZRANFLVSYSP","C9H11NO3","[M + H]+","CC(=O)NC1=C(C=C(C=C1)O)OC","Alkaloids","Simple amide alkaloids","Anthranilic acid alkaloids","nan","nan","nan","TYPKOZGUGCPSGX",NA,"nan","nan","nan","nan","nan","Amino acids and Peptides","Small peptides","Aminoacids","nan","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","nan","nan","nan",0,0,0.720558882235529,0,0.712574850299401,0,0.67065868263473,0,1
