	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
Serinyl-Phenylalanine	-0.137586979783122	0.350183903222575
1-isothiocyanato-6-(methylsulfinyl)hexane	0.127340459056611	0.224945601998961
hexane-1,2,3,4,5,6-hexol	0.111360373578556	0.239757147871051
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.208460067205506	0.0931317625503098
heptaethylene glycol	0.148064741145185	0.11291497436711
caffeic acid	-0.207800609876577	0.137051830499667
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.115477217419936	0.307913068950034
sinapic acid	-0.0357882432008977	0.701945553965323
N-Phenylacetylaspartic acid	-0.203758436715782	0.0985054595256129
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.160231280551802	0.176159690329658
N,N,N-Trimethyllysine	0.0934429348099911	0.412165618629886
diethylamino hydroxybenzoyl hexyl benzoate	0.0702990992696104	0.540359815478952
SPB 17:1;2O	0.115477217419936	0.307913068950034
tryptophol	0.0423485556245731	0.723691638967346
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.0220489075307162	0.856558833947091
Benzoylcholine	0.0666812982976163	0.52675354689575
arginine	-0.0655122181742071	0.52600492598478
phenylalanine	0.0252887324257094	0.810841303910578
ACar 15:0	-0.106915203916512	0.347450201330874
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	0.17432876017644	0.206312401119427
hydroxytyrosol	-0.0339719635573852	0.710120900556416
8-(methylsulfinyl)octyl isothiocyanate	-0.0565493740901985	0.612539705889084
7,8-dihydro-8-oxoguanine	0.143524372411227	0.224111181322256
tyrosine	-0.00856284031545864	0.932361380646328
naringenin	-0.0851135534540705	0.538336602604008
carnitinium	0.0231510542758693	0.840148677477507
phosphocholine	-0.0464805850960531	0.687932741853703
noradrenaline	-0.044847209801878	0.65478152905584
caproylcholine	-0.0081737835650693	0.950536657642079
2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one	0.147214223172729	0.287430555447326
octadecan-1-amine	0.0435262654521264	0.731887394582206
kynurenine	-0.0220567257774058	0.860161950501508
9-aminononanoic acid	-0.0162353984611852	0.88630585701542
HDMBOA-Glc	0.146481465067029	0.290621852689734
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.0587518137036133	0.613153220591389
pantothenic acid	-0.0781754025861495	0.401229120263709
gabapentin	0.202292508032104	0.138467253755042
DL-Stachydrine	0.0110254110005139	0.927024173997574
1-cyano-8-(methylsulfinyl)octane	0.087559456894763	0.447105421521665
alpha-CEHC	0.0878143055401581	0.540505737073891
