"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"2882_215.1_4.4",2882,215.096154037905,4.43728836326531,0.00299061483815561,2.52423951623475,1.35810109692976,0.441590877675776,"Alkaloids","Tetramate alkaloids","pteridine alkaloids","Sencorex","CSC1=NN=C(C(=O)N1N)C(C)(C)C","CC1C(O)CC2C(C(=O)O)COC(=O)C12","CC(C)(C)C1=NN=C(N(C1=O)N)SC","1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",NA,"FOXFZRUHNHCZPX-UHFFFAOYSA-N","FOXFZRUHNHCZPX","LEAZKSVQWBGNCL","InChI=1S/C10H14O5/c1-4-7(11)2-5-6(9(12)13)3-15-10(14)8(4)5/h4-8,11H,2-3H2,1H3,(H,12,13)","LEAZKSVQWBGNCL-UHFFFAOYSA-N","InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","FOXFZRUHNHCZPX"
"5298_265.15_2.2",5298,265.154517641193,2.17528754495413,0.00340665717740912,2.46767156864835,1.3166405618506,0.396861548774635,"Alkaloids","Ornithine alkaloids","Polyamines","Subaphyllin","O=C(C=CC=1C=CC(O)=C(OC)C=1)NCCCCN","COc1cc(C=CC(=O)NCCCCN)ccc1O","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O","1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)",NA,"SFUVCMKSYKHYLD-UHFFFAOYSA-N","SFUVCMKSYKHYLD","SFUVCMKSYKHYLD","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)","SFUVCMKSYKHYLD-UHFFFAOYSA-N","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)","SFUVCMKSYKHYLD"
"5602_265.15_2.2",5602,265.154619255352,2.24606476037736,0.00355465851883042,2.44920211378396,1.26690371981877,0.341306888947607,"Alkaloids","Ornithine alkaloids","Polyamines","Subaphyllin","O=C(C=CC=1C=CC(O)=C(OC)C=1)NCCCCN","COc1cc(/C=C/C(=O)NCCCCN)ccc1O","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O","1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)",NA,"SFUVCMKSYKHYLD-UHFFFAOYSA-N","SFUVCMKSYKHYLD","SFUVCMKSYKHYLD","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)/b7-5+","SFUVCMKSYKHYLD-FNORWQNLSA-N","InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)","SFUVCMKSYKHYLD"
"2667_321.19_2.6",2667,321.19218087967,2.64542305319149,0.0041067481592308,2.38650192885073,1.28077711407555,0.35701943399687,"Alkaloids","Ornithine alkaloids","Polyamines","null",NA,NA,"COC1=C(C=C(C=C1)C=CC(=O)NCCCCN=C(N)N)OC",NA,NA,NA,NA,"CCZXUYRSGKPBHZ","nan","nan","InChI=1S/C16H24N4O3/c1-22-13-7-5-12(11-14(13)23-2)6-8-15(21)19-9-3-4-10-20-16(17)18/h5-8,11H,3-4,9-10H2,1-2H3,(H,19,21)(H4,17,18,20)","CCZXUYRSGKPBHZ"
"4411_158.08_1.8",4411,158.081233513885,1.75774874308943,0.00721110704014054,2.14199805781623,1.24551345374717,0.316740605319816,"Amino acids and Peptides","Small peptides","Dipeptides","Acetylproline","CC(=O)N1CCC[C@H]1C(=O)O",NA,"CC(=O)N1CCCC1C(=O)O","InChI=1S/C7H11NO3/c1-5(9)8-4-2-3-6(8)7(10)11/h6H,2-4H2,1H3,(H,10,11)/t6-/m0/s1",NA,"GNMSLDIYJOSUSW-LURJTMIESA-N","GNMSLDIYJOSUSW",NA,NA,NA,"InChI=1S/C7H11NO3/c1-5(9)8-4-2-3-6(8)7(10)11/h6H,2-4H2,1H3,(H,10,11)","GNMSLDIYJOSUSW"
"4766_307.18_2.3",4766,307.176642371034,2.30365449605263,0.00968880546962735,2.01372976370548,1.28475895617572,0.361497709341163,"Amino acids and Peptides","Phenylpropanoids (C6-C3)","Cinnamic acid amides","feruloylagmatine","COc1c(O)ccc(/C=C/C(=O)NCCCCNC(C)=O)c1","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","InChI=1S/C16H22N2O4/c1-12(19)17-9-3-4-10-18-16(21)8-6-13-5-7-14(20)15(11-13)22-2/h5-8,11,20H,3-4,9-10H2,1-2H3,(H,17,19)(H,18,21)/b8-6+","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO","UBMDAKWARMURDL","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL"
"3405_265.15_2.5",3405,265.15466792084,2.49787677425743,0.0103770816137157,1.98392476761145,1.21857064933026,0.285189896923931,"Amino acids and Peptides","Small peptides","Dipeptides","valylphenylalanine",NA,NA,"CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H20N2O3/c1-9(2)12(15)13(17)16-11(14(18)19)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)","GJNDXQBALKCYSZ"
"911_307.18_2.5",911,307.176507414768,2.53403085897436,0.0116210750683139,1.93475369340529,1.27634044556033,0.352013198703819,"Amino acids and Peptides","Phenylpropanoids (C6-C3)","Cinnamic acid amides","feruloylagmatine","COc1c(O)ccc(/C=C/C(=O)NCCCCNC(C)=O)c1","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","InChI=1S/C16H22N2O4/c1-12(19)17-9-3-4-10-18-16(21)8-6-13-5-7-14(20)15(11-13)22-2/h5-8,11,20H,3-4,9-10H2,1-2H3,(H,17,19)(H,18,21)/b8-6+","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO","UBMDAKWARMURDL","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL"
"238_280.26_9",238,280.263532638648,9.04370696810345,0.0126745487621551,1.8970674934222,0.900728478369481,-0.150835818976964,"Fatty acids","Fatty amides","N-acyl amines","linoleamide",NA,"CCCCCCCCCCCCCC=CC=CC(N)=O","CCCCCC=CCC=CCCCCCCCC(=O)N",NA,NA,NA,NA,"QFIHQWXKTUONPL","InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H,2-13H2,1H3,(H2,19,20)","QFIHQWXKTUONPL-UHFFFAOYSA-N","InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)","SFIHQZFZMWZOJV"
"4214_337.19_2.3",4214,337.187273846185,2.33206771071429,0.0134211141760944,1.87221142899236,1.22305701724509,0.290491661902356,"Amino acids and Peptides","Phenylpropanoids (C6-C3)","Cinnamic acid amides","Arphamenine B",NA,NA,"C1=CC(=CC=C1CC(CC(=O)C(CCCN=C(N)N)N)C(=O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C16H24N4O4/c17-13(2-1-7-20-16(18)19)14(22)9-11(15(23)24)8-10-3-5-12(21)6-4-10/h3-6,11,13,21H,1-2,7-9,17H2,(H,23,24)(H4,18,19,20)","RRJCLYMGCZJLBQ"
