"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.0368379009345713,1.43370512436294,1.18106694144863,0.240090737265982,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,8.26370409638469,0.00199600798403194,7.99610184747724,0.00199600798403194,8.62587598207082,0.00199600798403194,1.55621828449157,0.00399201596806387
238,"238_280.26_9","NA_[238_280.26_9]",280.263532638648,9.04370696810345,0.0126745487621551,1.8970674934222,0.900728478369481,-0.150835818976964,"linoleamide",NA,NA,0.713212240089307,-33.1544910590703,100.3834261544,1,"InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)","SFIHQZFZMWZOJV","C18H33NO","[M + H]+","CCCCCC=CCC=CCCCCCCCC(=O)N","Fatty acids","N-acyl amines","Fatty amides","279.256214676","InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H,2-13H2,1H3,(H2,19,20)","QFIHQWXKTUONPL-UHFFFAOYSA-N","QFIHQWXKTUONPL","CCCCCCCCCCCCCC=CC=CC(N)=O","C18H33NO","Octadecadienamide","http://www.wikidata.org/entity/Q104396729","nan","nan","nan","nan","nan","Piper longum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Piperales']","['Piperaceae']","['Unknown']","['Piper']","['Piper longum']","nan","97780.0","http://www.wikidata.org/entity/Q685336",4,2.73660420884036,0.0818363273453094,2.37808630482691,0.0798403193612774,2.88916539645184,0.0878243512974052,0.471126767422464,0.465069860279441
421,"421_227.18_2","N-(6-aminohexanoyl)-6-aminohexanoic acid_[421_227.18_2]",227.175434902376,1.99276284482759,0.0330032387800693,1.48144343844659,1.23407219238948,0.303426793641171,"nylon linear dimer","N-(6-aminohexanoyl)-6-aminohexanoic acid","CHEBI:49255",0.738504905361426,-47.2794356356459,40.1972196340574,1,"InChI=1S/C12H24N2O3/c13-9-5-1-3-7-11(15)14-10-6-2-4-8-12(16)17/h1-10,13H2,(H,14,15)(H,16,17)","IWENLYKHSZCPRD","C12H24N2O3","[M - H2O + H]+","C(CCC(=O)NCCCCCC(=O)O)CCN","Fatty acids","N-acyl amines","Fatty amides","226.168127944","InChI=1S/C12H22N2O2/c1-7(2)5-9-11(15)14-10(6-8(3)4)12(16)13-9/h7-10H,5-6H2,1-4H3,(H,13,16)(H,14,15)/t9-,10-/m0/s1","XWYXUMDVQIOAPR-UWVGGRQHSA-N","XWYXUMDVQIOAPR","CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O","C12H22N2O2","Cyclo(L-leucyl-L-leucyl)","http://www.wikidata.org/entity/Q27135732","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Dipeptides","Kandelia candel","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Rhizophoraceae']","['Unknown']","['Kandelia']","['Kandelia candel']","nan","973786.0","http://www.wikidata.org/entity/Q3847237",1,0.613266195653784,0.265469061876248,1.00100150250438,0.187624750499002,0.805506609410223,0.211576846307385,0.103744289762525,0.986027944111776
665,"665_235.14_2.8","N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide_[665_235.14_2.8]",235.143953403015,2.7858100875,0.0334251489093723,1.47592664927541,1.17479133206709,0.23240452621466,"p-Coumaroylputrescine","N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide","CHEBI:182610",0.792997510555261,-68.5786908521659,62.1741375462455,1,"InChI=1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)","CJHDBEPXEKGBDW","C13H18N2O2","[M + H]+","C1=CC(=CC=C1C=CC(=O)NCCCCN)O","Amino acids and Peptides","Cinnamic acid amides","Phenylpropanoids (C6-C3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.803959159606,0.101796407185629,2.74711950945464,0.0479041916167665,2.64693908374587,0.0479041916167665,0.182548090021434,0.904191616766467
711,"711_171.03_1","gallic acid_[711_171.03_1]",171.028756592648,1.02409322411765,0.035819126950233,1.44588500378339,1.18306985118585,0.242535256251163,"gallate","gallic acid","CHEBI:30778",0.865908617800367,-0.613306386394557,114.406205654999,1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)","LNTHITQWFMADLM","C7H6O5","[M + H]+","C1=C(C=C(C(=C1O)O)O)C(=O)O","Shikimates and Phenylpropanoids","Gallotannins","Phenolic acids (C6-C1)","170.021523292","InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)","LNTHITQWFMADLM-UHFFFAOYSA-N","LNTHITQWFMADLM","O=C(O)c1cc(O)c(O)c(O)c1","C7H6O5","Gallic Acid","http://www.wikidata.org/entity/Q375837","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","nan","nan","nan","Euphorbia hirta","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Euphorbiaceae']","['Euphorbieae']","['Euphorbia']","['Euphorbia hirta']","nan","851849.0","http://www.wikidata.org/entity/Q36177",8,-0.184848158005796,0.445109780439122,0.252442542019175,0.335329341317365,0.501812889069851,0.289421157684631,0.153256313222381,0.996007984031936
819,"819_277.17_2.4","p-coumaroylagmatine_[819_277.17_2.4]",277.165936671456,2.36503349883721,0.016148341676363,1.79187207009965,1.22474839456642,0.292485400498021,"4-coumaroylagmatine","p-coumaroylagmatine","CHEBI:32818",0.999244789464334,-17.0355999738301,42.7633905151239,1,"InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)","AKIHYQWCLCDMMI","C14H20N4O2","[M + H]+","C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O","Amino acids and Peptides","Cinnamic acid amides","Phenylpropanoids (C6-C3)","276.15862588","InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)/b8-5+","AKIHYQWCLCDMMI-VMPITWQZSA-N","AKIHYQWCLCDMMI","N=C(N)NCCCCNC(=O)/C=C/c1ccc(O)cc1","C14H20N4O2","p-Coumaroylagmatine","http://www.wikidata.org/entity/Q27158879","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Arabidopsis thaliana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Camelineae']","['Arabidopsis']","['Arabidopsis thaliana']","nan","309263.0","http://www.wikidata.org/entity/Q158695",4,6.81114935689869,0.00199600798403194,6.27971895261738,0.00199600798403194,7.20283429031716,0.00199600798403194,1.20537564811462,0.00199600798403194
911,"911_307.18_2.5","4-hydroxy-3-methoxycinnamoylagmatine_[911_307.18_2.5]",307.176507414768,2.53403085897436,0.0116210750683139,1.93475369340529,1.27634044556033,0.352013198703819,"feruloylagmatine","4-hydroxy-3-methoxycinnamoylagmatine","CHEBI:86091",0.995105802215097,-12.0200753350319,42.9773484801162,1,"InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL","C15H22N4O3","[M + H]+","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","Amino acids and Peptides","Cinnamic acid amides","Phenylpropanoids (C6-C3)","306.169190564","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","UBMDAKWARMURDL","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","C15H22N4O3","Feruloylagmatine","http://www.wikidata.org/entity/Q27145385","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Corydalis saxicola","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Ranunculales']","['Papaveraceae']","['Unknown']","['Corydalis']","['Corydalis saxicola']","nan","345836.0","http://www.wikidata.org/entity/Q15250588",4,1.34960213258899,0.167664670658683,-1.01077157384811,0.634730538922156,0.797345252309984,0.221556886227545,0.0892389915966387,1
1841,"1841_270.28_9.5","NA_[1841_270.28_9.5]",270.279062411042,9.46654222682926,0.0449426150695207,1.34734166095071,0.918334062136671,-0.122909036980392,"Heptadecanamide",NA,NA,0.696567156030353,-14.950183831578,8.42046031828245,1,"InChI=1S/C17H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H2,18,19)","REEPJBYQLCWOAR","C17H35NO","[M + H]+","CCCCCCCCCCCCCCCCC(=O)N","Fatty acids","Primary amides","Fatty amides","269.27186474","InChI=1S/C17H35NO/c1-16(2)14-12-10-8-6-4-5-7-9-11-13-15-18-17(3)19/h16H,4-15H2,1-3H3,(H,18,19)","AMLDBWWQKYLAHJ-UHFFFAOYSA-N","AMLDBWWQKYLAHJ","CC(=O)NCCCCCCCCCCCCC(C)C","C17H35NO","N-(13-Methyltetradecyl)acetamide","http://www.wikidata.org/entity/Q27155104","Fatty acids","Fatty amides","Fatty acids","Fatty amides","Primary amides","Capsicum annuum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Capsiceae']","['Capsicum']","['Capsicum annuum']","nan","473836.0","http://www.wikidata.org/entity/Q1380",4,0.330312667519621,0.313373253493014,1.07806073477901,0.17564870259481,0.876628718449741,0.197604790419162,0.329127916936864,0.734530938123752
2002,"2002_740.46_3.5","NA_[2002_740.46_3.5]",740.462685990898,3.53495432876712,0.0474370690678551,1.32388215200003,1.17665710915627,0.234693964393834,"null",NA,NA,0.932808845508834,-292.378653801834,19.0710797969589,0.422613065326633,"InChI=1S/C30H57N15O7/c1-44(2)15-23(48)45-14-6-10-22(45)27(52)43-21(9-5-13-39-30(35)36)26(51)42-20(8-4-12-38-29(33)34)25(50)41-19(7-3-11-37-28(31)32)24(49)40-18(16-46)17-47/h16,18-22,47H,3-15,17H2,1-2H3,(H,40,49)(H,41,50)(H,42,51)(H,43,52)(H4,31,32,37)(H4,33,34,38)(H4,35,36,39)","DWYVYOKAWWYHEC","C30H57N15O7","[M + H]+","CN(C)CC(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CO)C=O","Amino acids and Peptides","Cyclic peptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91337918000764,0.0838323353293413,-0.156177571144113,0.415169660678643,1.28908853281308,0.141716566866267,0.0646155311355311,1
2241,"2241_333.26_3.3","NA_[2241_333.26_3.3]",333.264972595894,3.3337056,0.0418891623414286,1.37789832414899,1.20159217972374,0.264947328558625,"null",NA,NA,0.860451568747148,-164.444081547261,27.9067278407764,1,"InChI=1S/C19H32N4O/c24-19-16-18(17-8-2-1-3-9-17)22-14-6-12-20-10-4-5-11-21-13-7-15-23-19/h1-3,8-9,18,20-22H,4-7,10-16H2,(H,23,24)","XLQJYFZMKKAAMB","C19H32N4O","[M + H]+","C1CCNCCCNC(=O)CC(NCCCNC1)C2=CC=CC=C2","Alkaloids","Polyamines","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50908159681608,0.0518962075848303,2.19560705759066,0.0818363273453094,2.96247985765194,0.06187624750499,0.0773529045595825,0.980039920159681
