	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
Serinyl-Phenylalanine	-0.199986393759512	0.24348998531678
1-isothiocyanato-6-(methylsulfinyl)hexane	0.335834834823476	0.0313320240849961
hexane-1,2,3,4,5,6-hexol	0.138270181968636	0.213375048374696
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.248145145385541	0.103673922329011
heptaethylene glycol	0.199431897694226	0.151926452291834
caffeic acid	-0.278990251122593	0.0124625495321187
sinapic acid	-0.155681341106661	0.141059587837972
N-Phenylacetylaspartic acid	-0.242601279055901	0.0538994729595641
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	-0.049321972301337	0.709007441754198
N,N,N-Trimethyllysine	0.212581299673019	0.115762985603759
diethylamino hydroxybenzoyl hexyl benzoate	0.10258754838289	0.534071237105279
tryptophol	-0.0660605950586768	0.643380987856672
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.0940462792677721	0.581277499221451
Benzoylcholine	-0.00418397403316955	0.979499111696499
arginine	0.0556582424020207	0.649863483633154
phenylalanine	0.134756510212049	0.224273111959374
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	0.197940174287733	0.259236993965328
hydroxytyrosol	-0.0504607616493111	0.597455378260656
8-(methylsulfinyl)octyl isothiocyanate	-0.064070822081965	0.671256686639116
7,8-dihydro-8-oxoguanine	0.190204181306717	0.247794174500099
tyrosine	0.172091421270856	0.153782076779043
naringenin	-0.119847957110476	0.475992648901382
carnitinium	-0.0560283995183496	0.718818464605794
phosphocholine	-0.168452682576429	0.127431645250736
noradrenaline	-0.0464782649676681	0.731518824677855
caproylcholine	-0.0755689064067104	0.462226643782105
2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one	0.0292428585036409	0.851200680177765
octadecan-1-amine	-0.184909836215954	0.257913372754743
kynurenine	0.051877036102597	0.736470239432134
9-aminononanoic acid	0.220385213647853	0.257966247949257
HDMBOA-Glc	0.0264647637048618	0.865535979247464
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	-0.213712446592879	0.208053832229137
pantothenic acid	-0.127769930193915	0.222202022357034
gabapentin	0.275279348633679	0.0431290234250791
DL-Stachydrine	0.0970039444520983	0.54262393321173
