"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"74_225.08_4",74,225.075606689917,3.960327568,0.00029943251713533,3.52370103884394,1.52417437926721,0.608027969571524,"Polyketides","Meroterpenoids","Simple cyclic polyketides","Trinexapac","C(C1)C1C(O)=C(C(=O)CC2C(=O)O)C(=O)C2","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)/b10-9-",NA,"DFFWZNDCNBOKDI-UHFFFAOYSA-N","DFFWZNDCNBOKDI","PCMORTLOPMLEFB","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI"
"43_307.18_2.2",43,307.176527024519,2.24661596964286,0.00190308708150644,2.7205413388005,1.46567069894452,0.551561000903265,"Alkaloids","Ornithine alkaloids","Polyamines","feruloylagmatine",NA,"COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O",NA,NA,NA,NA,"UBMDAKWARMURDL","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL"
"2958_163.04_3.3",2958,163.039056915723,3.3098979875,0.0033387239569746,2.4764194865816,0.833900978757424,-0.262052013300214,"Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Caffeate",NA,"O=c1ccc2cccc(O)c2o1","C1=CC(=C(C=C1C=CC(=O)O)O)O",NA,NA,NA,NA,"DPTUTXWBBUARQB","InChI=1S/C9H6O3/c10-7-3-1-2-6-4-5-8(11)12-9(6)7/h1-5,10H","DPTUTXWBBUARQB-UHFFFAOYSA-N","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)","QAIPRVGONGVQAS"
"4416_271.08_0.7",4416,271.080923623057,0.662468795368421,0.00401216898413774,2.39662078369423,0.805794916852574,-0.311515390238173,"Amino acids and Peptides","Small peptides","Aminoacids","Lombricin",NA,"NC(N)=NCCOP(=O)(O)OCC(N)C(=O)O","C(COP(=O)(O)OCC(C(=O)O)N)N=C(N)N",NA,NA,NA,NA,"GSDBGCKBBJVPNC","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)","GSDBGCKBBJVPNC-UHFFFAOYSA-N","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)","GSDBGCKBBJVPNC"
"5199_289.16_3.5",5199,289.164618307372,3.54566492537313,0.00443862483722995,2.35275156099092,0.757514703584041,-0.400654202893318,"Fatty acids","Fatty Acids and Conjugates","Dicarboxylic acids","null",NA,"C[C@@H](O)/C=C/[C@@]1(O)[C@@]2(C)C[C@@H](O)C[C@]1(C)C(=O)O2","CC(CC=CCC(C)C(CC(=O)O)O)C(CC(=O)O)O",NA,NA,NA,NA,"AQSPKQLQWIQRJJ","InChI=1S/C13H20O5/c1-8(14)4-5-13(17)11(2)6-9(15)7-12(13,3)18-10(11)16/h4-5,8-9,14-15,17H,6-7H2,1-3H3/b5-4+/t8-,9+,11-,12-,13+/m1/s1","AQSPKQLQWIQRJJ-WKINKLLYSA-N","InChI=1S/C14H24O6/c1-9(11(15)7-13(17)18)5-3-4-6-10(2)12(16)8-14(19)20/h3-4,9-12,15-16H,5-8H2,1-2H3,(H,17,18)(H,19,20)","FIDISSFBBFUTOK"
"5434_218.14_1.3",5434,218.138797761752,1.27318997545455,0.00504776304371803,2.29690104029742,0.755724768459092,-0.404067187791384,"Fatty acids","Fatty esters","Fatty acyl carnitines","Tocris-0611",NA,"CC(C)C(=O)O","CCC(=O)OC(CC(=O)O)C[N+](C)(C)C",NA,NA,NA,NA,"KQNPFQTWMSNSAP","InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)","KQNPFQTWMSNSAP-UHFFFAOYSA-N","InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/p+1","UFAHZIUFPNSHSL"
"794_653.21_4.1",794,653.208114625171,4.057064065,0.00559411588633102,2.25226854113346,0.817805943199355,-0.290169547561014,"Shikimates and Phenylpropanoids","Flavonoids","Flavones","null","COc1cc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc(OC)c1OC",NA,"CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C(=C5)OC)OC)OC)O)O)O)O)O)O)O","InChI=1S/C30H36O16/c1-11-22(33)24(35)26(37)29(43-11)42-10-20-23(34)25(36)27(38)30(46-20)44-13-7-14(31)21-15(32)9-16(45-17(21)8-13)12-5-18(39-2)28(41-4)19(6-12)40-3/h5-9,11,20,22-27,29-31,33-38H,10H2,1-4H3/t11-,20+,22-,23+,24+,25-,26+,27+,29+,30+/m0/s1","QVXXLWMUTXHCGR-XBRZVJLKSA-N","QVXXLWMUTXHCGR-XBRZVJLKSA-N","QVXXLWMUTXHCGR",NA,NA,NA,"InChI=1S/C30H36O16/c1-11-22(33)24(35)26(37)29(43-11)42-10-20-23(34)25(36)27(38)30(46-20)44-13-7-14(31)21-15(32)9-16(45-17(21)8-13)12-5-18(39-2)28(41-4)19(6-12)40-3/h5-9,11,20,22-27,29-31,33-38H,10H2,1-4H3","QVXXLWMUTXHCGR"
"3557_271.08_1.4",3557,271.080705560876,1.38968459347826,0.00594553174312961,2.22580929785272,0.816884889816049,-0.291795297534365,"Amino acids and Peptides","Small peptides","Aminoacids","Lombricin",NA,"N=C(N)NCCOP(=O)(O)OC[C@@H](N)C(=O)O","C(COP(=O)(O)OCC(C(=O)O)N)N=C(N)N",NA,NA,NA,NA,"GSDBGCKBBJVPNC","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)/t4-/m1/s1","GSDBGCKBBJVPNC-SCSAIBSYSA-N","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)","GSDBGCKBBJVPNC"
"4617_181.05_3.3",4617,181.049588394966,3.300549475,0.00720666490052382,2.14226567153524,0.841418009149156,-0.249105397969003,"Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Caffeate","C1=CC(=C(C=C1/C=C/C(=O)O)O)O","O=C(O)/C=C/c1ccc(O)c(O)c1","C1=CC(=C(C=C1C=CC(=O)O)O)O","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",NA,"QAIPRVGONGVQAS-DUXPYHPUSA-N","QAIPRVGONGVQAS","QAIPRVGONGVQAS","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+","QAIPRVGONGVQAS-DUXPYHPUSA-N","InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)","QAIPRVGONGVQAS"
"4157_271.08_1.4",4157,271.080602011603,1.44661560322581,0.00761151732385946,2.11852875982679,0.815924003459169,-0.293493311487702,"Amino acids and Peptides","Small peptides","Aminoacids","Lombricin",NA,"N=C(N)NCCOP(=O)(O)OC[C@@H](N)C(=O)O","C(COP(=O)(O)OCC(C(=O)O)N)N=C(N)N",NA,NA,NA,NA,"GSDBGCKBBJVPNC","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)/t4-/m1/s1","GSDBGCKBBJVPNC-SCSAIBSYSA-N","InChI=1S/C6H15N4O6P/c7-4(5(11)12)3-16-17(13,14)15-2-1-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H,13,14)(H4,8,9,10)","GSDBGCKBBJVPNC"
