"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
43,"43_307.18_2.2","4-hydroxy-3-methoxycinnamoylagmatine_[43_307.18_2.2]",307.176527024519,2.24661596964286,0.00190308708150644,2.7205413388005,1.46567069894452,0.551561000903265,"feruloylagmatine","4-hydroxy-3-methoxycinnamoylagmatine","CHEBI:86091",0.990722896467195,-89.1443878987324,36.9965530780359,1,"InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL","C15H22N4O3","[M + H]+","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","Alkaloids","Polyamines","Ornithine alkaloids","306.169190564","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","UBMDAKWARMURDL","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","C15H22N4O3","Feruloylagmatine","http://www.wikidata.org/entity/Q27145385","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Corydalis saxicola","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Ranunculales']","['Papaveraceae']","['Unknown']","['Corydalis']","['Corydalis saxicola']","nan","345836.0","http://www.wikidata.org/entity/Q15250588",4,1.73846366102299,0.0678642714570858,1.82266318235065,0.0558882235528942,2.20975135537591,0.0518962075848303,0.133719981325864,0.193612774451098
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.00029943251713533,3.52370103884394,1.52417437926721,0.608027969571524,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,3.20742084741267,0.0379241516966068,3.38500380110372,0.031936127744511,3.57897893633616,0.0359281437125748,0.3092197945845,0.06187624750499
107,"107_206.07_4.4","1-isothiocyanato-6-(methylsulfinyl)hexane_[107_206.07_4.4]",206.066875117014,4.40490339268293,0.0313320240849961,1.50401154828618,1.26210753300423,0.335834834823476,"6-(methylsulfinyl)hexyl isothiocyanate","1-isothiocyanato-6-(methylsulfinyl)hexane","CHEBI:138799",0.615691488266076,-9.08605498465338,54.1440916193002,1,"InChI=1S/C8H15NOS2/c1-12(10)7-5-3-2-4-6-9-8-11/h2-7H2,1H3","XQZVZULJKVALRI","C8H15NOS2","[M + H]+","CS(=O)CCCCCCN=C=S","Fatty acids","Fatty alcohols","Fatty acyls","205.0595061","InChI=1S/C8H15NOS2/c1-12(10)7-5-3-2-4-6-9-8-11/h2-7H2,1H3","XQZVZULJKVALRI-UHFFFAOYSA-N","XQZVZULJKVALRI","C[S+]([O-])CCCCCCN=C=S","C8H15NOS2","1-Isothiocyanato-6-(methylsulfinyl)hexane","http://www.wikidata.org/entity/Q27999998","nan","nan","Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","Eutrema japonicum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Eutremeae']","['Eutrema']","['Eutrema japonicum']","nan","185264.0","http://www.wikidata.org/entity/Q49855",3,-1.00100150250438,0.666666666666667,-1.00100150250438,0.644710578842315,-1.00100150250438,0.588822355289421,0.056296918767507,0.930139720558882
238,"238_280.26_9","NA_[238_280.26_9]",280.263532638648,9.04370696810345,0.0100722969397894,1.99687147934469,0.859794100615378,-0.217936883428833,"linoleamide",NA,NA,0.713212240089307,-33.1544910590703,100.3834261544,1,"InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)","SFIHQZFZMWZOJV","C18H33NO","[M + H]+","CCCCCC=CCC=CCCCCCCCC(=O)N","Fatty acids","N-acyl amines","Fatty amides","279.256214676","InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H,2-13H2,1H3,(H2,19,20)","QFIHQWXKTUONPL-UHFFFAOYSA-N","QFIHQWXKTUONPL","CCCCCCCCCCCCCC=CC=CC(N)=O","C18H33NO","Octadecadienamide","http://www.wikidata.org/entity/Q104396729","nan","nan","nan","nan","nan","Piper longum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Piperales']","['Piperaceae']","['Unknown']","['Piper']","['Piper longum']","nan","97780.0","http://www.wikidata.org/entity/Q685336",4,3.17990907471644,0.0139720558882236,3.05016190156948,0.0239520958083832,3.35977325748484,0.0199600798403194,0.504934863828981,0.00399201596806387
351,"351_372.13_2.6","NA_[351_372.13_2.6]",372.129154323466,2.57835796969697,0.0483042013194549,1.3160150942898,0.858764608827614,-0.219665358419351,"Oprea1_309639",NA,NA,0.790723731772886,-247.974793153858,36.660647913804,0.071356783919598,"InChI=1S/C17H17N5O5/c1-20-15-14(16(24)21(2)17(20)25)22(8-19-15)7-13(23)18-6-10-3-4-11-12(5-10)27-9-26-11/h3-5,8H,6-7,9H2,1-2H3,(H,18,23)","JPTMRBCYBDCYBQ","C17H17N5O5","[M + H]+","CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NCC3=CC4=C(C=C3)OCO4","Alkaloids","Simple amide alkaloids","Peptide alkaloids","354.0950821559999","InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1","CWVRJTMFETXNAD-JUHZACGLSA-N","CWVRJTMFETXNAD","O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O","C16H18O9","Chlorogenic Acid","http://www.wikidata.org/entity/Q421964","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,1.73727046020804,0.0878243512974052,1.41705050316284,0.119760479041916,1.68648268972834,0.101796407185629,0.0361559629912571,0.956087824351297
372,"372_275.15_2.5","NA_[372_275.15_2.5]",275.150331066776,2.49674297419355,0.0406196080473518,1.39126427156867,1.24816588950999,0.319809690665354,"AmbotzBAA0032",NA,NA,0.642430425330748,-122.068334098882,23.6801102082413,1,"InChI=1S/C14H20N4O3/c1-21-13(20)11(8-5-9-17-14(15)16)18-12(19)10-6-3-2-4-7-10/h2-4,6-7,11H,5,8-9H2,1H3,(H,18,19)(H4,15,16,17)","KAOMIKSYDXLMCD","C14H20N4O3","[M - H2O + H]+","COC(=O)C(CCCN=C(N)N)NC(=O)C1=CC=CC=C1","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45463452541533,0.0279441117764471,2.14793159805947,0.0499001996007984,2.473120886014,0.031936127744511,0.1229688057041,0.267465069860279
421,"421_227.18_2","N-(6-aminohexanoyl)-6-aminohexanoic acid_[421_227.18_2]",227.175434902376,1.99276284482759,0.0253186574885931,1.59655932633057,1.37702018774741,0.461549710198788,"nylon linear dimer","N-(6-aminohexanoyl)-6-aminohexanoic acid","CHEBI:49255",0.738504905361426,-47.2794356356459,40.1972196340574,1,"InChI=1S/C12H24N2O3/c13-9-5-1-3-7-11(15)14-10-6-2-4-8-12(16)17/h1-10,13H2,(H,14,15)(H,16,17)","IWENLYKHSZCPRD","C12H24N2O3","[M - H2O + H]+","C(CCC(=O)NCCCCCC(=O)O)CCN","Fatty acids","N-acyl amines","Fatty amides","226.168127944","InChI=1S/C12H22N2O2/c1-7(2)5-9-11(15)14-10(6-8(3)4)12(16)13-9/h7-10H,5-6H2,1-4H3,(H,13,16)(H,14,15)/t9-,10-/m0/s1","XWYXUMDVQIOAPR-UWVGGRQHSA-N","XWYXUMDVQIOAPR","CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O","C12H22N2O2","Cyclo(L-leucyl-L-leucyl)","http://www.wikidata.org/entity/Q27135732","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Dipeptides","Kandelia candel","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Rhizophoraceae']","['Unknown']","['Kandelia']","['Kandelia candel']","nan","973786.0","http://www.wikidata.org/entity/Q3847237",1,0,0.49500998003992,-1.00100150250438,0.800399201596806,-1.00100150250438,0.730538922155689,0.015729055258467,0.918163672654691
480,"480_138.06_1.6","N-methylnicotinic acid_[480_138.06_1.6]",138.055006673563,1.55584476280992,0.0442529185497281,1.35405808161601,0.85232863373147,-0.230518294906156,"Gynesine","N-methylnicotinic acid","CHEBI:50521",0.536252683424241,-13.1547515532195,52.5185580570843,1,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3/p+1","WWNNZCOKKKDOPX","C7H7NO2","[M + H]+","C[N+]1=CC=CC(=C1)C(=O)O","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","192.042258736|192.042258736","InChI=1S/C10H8O4/c1-13-9-5-8-6(4-7(9)11)2-3-10(12)14-8/h2-5,11H,1H3|InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3","SYTYLPHCLSSCOJ-UHFFFAOYSA-N|RODXRVNMMDRFIK-UHFFFAOYSA-N","SYTYLPHCLSSCOJ|RODXRVNMMDRFIK","COc1cc2oc(=O)ccc2cc1O|COc1cc2ccc(=O)oc2cc1O","C10H8O4|C10H8O4","Isoscopoletin|Scopoletin","http://www.wikidata.org/entity/Q27155412|http://www.wikidata.org/entity/Q2472366","Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids","Coumarins|Coumarins","Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Centaurea spruneri|Centaurea ptosimopappoides","['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']","['Asterales']|['Asterales']","['Asteraceae']|['Asteraceae']","['Cardueae']|['Cardueae']","['Centaurea']|['Centaurea']","['Centaurea spruneri']|['Centaurea ptosimopappoides']","nan|nan","7613439.0|49199.0","http://www.wikidata.org/entity/Q15571963|http://www.wikidata.org/entity/Q15568793",NA,0.447303065060821,0.301397205588822,0.57754281555789,0.255489021956088,0.483410601279308,0.253493013972056,0.14364001358119,0.357285429141717
540,"540_163.04_2.7","caffeic acid_[540_163.04_2.7]",163.03887779846,2.67152112649573,0.0288939453543981,1.53919315290635,0.84276464527117,-0.246798301806913,"Caffeate","caffeic acid","CHEBI:36281",0.735369828731885,-1.74351521639287,48.8763929338663,1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)","QAIPRVGONGVQAS","C9H8O4","[M - H2O + H]+","C1=CC(=C(C=C1C=CC(=O)O)O)O","Shikimates and Phenylpropanoids","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)","162.031694052","InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H","ORHBXUUXSCNDEV-UHFFFAOYSA-N","ORHBXUUXSCNDEV","O=c1ccc2ccc(O)cc2o1","C9H6O3","Umbelliferone","http://www.wikidata.org/entity/Q416196","Shikimates and Phenylpropanoids","Coumarins","Shikimates and Phenylpropanoids","Coumarins","Simple coumarins","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,1.00100150250438,0.18562874251497,1.00100150250438,0.189620758483034,1.00100150250438,0.163672654690619,0.0263529411764706,0.982035928143713
731,"731_175.14_0.9","NA_[731_175.14_0.9]",175.144158401527,0.934116135064935,0.0416016108325082,1.38088985297601,1.22879596032307,0.297245378307563,"Pnnnto",NA,NA,0.742221475918968,-30.536420034635,45.4109263542653,1,"InChI=1S/C8H18N2O2/c1-10(2,3)6-4-5-7(9)8(11)12/h7H,4-6,9H2,1-3H3/p+1","XQMALTZLPGQCEH","C8H18N2O2","[M + H]+","C[N+](C)(C)CCCC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37457856297529,0.127744510978044,1.69584979752213,0.0798403193612774,1.90580665715559,0.0778443113772455,0.0806810033104151,0.491017964071856
