	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
4-hydroxystyrene	-0.0809285243415733	0.495286951274745
N-(6-aminohexanoyl)-6-aminohexanoic acid	0.115477217419936	0.307913068950034
Elaidolinolenic acid	0.0239836529757415	0.845724557522947
9-(methylsulfinyl)nonanoic acid	0.115477217419936	0.307913068950034
1-[(9E)-octadecenoyl]glycerol	0.101613391016505	0.38593115584915
sinapyl alcohol	0.0259024619957301	0.800249007188406
Serinyl-Phenylalanine	-0.137586979783122	0.350183903222575
1-isothiocyanato-6-(methylsulfinyl)hexane	0.127340459056611	0.224945601998961
hexane-1,2,3,4,5,6-hexol	0.111360373578556	0.239757147871051
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.208460067205506	0.0931317625503098
heptaethylene glycol	0.148064741145185	0.11291497436711
[(6Z,12E)-4,9,11-Triacetyloxy-3a-hydroxy-2,5,8,8,12-pentamethyl-2,3,4,5,9,10,11,13a-octahydro-1H-cyclopenta[12]annulen-1-yl] benzoate	-0.106915203916512	0.347450201330874
trimazosin	-0.0719932946052441	0.621066672269109
Methyl 2-octynoate	-0.0454089816297843	0.737764894910068
1,5-anhydro-1-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-6-yl]hexitol	-0.1328303308504	0.240166297989166
caffeic acid	-0.207800609876577	0.137051830499667
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.115477217419936	0.307913068950034
2-acetamido-3-(4-methoxyphenyl)propanoic acid	0.115477217419936	0.307913068950034
sinapic acid	-0.0357882432008977	0.701945553965323
quercetin	0.226927749871994	0.0813329338553149
15-hydroxypentadecanoic acid	-0.222514218857789	0.0205446149956717
N-Phenylacetylaspartic acid	-0.203758436715782	0.0985054595256129
Isoetharine	0.111876966172179	0.399152061204394
Isofraxidin	-0.086751203892202	0.462624262678729
flavan-3,3',4',5,5',7-hexol	-0.149619043359773	0.252545605831623
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.160231280551802	0.176159690329658
N,N,N-Trimethyllysine	0.0934429348099911	0.412165618629886
bethanidine	-0.0385859956869676	0.73778836951067
diethylamino hydroxybenzoyl hexyl benzoate	0.0702990992696104	0.540359815478952
SPB 17:1;2O	0.115477217419936	0.307913068950034
1-monopalmitoylglycerol	0.13175102670278	0.247119741864745
tryptophol	0.0423485556245731	0.723691638967346
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.0220489075307162	0.856558833947091
myricetin	0.115477217419936	0.307913068950034
JBIR-16	-0.219533962630919	0.154655586834608
salicylic acid-2-O-glucoside	-0.198542826625598	0.0608563675427734
2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	-0.236070230358985	0.0281381398170631
Benzoylcholine	0.0666812982976163	0.52675354689575
C18_Sphingosine*	-0.0831756938564936	0.457982381374468
2-(hydroxymethyl)-6-[(e)-4-(1,2,4-trihydroxy-2,6,6-trimethylcyclohexyl)but-3-en-2-yl]oxyoxane-3,4,5-triol	-0.35500443667714	0.00141075836999497
3-(3,4-dihydroxyphenyl)propanoic acid	-0.181078076029572	0.175099701685721
paracetamol	0.25793222249209	0.0125709469139786
arginine	-0.0655122181742071	0.52600492598478
phenylalanine	0.0252887324257094	0.810841303910578
Isochlorogenic acid	-0.18959015602054	0.177646716276877
Tricosanoylglycine	-0.0138775227367429	0.928141166159101
benzoxonium chloride	-0.0580969623757443	0.666539338326325
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	0.115477217419936	0.307913068950034
vanillic acid	-0.0993285432928462	0.530513922447607
ACar 15:0	-0.106915203916512	0.347450201330874
quinaldic acid	-0.115751533544184	0.359550581589999
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	0.17432876017644	0.206312401119427
N-Methyl-14-O-demethylepiporphyroxine	-0.106915203916512	0.347450201330874
hydroxytyrosol	-0.0339719635573852	0.710120900556416
9,16-dihydroxy-palmitic acid	0.00627961965772611	0.959893129270801
1-(4-amino-1,2,5-oxadiazol-3-yl)-N-[(4-ethoxyphenyl)methylideneamino]-5-[(4-methyl-1-piperidinyl)methyl]-4-triazolecarboxamide	-0.188162055423092	0.176566930187205
8-(methylsulfinyl)octyl isothiocyanate	-0.0565493740901985	0.612539705889084
spermidine	-0.273554963743824	0.0237948738048652
4-acetamidobenzoic acid	0.0215874273154022	0.89013730846034
7,8-dihydro-8-oxoguanine	0.143524372411227	0.224111181322256
(3,4,5-trihydroxy-6-{[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-7-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-3-yl]oxy}oxan-2-yl)methyl acetate	0.0277851785087595	0.808932881642608
tyrosine	-0.00856284031545864	0.932361380646328
Nifekalant	0.198318102880151	0.139428099432881
3-oxooctanoic acid	-0.0537493316988653	0.606905635080099
N-tridecanoylglycine	-0.028545962450632	0.80896082375871
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	-0.0532546717538388	0.678175520087074
naringenin	-0.0851135534540705	0.538336602604008
sym-homospermidine	0.0302322476241938	0.820228183381011
N-[(5-Hydroxy-2-pyridinyl)methyl]adenosine	-0.386863423310996	0.00794289414835137
quinolin-8-ol	0.127779116391638	0.295297753814423
carnitinium	0.0231510542758693	0.840148677477507
kaempferol	-0.136427669078883	0.276352188349966
13-Docosenoic acid, methyl ester	0.239964608656397	0.10866226307558
phosphocholine	-0.0464805850960531	0.687932741853703
noradrenaline	-0.044847209801878	0.65478152905584
2-[(2-Amino-1-hydroxy-3-methylpentylidene)amino]-3-methylpentanoic acid	-0.0956619898184662	0.368599728480457
6-methoxy-2-benzoxazolinone	0.143707880664497	0.301041293160425
Keioside	-0.108136839078533	0.452247542898201
fraxetin	-0.106915203916512	0.347450201330874
1-(benzenesulfonyl)-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine	-0.209716752509937	0.099792096723513
2-(Hydroxymethyl)-3-(3-oxo-5-propan-2-yl-4,5,6,7-tetrahydro-1H-2-benzofuran-4-yl)prop-2-enoic acid	-0.122922670540521	0.310729325956368
caproylcholine	-0.0081737835650693	0.950536657642079
2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one	0.147214223172729	0.287430555447326
L-Linalool 3-[xylosyl-(1->6)-glucoside]	0.0352235767471523	0.800155338179504
octadecan-1-amine	0.0435262654521264	0.731887394582206
kynurenine	-0.0220567257774058	0.860161950501508
4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one	-0.0751117041712441	0.483837898709101
9-aminononanoic acid	-0.0162353984611852	0.88630585701542
8-amino-7-oxononanoic acid	0.31730815172794	0.0273656812720544
3-oxo-1,8-octanedicarboxylic acid	-0.115762187342699	0.376474940858177
5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl hexopyranoside	-0.275890294759958	0.0742251952874085
stearolic acid	-0.0632478152615815	0.326113111537582
N-(dodecanoyl)ethanolamine	-0.0655803879906524	0.281376517765113
HDMBOA-Glc	0.146481465067029	0.290621852689734
4',5,7-trihydroxy-3'-methoxyflavone	-0.0941373333432286	0.419410162173138
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.0587518137036133	0.613153220591389
eupatorin	0.196696038903266	0.164236051721849
3,6,9-Trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one	-0.0495605710622581	0.685366601120314
5-hydroxymethylfurfural	-0.0935375764452265	0.28478258189674
pantothenic acid	-0.0781754025861495	0.401229120263709
gabapentin	0.202292508032104	0.138467253755042
2-hydroxy-4-[(2-hydroxy-4-methoxy-6-methylphenyl)-oxomethoxy]-6-methylbenzoic acid	0.0517489385398755	0.663581711101423
DL-Stachydrine	0.0110254110005139	0.927024173997574
(3-phenoxyphenyl)methanol	-0.133786178128473	0.242281130113421
N-[2-methoxy-4-[(2-methyl-1-oxopropyl)amino]phenyl]-2-furancarboxamide	0.0710599660832644	0.552249060375408
1-cyano-8-(methylsulfinyl)octane	0.087559456894763	0.447105421521665
spermine	-0.084043437569081	0.562144550711608
alpha-CEHC	0.0878143055401581	0.540505737073891
2-[4-[1,3-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-2-yl]oxy-3,5-dimethoxyphenyl]-5,7-dihydroxychromen-4-one	-0.0749242850362645	0.505873119041305
choline hydrogen sulfate	-0.0316817234528422	0.806787161779275
1-Hexadecylamine	-0.0414824406610944	0.794965663982247
Alline	0.0717693374953343	0.593737044322686
N-acetyltryptophan	-0.124356465415816	0.343615267612897
Ethyl vanillate	-0.0793476149370009	0.512934793316838
nicotinic acid	0.0212587005336373	0.846162632056317
Podophyllotoxin, glucoside	-0.167365860462565	0.148712579934776
3-(4-hydroxyphenyl)lactic acid	0.0314008193298633	0.765840372951827
(4-Hydroxy-3-methoxyphenyl)ethanol	0.0331509570313942	0.777741037647603
4-[[4-(dimethylamino)-6-(4-morpholinyl)-1,3,5-triazin-2-yl]oxy]benzoic acid methyl ester	0.115477217419936	0.307913068950034
4-chloro-N-[3-(3-methylanilino)-1-(5-nitro-2-furanyl)-3-oxoprop-1-en-2-yl]benzamide	0.115477217419936	0.307913068950034
elaidic acid	-0.0923065835891558	0.126107741165824
octadeca-9,12-diynoic acid	0.0148240832889343	0.901206642250609
N-Acetyl-ornithine	0.0238683748917628	0.778271734728287
dopamine	-0.105989031189305	0.439249437292528
N,N-dimethyl-3-[[4-(4-nitrophenyl)-1-piperazinyl]-oxomethyl]-4-(1-pyrrolidinyl)benzenesulfonamide	-0.000403756777649823	0.997765494016142
phenyl-[1-(2-phenylethyl)-4-piperidinyl]methanol	0.115477217419936	0.307913068950034
12-aminododecanoic acid	-0.00470127542961182	0.955826855620894
alpha-Cyclohexylmandelic acid	0.0276062040693601	0.76832320400767
Depsidellin C	0.115477217419936	0.307913068950034
4-coumaric acid	-0.0277467928458541	0.788656589674014
N-(decanoyl)ethanolamine	-0.0803730989044359	0.411021432819229
hexadecanamide	-0.0896830040283535	0.139557748151314
3,4-dimethoxycinnamyl acetate	-0.0404225103763938	0.793080272458577
3-(indol-3-yl)lactic acid	-0.0959172246858002	0.34449545560596
3-methoxytyramine	0.04605703423203	0.750727190541628
palmitoyl ethanolamide	-0.0648370939015559	0.559017374203438
n-Dimethylarginine	0.0132780499132037	0.903173780568483
N-(5-{[(5-tert-butyl-1,3-oxazol-2-yl)methyl]sulfanyl}-1,3-thiazol-2-yl)piperidine-4-carboxamide	-0.180128082011793	0.175860935116661
1-methyl-1,2,3,4-tetrahydroisoquinoline-6,7-diol	0.118176180169501	0.294263995417818
N-hexadecanoylglycine	-0.0295081827258616	0.833956119760966
2-hydroxy-N-[[4-[(1-methyl-2-imidazolyl)thio]-3-nitrophenyl]methylideneamino]benzamide	0.075874901707605	0.52035873461979
3-alpha-Mannobiose	-0.143186985128379	0.164519785027569
4-hydroxy-3-methoxycinnamoylagmatine	0.316055605285931	0.0265120768367911
1,3-bis(6-isocyanatohexyl)-1,3-diazetidine-2,4-dione	0.240177256727397	0.0279500820611926
bis(2-ethylhexyl) adipate	-0.0865562466150877	0.390043485745086
glycyl-DL-phenylalanine	-0.0946579875274962	0.505837614345078
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	0.247398387982908	0.0426670894408301
Terragine D	0.234791667684592	0.178960818393076
3-hydroxy-5,5,8a-trimethyl-3,4,4a,6,7,8-hexahydronaphthalene-2-carboxylic acid	-0.00539809142517141	0.96203622257426
N-undecanoylglycine	0.228860702623052	0.141077999764537
carveol	-0.0388540359145332	0.772736321448745
l-Norvaline, N-(2-methoxyethoxycarbonyl)-, undecyl ester	-0.0228400326893891	0.840975790381463
N-acetylphenylalanine	-0.0354604161067791	0.782976675867653
metribuzin	0.441590877675776	0.00299061483815561
2-aminohexanoic acid	-0.0675129274653713	0.472982543105158
alanyl-leucine	-0.0640142657040801	0.624417484368305
2-amino-1,3,4-tetradecanetriol	-0.102392464659423	0.416512668981667
methyl 3-(3,4-dihydroxy-5-phenyloxolan-2-yl)-3-hydroxypropanoate	0.136006981518133	0.332802983511655
canadine	-0.119925898301993	0.363877285869855
(+)-N-Acetylmuramic acid	-0.106915203916512	0.347450201330874
hordenine	0.203031657378595	0.13825797424101
pyributicarb	-0.38493711833939	0.024679449520099
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one	0.0538585752755052	0.705379730705757
santacruzamate A	0.235431513444606	0.102412823828796
2-hydroxy-4-(methylthio)butanoic acid	-0.0751381833260832	0.492379824811541
3,4-dimethylindole-2-carboxylic acid	0.109111487862373	0.334355256476481
sulfometuron methyl	-0.0737212799280687	0.566917205958814
syringaresinol	0.125703464000257	0.246867925190418
Diterpene deriv 329	0.0180892782549983	0.870232039470169
2-phenylethylamine	-0.0154024845147074	0.908066252585171
Caffeoyltryptamine	0.145029769450283	0.178785819500828
lombricine	-0.0632554005990853	0.527214988339415
tridecanedioic acid	-0.149610758573978	0.250544124065662
Kukoamine A	0.207664906154647	0.173854448915536
Acetyl tributyl citrate	-0.0540958950868922	0.654430841828188
citric acid	-0.101008406006067	0.293270588748771
1-[3-methyl-2-[2-(methylamino)propanoylamino]pentanoyl]-N-(1,2,3,4-tetrahydronaphthalen-1-yl)pyrrolidine-2-carboxamide	-0.0883574412592815	0.579840489239465
D-Linalool 3-(6''-malonylglucoside)	0.153190909912199	0.330107384201594
2-[5-[2-[2-[5-(2-Hydroxybutyl)oxolan-2-yl]propanoyloxy]butyl]oxolan-2-yl]propanoic acid	-0.203644182636877	0.170002727496999
5-(2-{[2-(2-ethoxyphenoxy)ethyl]amino}propyl)-2-methoxybenzenesulfonamide	-0.204763716139598	0.112657945954073
N-Nitrosothiazolidine-4-carboxylic acid	0.191858977969585	0.10504764456095
5-Hydroxytryptophol	-0.0576640443626266	0.68181112902215
monoethyl phthalate	-0.0510892251241934	0.61254323471073
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	-0.0471386832027751	0.746150919182828
Oxytetracycline Impurity A	0.183859737005598	0.132015813609726
glutamic acid	0.123729153550568	0.255793843594839
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	0.0794973312242546	0.403954255201189
5-[6-(cyclohexylamino)-9-purinyl]-2-(hydroxymethyl)-4-methoxy-3-oxolanol	0.0540464235147983	0.678401591984615
2-Decarboxybetanin	0.115477217419936	0.307913068950034
SPB 16:1;2O	0.0264401922077807	0.851458639923585
9,10-dihydroxyoctadecanoic acid	0.137643992575169	0.217153749697713
Pentacosanoylglycine	-0.0309267249542347	0.852756792616263
(-)-11-Hydroxy-9,15,16-trioxooctadecanoic acid	0.00220169072268695	0.986259129272359
9,10,18-trihydroxyoctadecanoic acid	-0.0887949182314318	0.556840780762767
Jasmolone glucoside	-0.130142069175643	0.397321579727912
Isovitexin 4',7-diglucoside	-0.0529679364841295	0.704524512655817
N,N-bis(2-hydroxyethyl)dodecanamide	-0.0342787840858803	0.759067728725711
tyramine	-0.073129173875692	0.542963582484425
gamma-decalactone	0.0464840907201943	0.723967117908663
3',5'-di-O-methyltricetin	-0.27360073356672	0.0489863307985301
Leucyl-Threonine	0.216299889696	0.135814072907771
2-[[6-amino-2-(4-methoxyanilino)-5-nitro-4-pyrimidinyl]amino]ethanol	-0.100793522942123	0.420751779795902
bis(2-ethylhexyl) phthalate	-0.128939619832272	0.251983003465517
4-hydroxytolbutamide	0.0751801000042635	0.616477673059866
Kaempferol-3-O-rhamnoside	0.10604958850641	0.337193015686627
sinapine	0.16989029699972	0.159831623991782
13-Dodecan-2-yl-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-propan-2-yl-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone	0.303243256894863	0.00307167910132132
N,N-dimethyltryptamine	0.115477217419936	0.307913068950034
2-aminopimelic acid	0.00513545497748532	0.96358723662585
octadecanamide	-0.099633367458292	0.145570499618343
3,7,8,15-Scirpenetetrol	-0.184217531511548	0.161329699009862
ACar 14:1	-0.0763124176729021	0.617105037008739
dodecanedioic acid	-0.0849258380910153	0.52113700312477
L-DOPA 3'-glucoside	-0.101874093372828	0.434374069559511
hexaethylene glycol	0.0865754312365607	0.388854951345498
(R,S)-Scoulerine	0.145495371954932	0.202655043230137
N-Acetyl-Valine	0.0962885356256474	0.394661531135866
ent-Epicatechin(4alpha->8)catechin	-0.0136652274884208	0.918473865195671
AAL Toxin TA2	0.125516498839028	0.350543321040873
H-gamma-Glu-Tyr-OH	-0.106915203916512	0.347450201330874
8-oxo-9,11-octadecadiynoic acid	0.0413974226082676	0.768132750937922
Culpin	-0.0582300256718777	0.687866319424574
avobenzone	0.0263840098604744	0.841818111277548
1,4'-bipiperidine-1'-carboxylic acid	0.251639730958454	0.0531990989312685
Pestalotionol	0.0234882320687583	0.832222873110474
N-methylnicotinic acid	-0.172527315636741	0.171374815180161
serotonin	0.173619238572184	0.183767227691877
diethyl phthalate	-0.0673471369374036	0.51348252116733
DIMBOA-Glc	0.0285670268732061	0.843151460148865
dodecanamide	-0.0267919738728007	0.691405700789872
hypoxanthine	0.164430335010772	0.23667781694988
epinine	0.0514264636771817	0.712928840712159
1-(2-Hydroxyphenylamino)-1-deoxy-beta-D-gentiobioside 1,2-carbamate	-0.0326076481547347	0.844598212329874
histidine	0.0236501195862788	0.808668818483336
HMBOA-Glc	0.0827554930040006	0.47307099879188
Gein	-0.254412027310737	0.0944911951602518
N-[2-(1H-benzimidazol-2-yl)ethyl]-3,5-dinitrobenzamide	-0.114567385971128	0.315481771324007
Norchelerythrine	-0.106915203916512	0.347450201330877
1-(4,6-dimethoxy-2-pyrimidinyl)-3-(2-methoxyethyl)thiourea	0.0961820115059994	0.392206904963773
p-coumaroylagmatine	0.269405593753219	0.0308783964085093
Valyl-Proline	-0.111758883251714	0.370417546187603
Arphamenine B	0.290491661902356	0.0134211141760944
h-gamma-Glu-leu-oh	-0.0810914558275792	0.467171245229549
3-Hydroxy-10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,3,4,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-7-one	0.0208789998387471	0.84100203058484
N-malonyltryptophan	0.0402273248512017	0.735358992323371
1,10,11-Trihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	0.372389020440689	0.00433212476360653
7,4'-dimethylkaempferol	0.0763956417822533	0.509020842237234
sulforaphane	0.134368061018093	0.196219298624143
3',4',5,7-tetrahydroxy-3-methoxyflavone	-0.0926972642315699	0.424818820768116
[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3,4,5-trihydroxybenzoate	-0.0611660795927447	0.615057239444187
4-(trimethylammonio)butanoic acid	0.104228010119038	0.349406454203817
N-acetyltyramine	0.0625165372143557	0.582275239280905
agmatine	0.171053732377465	0.118188347042076
cyclopentolate	-0.106915203916512	0.347450201330874
2,4-dihydroxybenzaldehyde	-0.0786674681851932	0.450819294676616
N-Acetyl-proline	0.316740605319816	0.00721110704014054
N-methyltryptamine	0.141636129413088	0.334059956049365
Methylone	0.0524686037898683	0.660827558027984
apigenin	-0.0284384191079001	0.826271032223041
indole-3-carbaldehyde	-0.00891117475326771	0.926705262616855
