"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"900_252.11_2.3",900,252.107856185025,2.32307024925373,0.000513644968068332,3.28933696210228,0.728658721798439,-0.456684829927917,"Alkaloids","Lysine alkaloids","Piperidine alkaloids","null",NA,NA,"CC(C(=O)O)NCC1(C(C(C(O1)CO)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H17NO7/c1-4(8(14)15)10-3-9(16)7(13)6(12)5(2-11)17-9/h4-7,10-13,16H,2-3H2,1H3,(H,14,15)","BDMCSTCUMFCYDF"
"1097_577.37_4.1",1097,577.367001958864,4.06037012605042,0.000518884109523936,3.28492962907717,1.22973237655258,0.298344379767574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418_451.31_7.8",418,451.313941955865,7.77017734351852,0.000621216755163564,3.20675683920081,1.32428155937074,0.405209890364675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4335_326.71_3.4",4335,326.709350711306,3.37079982213115,0.000895150255768858,3.04810405990838,1.24776161223947,0.319342330280871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695_336.84_0.5",3695,336.843700216328,0.545073310505051,0.00118051427873437,2.92792875560936,0.804980399137442,-0.31297444012158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"963_370.74_3.5",963,370.73565797383,3.53587941619048,0.00123553154183591,2.90814616303371,1.23842092782867,0.308501756617189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272_313.21_3.3",272,313.209505533978,3.27785216701031,0.00136218134968151,2.8657650701596,1.24956327641007,0.321423959649189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1805_458.86_0.5",1805,458.855586019819,0.507299566292135,0.00138795907753882,2.85762333839202,0.76528920182532,-0.385923051403747,"Fatty acids","Fatty acyls","Fatty alcohols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395_389.22_3",1395,389.217021562134,2.967520135,0.00141075836999497,2.85054736439172,0.781867238671837,-0.35500443667714,"Terpenoids","Apocarotenoids","Megastigmanes","Bridelionoside B","CC(=O)CCC/1=C(C)/C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)CC1(C)C","CC1=CC(=O)CC(C)(C)C1(O)CCC(C)OC1OC(CO)C(O)C(O)C1O","CC(C=CC1(C(CC(CC1(C)O)O)(C)C)O)OC2C(C(C(C(O2)CO)O)O)O","InChI=1S/C19H32O8/c1-9(21)5-6-11-10(2)17(12(22)7-19(11,3)4)27-18-16(25)15(24)14(23)13(8-20)26-18/h12-18,20,22-25H,5-8H2,1-4H3/t12?,13-,14-,15+,16-,17?,18+/m1/s1",NA,"JVIDANAJZDBKRL-FJUMDGKUSA-N","JVIDANAJZDBKRL","CZYPGTRKJFYXLT","InChI=1S/C19H32O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h7,11,13-17,20,22-25H,5-6,8-9H2,1-4H3","CZYPGTRKJFYXLT-UHFFFAOYSA-N","InChI=1S/C19H34O9/c1-10(27-16-15(24)14(23)13(22)12(9-20)28-16)5-6-19(26)17(2,3)7-11(21)8-18(19,4)25/h5-6,10-16,20-26H,7-9H2,1-4H3","XZRJEYQBLXDNNU"
"1296_535.4_10.2",1296,535.40044050146,10.2103219512195,0.00144003658416316,2.84162647450311,0.799815768717833,-0.322260370094959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2511_708.49_7.8",2511,708.488821030069,7.80376120833333,0.00159617724626611,2.79691888441309,1.29518045828112,0.373153123494314,"Alkaloids","Tryptophan alkaloids","Catechols with side chains","null",NA,NA,"C1=CC=C(C=C1)C(C(CCCCCCCCCCCCC2=CN=CC=C2)NCCCCCCCCCCCCCC3=CN=CC=C3)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C44H67N3O2/c48-44(49)43(41-31-21-18-22-32-41)42(33-23-16-12-8-4-3-7-11-15-20-28-40-30-26-35-46-38-40)47-36-24-17-13-9-5-1-2-6-10-14-19-27-39-29-25-34-45-37-39/h18,21-22,25-26,29-32,34-35,37-38,42-43,47H,1-17,19-20,23-24,27-28,33,36H2,(H,48,49)","ITXIDFWQUSALDF"
"5409_266.16_2.1",5409,266.160672085184,2.14033156371681,0.00170372582799456,2.76860029276728,1.27779072852537,0.353651576785287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
