"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
21,"21_383.08_2","NA_[21_383.08_2]",383.075939525257,2.00142356969697,0.0326755264899253,1.48577740604804,0.837036386054143,-0.256637756653088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71058924980998,0.0598802395209581,1.00100150250438,0.211576846307385,1.55949038835855,0.0798403193612774,0.0219679487179487,0.858283433133733
24,"24_348.72_3.5","NA_[24_348.72_3.5]",348.722459825605,3.45581344745763,0.00334064509069676,2.47616966124883,1.17802661725708,0.236372136919611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.25748502994012,1.00100150250438,0.239520958083832,1.37021526937856,0.125748502994012,0.0140980392156863,0.954091816367265
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.0368379009345713,1.43370512436294,1.18106694144863,0.240090737265982,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,4.11498893537409,0.00199600798403194,4.24217974391739,0.00199600798403194,4.51407648778649,0.00199600798403194,0.495470737889561,0.00199600798403194
84,"84_165.05_4.1","3-(3,4-dihydroxyphenyl)propanoic acid_[84_165.05_4.1]",165.054659563763,4.09012826764706,0.0405359187454529,1.39215997926299,0.800166966752606,-0.321627023671849,"bmse000680","3-(3,4-dihydroxyphenyl)propanoic acid","CHEBI:48400",0.20608820281032,-111.307430514748,115.988084967687,1,"InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)","DZAUWHJDUNRCTF","C9H10O4","[M - H2O + H]+","C1=CC(=C(C=C1CCC(=O)O)O)O","Polyketides","Simple phenolic acids","Cyclic polyketides","164.047344116","InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+","NGSWKAQJJWESNS-ZZXKWVIFSA-N","NGSWKAQJJWESNS","O=C(O)/C=C/c1ccc(O)cc1","C9H8O3","4-Hydroxycinnamic acid","http://www.wikidata.org/entity/Q99374","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Simple phenolic acids","Globularia alypum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Globularieae']","['Globularia']","['Globularia alypum']","nan","5921385.0","http://www.wikidata.org/entity/Q3109037",6,0,0.620758483033932,1.00100150250438,0.225548902195609,1.00100150250438,0.121756487025948,0.017408293460925,0.592814371257485
90,"90_291.18_2.5","NA_[90_291.18_2.5]",291.181226591986,2.50337806865672,0.0198802818322212,1.70157746313232,1.1869794247181,0.247294927301278,"N-cyclohexyl-3-[2-(pyridine-4-carbonyl)hydrazinyl]propanamide",NA,NA,0.126646995678331,-296.617748347513,31.1936763872115,1,"InChI=1S/C15H22N4O2/c20-14(18-13-4-2-1-3-5-13)8-11-17-19-15(21)12-6-9-16-10-7-12/h6-7,9-10,13,17H,1-5,8,11H2,(H,18,20)(H,19,21)","SIAZUVWUDWNFIH","C15H22N4O2","[M + H]+","C1CCC(CC1)NC(=O)CCNNC(=O)C2=CC=NC=C2","Alkaloids","Polyamines","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1353540996263,0.161676646706587,1.40730598504798,0.0998003992015968,1.45985205904552,0.107784431137725,0.117055017260002,0.0898203592814371
95,"95_652.41_3.4","NA_[95_652.41_3.4]",652.410908933574,3.37077191967213,0.00349738631759682,2.45625639333157,1.20226969430284,0.265760559102225,"null",NA,NA,0.143065003015486,-695.651123576216,26.8423134539322,0.110050251256281,"InChI=1S/C36H59N3O5/c1-26-22-39(27(2)25-40)36(42)32-21-31(37-35(41)30-16-9-6-10-17-30)18-19-33(32)44-28(3)13-11-12-20-43-34(26)24-38(4)23-29-14-7-5-8-15-29/h18-19,21,26-30,34,40H,5-17,20,22-25H2,1-4H3,(H,37,41)","NILCQTKEVAIMRT","C36H59N3O5","[M + K]+","CC1CCCCOC(C(CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3CCCCC3)C(C)CO)C)CN(C)CC4CCCCC4","Terpenoids","Pregnane steroids","Steroids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43653110514173,0.00798403193612774,3.29893920818064,0.00399201596806387,3.48059137985151,0.00199600798403194,0.28782047547224,0.00399201596806387
96,"96_620.44_7.8","NA_[96_620.44_7.8]",620.436482662179,7.81858778487395,0.00175793270791093,2.75499775334774,1.27114241780289,0.346125677823152,"Dragonamide C",NA,NA,0.0698453041566225,-365.101606225657,47.1288192125735,0.996984924623116,"InChI=1S/C33H57N5O6/c1-15-16-17-18-24(44-14)19-25(39)35(10)27(21(4)5)31(41)37(12)29(23(8)9)33(43)38(13)28(22(6)7)32(42)36(11)26(20(2)3)30(34)40/h1,19-23,26-29H,16-18H2,2-14H3,(H2,34,40)","KDOGKGLXTJQXRR","C33H57N5O6","[M + H]+","CC(C)C(C(=O)N)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C=C(CCCC#C)OC","Amino acids and Peptides","Lipopeptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671757731643278,0.25748502994012,0.817419434788758,0.215568862275449,0.778248712695303,0.215568862275449,0.10512303110718,0.147704590818363
143,"143_309.13_3.4","NA_[143_309.13_3.4]",309.133148671403,3.35227910208333,0.0392962507176316,1.40564888398385,1.23927528306971,0.309496692245571,"diethyl 2-[(3,4-dimethoxyphenyl)methylidene]propanedioate",NA,NA,0.305123653744214,-145.353081383367,169.14938353159,1,"InChI=1S/C16H20O6/c1-5-21-15(17)12(16(18)22-6-2)9-11-7-8-13(19-3)14(10-11)20-4/h7-10H,5-6H2,1-4H3","FASDMQRNYJBJQK","C16H20O6","[M + H]+","CCOC(=O)C(=CC1=CC(=C(C=C1)OC)OC)C(=O)OCC","Polyketides","Chromones","Chromanes","308.12598836","InChI=1S/C16H20O6/c1-6-5-8(17)10-7(2)15(20)22-13(10)11-9(6)12(18)14(19)16(11,3)21-4/h8,10-13,17-18H,2,5H2,1,3-4H3/t8-,10+,11-,12+,13-,16+/m0/s1","GAMKIMZLPVTBDV-XBZKDHOBSA-N","GAMKIMZLPVTBDV","C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)CC(C)=C1[C@@H](O)C(=O)[C@](C)(OC)[C@@H]12","C16H20O6","(3aR,4S,7R,9R,9aS,9bS)-4,7-dihydroxy-9-methoxy-6,9-dimethyl-3-methylidene-3a,4,5,7,9a,9b-hexahydroazuleno[4,5-b]furan-2,8-dione","http://www.wikidata.org/entity/Q105005473","Terpenoids","Sesquiterpenoids","Terpenoids","Sesquiterpenoids","Cadinane sesquiterpenoids","Ajania fastigiata","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Asterales']","['Asteraceae']","['Anthemideae']","['Ajania']","['Ajania fastigiata']","nan","729288.0","http://www.wikidata.org/entity/Q11083626",4,1.00100150250438,0.229540918163673,-1.00100150250438,0.874251497005988,0,0.506986027944112,0.00603030303030303,0.888223552894212
146,"146_434.27_3","NA_[146_434.27_3]",434.274960546376,2.95827410142857,0.0086834153302899,2.06130942604869,0.79651597311026,-0.328224801440737,"L-Glutamine, 4-(4-amino-2,5-cyclohexadien-1-yl)-L-2-aminobutanoyl-L-isoleucyl-N-methyl-, trans-",NA,NA,0.287362866852568,-296.195123522132,53.1645938109302,1,"InChI=1S/C22H37N5O5/c1-4-13(2)19(25-3)21(30)26-16(10-7-14-5-8-15(23)9-6-14)20(29)27-17(22(31)32)11-12-18(24)28/h5-6,8-9,13-17,19,25H,4,7,10-12,23H2,1-3H3,(H2,24,28)(H,26,30)(H,27,29)(H,31,32)","OHVOFSJWCODEFL","C22H37N5O5","[M - H2O + H]+","CCC(C)C(C(=O)NC(CCC1C=CC(C=C1)N)C(=O)NC(CCC(=O)N)C(=O)O)NC","Amino acids and Peptides","Cyclic peptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51430815974763,0.0718562874251497,1.96248531726836,0.031936127744511,1.98528756746715,0.0518962075848303,0.108724985994398,0.0878243512974052
238,"238_280.26_9","NA_[238_280.26_9]",280.263532638648,9.04370696810345,0.0126745487621551,1.8970674934222,0.900728478369481,-0.150835818976964,"linoleamide",NA,NA,0.713212240089307,-33.1544910590703,100.3834261544,1,"InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)","SFIHQZFZMWZOJV","C18H33NO","[M + H]+","CCCCCC=CCC=CCCCCCCCC(=O)N","Fatty acids","N-acyl amines","Fatty amides","279.256214676","InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h14-17H,2-13H2,1H3,(H2,19,20)","QFIHQWXKTUONPL-UHFFFAOYSA-N","QFIHQWXKTUONPL","CCCCCCCCCCCCCC=CC=CC(N)=O","C18H33NO","Octadecadienamide","http://www.wikidata.org/entity/Q104396729","nan","nan","nan","nan","nan","Piper longum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Piperales']","['Piperaceae']","['Unknown']","['Piper']","['Piper longum']","nan","97780.0","http://www.wikidata.org/entity/Q685336",4,0.36409512254523,0.313373253493014,-0.426478981394723,0.506986027944112,0.05711377020376,0.357285429141717,0.0547663941940413,0.522954091816367
