	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
4-hydroxystyrene	0.476110379813391	0.0332745328150959
1-[(9E)-octadecenoyl]glycerol	0.0695891460752678	0.838522989599969
sinapyl alcohol	0.440884840417096	0.163769202010294
[(6Z,12E)-4,9,11-Triacetyloxy-3a-hydroxy-2,5,8,8,12-pentamethyl-2,3,4,5,9,10,11,13a-octahydro-1H-cyclopenta[12]annulen-1-yl] benzoate	0.321928094887362	0.355917683749582
1-isothiocyanato-6-(methylsulfinyl)hexane	0.170136144223714	0.573776283396528
hexane-1,2,3,4,5,6-hexol	0.166822199483186	0.571132117375771
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.481851503704773	0.155298329686733
heptaethylene glycol	0.475877079395938	0.0420252593443755
Elaidolinolenic acid	0.556727896319516	0.0136530358664569
Methyl 2-octynoate	0.0747564619392988	0.788340184785525
2-acetamido-3-(4-methoxyphenyl)propanoic acid	-0.321928094887362	0.355917683749582
sinapic acid	0.321928094887362	0.355917683749582
15-hydroxypentadecanoic acid	0.183570706294795	0.41986923300412
Isoetharine	0.247029471491933	0.227378852945428
Isofraxidin	-0.244258848088809	0.475843659325843
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.336677602145743	0.217125244549105
bethanidine	0.342129323854755	0.28450594994656
diethylamino hydroxybenzoyl hexyl benzoate	0.0305207876514835	0.931490815930072
1-monopalmitoylglycerol	0.0198599358323286	0.961733520644383
tryptophol	0.321928094887362	0.355917683749582
1-isothiocyanato-9-(methylsulfinyl)nonane	0.329903789559406	0.33973460339136
Benzoylcholine	0.304583570967893	0.28117577259543
3-(3,4-dihydroxyphenyl)propanoic acid	-0.0434063703674029	0.913857391880044
Palmitoyl Serinol	-0.321928094887362	0.355917683749582
paracetamol	0.00481675265507182	0.985036870380476
phenylalanine	0.57953196614951	0.00390839995837821
Tricosanoylglycine	0.283621382882064	0.268479536039079
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	0.493723320339744	0.0375499689990495
Isochlorogenic acid	-0.445102959870532	0.221173058894036
hydroxytyrosol	0.122009230775714	0.640868697462798
8-(methylsulfinyl)octyl isothiocyanate	0.256382635592711	0.348473198825868
spermidine	-0.300616019294293	0.264918861024453
4-acetamidobenzoic acid	0.455368342143085	0.0994058581371646
7,8-dihydro-8-oxoguanine	0.321928094887362	0.355917683749582
caffeic acid	-0.241283268627228	0.37832602474361
tyrosine	0.236953961104695	0.440667568621736
3-oxooctanoic acid	-0.0154295031074966	0.955741843121936
N-tridecanoylglycine	0.268491789286544	0.320823051555138
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	-0.163643590253538	0.501035300342272
sym-homospermidine	0.26153053513803	0.312446201453708
quinolin-8-ol	0.342834167542752	0.225269345081037
carnitinium	0.0367966496622965	0.896263033438241
noradrenaline	0.33584940028256	0.188952627657165
2-[(2-Amino-1-hydroxy-3-methylpentylidene)amino]-3-methylpentanoic acid	-0.0201624463759012	0.95658458065085
6-methoxy-2-benzoxazolinone	0.0882372033508775	0.711529043068053
Keioside	0.321928094887362	0.355917683749582
octadecan-1-amine	0.455104003812943	0.0552169884168687
4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one	0.0675627867240568	0.823298479976107
8-amino-7-oxononanoic acid	0.407620949551248	0.0534326745545482
3-oxo-1,8-octanedicarboxylic acid	-0.072463492650846	0.811688760876604
stearolic acid	-0.274619607362482	0.337839277688583
N-(dodecanoyl)ethanolamine	0.104702298328338	0.660159478614809
HDMBOA-Glc	-0.321928094887362	0.355917683749582
