"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"4928_354.13_3.5",4928,354.133455386249,3.45292751132076,0.000524074159609786,3.28060725341617,0.585381387604426,-0.772551219379294,"Alkaloids","Tyrosine alkaloids","Isoquinoline alkaloids","Fumarine","CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3","CN1CCc2cc3c(cc2[C@@]12Cc1ccc4c(c1[C@H]2O)OCO4)OCO3","CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3","\"\"InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3,7-8H,4-6,9-11H2,1H3\"\"",NA,"GPTFURBXHJWNHR-UHFFFAOYSA-N","GPTFURBXHJWNHR","AKCAVBOVRWGORC","InChI=1S/C20H19NO5/c1-21-5-4-11-6-15-16(25-9-24-15)7-13(11)20(21)8-12-2-3-14-18(26-10-23-14)17(12)19(20)22/h2-3,6-7,19,22H,4-5,8-10H2,1H3/t19-,20-/m1/s1","AKCAVBOVRWGORC-WOJBJXKFSA-N","InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3,7-8H,4-6,9-11H2,1H3","GPTFURBXHJWNHR"
"1804_416.29_2.7",1804,416.285477739761,2.65924963191489,0.000604629730499393,3.21851050175896,1.55391815723087,0.635910520948646,"Amino acids and Peptides","Small peptides","Tripeptides","TNF-alpha Protease Inhibitor-2",NA,NA,"CC(C)CC(CC(=O)NO)C(=O)NC(C(=O)NC(C)C(=O)NCCN)C(C)(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H37N5O5/c1-11(2)9-13(10-14(25)24-29)17(27)23-15(19(4,5)6)18(28)22-12(3)16(26)21-8-7-20/h11-13,15,29H,7-10,20H2,1-6H3,(H,21,26)(H,22,28)(H,23,27)(H,24,25)","LMIQCBIEAHJAMZ"
"3281_298.1_2",3281,298.096773458054,2.00355502564102,0.00116160119249688,2.93494295079812,0.6436360857141,-0.635682881285062,"Carbohydrates","Nucleosides","Purine nucleos(t)ides","Vitamin L2","CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O",NA,"CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","\"\"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1\"\"",NA,"WUUGFSXJNOTRMR-IOSLPCCCSA-N","WUUGFSXJNOTRMR",NA,NA,NA,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)","WUUGFSXJNOTRMR"
"4572_236.15_0.6",4572,236.149244326562,0.645109066637168,0.00124237632222218,2.90574683418407,0.642331196615562,-0.638610728211434,"Fatty acids","Fatty esters","Fatty acyl carnitines","null",NA,NA,"CC1C(C(C(C(O1)OCCCCN)O)O)O",NA,NA,NA,NA,"NOXWNIQIEPDBLD","nan","nan","InChI=1S/C10H21NO5/c1-6-7(12)8(13)9(14)10(16-6)15-5-3-2-4-11/h6-10,12-14H,2-5,11H2,1H3","HJVUQIHMNQMRIV"
"53_443.05_0.7",53,443.048025429423,0.674063307323944,0.00205306835114333,2.68759659177396,0.636891904034881,-0.650879561881879,"Alkaloids","Tryptophan alkaloids","Simple indole alkaloids","3-Pyridinecarbothioic acid, S-(2-(2-((2-methoxyphenoxy)methyl)-3-thiazolidinyl)-2-oxoethyl) ester",NA,NA,"COC1=CC=CC=C1OCC2N(CCS2)C(=O)COC(=S)C3=CN=CC=C3",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H20N2O4S2/c1-23-15-6-2-3-7-16(15)24-13-18-21(9-10-27-18)17(22)12-25-19(26)14-5-4-8-20-11-14/h2-8,11,18H,9-10,12-13H2,1H3","VZWGUYUBUKJXEI"
"1343_634.45_8.4",1343,634.45254860898,8.3855876084507,0.00290300368612183,2.53715241271764,0.641902460759358,-0.639574003255698,"Amino acids and Peptides","Oligopeptides","Cyclic peptides","emericellamide B",NA,NA,"CCCCCCC(C)CC(C)C1C(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C)C)CC(C)C)C(C)C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C34H61N5O7/c1-11-12-13-14-15-21(6)17-22(7)29-23(8)30(41)35-18-27(40)39-28(20(4)5)33(44)38-26(16-19(2)3)32(43)36-24(9)31(42)37-25(10)34(45)46-29/h19-26,28-29H,11-18H2,1-10H3,(H,35,41)(H,36,43)(H,37,42)(H,38,44)(H,39,40)","MBENBNLUEFQFSL"
"1694_360.15_1.5",1694,360.149839111243,1.52341387881356,0.00301541463365888,2.52065296188899,0.653939610691389,-0.612770681455624,"Alkaloids","Pseudoalkaloids","Phenylalanine-derived alkaloids","Chlorambucil-t-butyl ester","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@]2(CO)[C@H]([C@@H]([C@@H](CO)O2)O)O)O)O)O)O","OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O","CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","\"\"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1\"\"",NA,"CZMRCDWAGMRECN-UGDNZRGBSA-N","CZMRCDWAGMRECN","HDTRYLNUVZCQOY","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5+,6+,7+,8+,9-,10-,11-,12-/m1/s1","HDTRYLNUVZCQOY-WSWWMNSNSA-N","InChI=1S/C18H27Cl2NO2/c1-18(2,3)23-17(22)6-4-5-15-7-9-16(10-8-15)21(13-11-19)14-12-20/h7-10H,4-6,11-14H2,1-3H3","SZXDOYFHSIIZCF"
"1290_251.13_3.6",1290,251.127604538964,3.56250939756098,0.00327467047370633,2.48483239602374,1.48140238467256,0.566963564680165,"Polyketides","Macrolides","Macrolide lactones","Seiricuprolide",NA,"COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O","CC1CCCC=CC(C2C(O2)C(C=CC(=O)O1)O)O",NA,NA,NA,NA,"SOECUQMRSRVZQQ","InChI=1S/C14H18O4/c1-8(2)6-7-10-9(3)11(15)13(17-4)14(18-5)12(10)16/h6H,7H2,1-5H3","SOECUQMRSRVZQQ-UHFFFAOYSA-N","InChI=1S/C14H20O5/c1-9-5-3-2-4-6-10(15)13-14(19-13)11(16)7-8-12(17)18-9/h4,6-11,13-16H,2-3,5H2,1H3","IZTMFEJNMBMWKQ"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,0.00390839995837821,2.40800100001244,1.49436437376197,0.57953196614951,"Amino acids and Peptides","Small peptides","Aminoacids","Sabiden","C1=CC=C(C=C1)C[C@@H](C(=O)O)N",NA,"C1=CC=C(C=C1)CC(C(=O)O)N","\"\"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1\"\"",NA,"COLNVLDHVKWLRT-QMMMGPOBSA-N","COLNVLDHVKWLRT",NA,NA,NA,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)","COLNVLDHVKWLRT"
"4974_375.27_8.5",4974,375.268459362725,8.52792123655914,0.00468233664637797,2.32953736500753,1.57693648422066,0.657124552490338,"Terpenoids","Apocarotenoids","Apocarotenoids (β-)","10,13-dimethyl-17-(2-phenylethynyl)-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthrene-3,17-diol",NA,"CC1(C)C(=O)/C(=C/c2ccccc2)C[C@]2(C)[C@@H]1CC[C@@]13C=C[C@@](C)(CC[C@H]12)C3","CC12CCC(CC1CCC3C2CCC4(C3CCC4(C#CC5=CC=CC=C5)O)C)O",NA,NA,NA,NA,"GTBFQOGSRWBGDY","InChI=1S/C27H34O/c1-24(2)21-11-13-27-15-14-25(3,18-27)12-10-22(27)26(21,4)17-20(23(24)28)16-19-8-6-5-7-9-19/h5-9,14-16,21-22H,10-13,17-18H2,1-4H3/b20-16+/t21-,22+,25-,26-,27+/m1/s1","GTBFQOGSRWBGDY-UJHNSAFVSA-N","InChI=1S/C27H36O2/c1-25-14-11-21(28)18-20(25)8-9-22-23(25)12-15-26(2)24(22)13-17-27(26,29)16-10-19-6-4-3-5-7-19/h3-7,20-24,28-29H,8-9,11-15,17-18H2,1-2H3","LZYLYVQWNIUJNH"
