	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
Serinyl-Phenylalanine	0.260037863758034	0.146005864619025
1-isothiocyanato-6-(methylsulfinyl)hexane	0.0308700691101014	0.853747853264203
hexane-1,2,3,4,5,6-hexol	0.000912881358690983	0.995542587001159
7,9-dihydro-1H-purine-2,6,8(3H)-trione	-0.208135379221507	0.204285951938185
heptaethylene glycol	0.110749360339667	0.373651365774168
caffeic acid	-0.0797772148129296	0.628085073622616
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.234804777052028	0.107967831944772
sinapic acid	0.256986021765134	0.155292208402451
N-Phenylacetylaspartic acid	0.00526281377918166	0.97609345701172
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.234188616865728	0.136677903565331
N,N,N-Trimethyllysine	0.414830218399571	0.01709612762163
diethylamino hydroxybenzoyl hexyl benzoate	0.0505830466560298	0.789988187392304
tryptophol	-0.0741494129382379	0.646499504491267
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.204237436173803	0.304616198367907
Benzoylcholine	-0.0520610634780747	0.781255326457734
arginine	0.309037487866791	0.0782811428839936
phenylalanine	0.308449138871799	0.0624686195819358
myricetin	0.0103627180149132	0.95416138093153
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	-0.233009723756454	0.111917245001143
hydroxytyrosol	0.268751619425381	0.165072656338624
8-(methylsulfinyl)octyl isothiocyanate	0.212573984548221	0.124392755082873
7,8-dihydro-8-oxoguanine	-0.049221069808652	0.803577833261532
prilocaine	0.0860551200313118	0.632286912674349
tyrosine	0.380661784180157	0.0676554603931824
naringenin	-0.598288178483295	0.000277647677861877
carnitinium	0.180177227643566	0.270445965853487
phosphocholine	0.129720593949335	0.475094394675887
noradrenaline	0.224419304066966	0.19084434450982
caproylcholine	0.258799885530171	0.197405012172883
2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one	0.192645077942396	0.337049057953584
octadecan-1-amine	-0.129347181723971	0.553711291111384
kynurenine	0.13805726066341	0.353558979873071
9-aminononanoic acid	0.275082739536534	0.0804625773853044
HDMBOA-Glc	0.192645077942396	0.337049057953584
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.338355406782037	0.0533032846041106
pantothenic acid	0.085304550955182	0.653772203487785
gabapentin	0.0341432458050769	0.832603066980688
DL-Stachydrine	0.283022579901769	0.0817468121265814
alpha-CEHC	-0.15481703808521	0.502433909177381
1-cyano-8-(methylsulfinyl)octane	-0.411029816045926	0.0312083609402574
1-Hexadecylamine	-0.110720450753422	0.606263156368899
N-acetyltryptophan	0.113207250975727	0.487962913056562
3-(4-hydroxyphenyl)lactic acid	0.35115599482956	0.0686533281496947
dopamine	0.225691594481587	0.235804226446877
12-aminododecanoic acid	0.0726301995985762	0.634751939417595
2-[3-(4-Hydroxy-3,5-dimethoxyphenyl)prop-2-enoyloxy]butanedioic acid	0.373549084869586	0.0345233193646701
hexadecanamide	-0.239615568384101	0.140931064298651
3-(indol-3-yl)lactic acid	0.533882940445228	0.000998095285425804
palmitoyl ethanolamide	0.0583986296348813	0.727430796627487
n-Dimethylarginine	0.306539036459564	0.0606834457678358
N-hexadecanoylglycine	0.0532253611473537	0.73086119559802
Isochlorogenic acid	-0.00910605597073674	0.954578654766952
4-hydroxy-3-methoxycinnamoylagmatine	0.426602302553948	0.00414943710190583
bis(2-ethylhexyl) adipate	-0.139908378399916	0.232299470789626
glycyl-DL-phenylalanine	0.177952352783928	0.327244048640618
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	0.1266595437253	0.472516218215995
metribuzin	0.629701814233313	0.000523009354806771
alanyl-leucine	0.448967214355371	0.00375465499779287
(+)-N-Acetylmuramic acid	0.192645077942396	0.337049057953584
pyributicarb	0.192645077942396	0.337049057953584
2-hydroxy-4-(methylthio)butanoic acid	-0.144500070074306	0.424413567463046
2-phenylethylamine	0.0146372169398766	0.944875108699608
citric acid	-0.396921649822025	0.0196508806780373
5-Hydroxytryptophol	0.135438624485032	0.387728873477344
monoethyl phthalate	0.194890592257483	0.315958058482477
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	-0.268373182017306	0.208813135417557
glutamic acid	-0.18841644132838	0.0991397461446558
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	-0.446979869112187	0.0157314309329802
N-undecanoylglycine	0.16626350708195	0.319515761976531
8-amino-7-oxononanoic acid	0.0692123505865765	0.670234613525677
N,N-bis(2-hydroxyethyl)dodecanamide	-0.0330403373130057	0.842213089569098
feruloyl-3-methoxytyramine glycoside	0.210412592002153	0.241407831233482
lombricine	-0.411658510996252	0.00227255054899482
