"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"2815_315.12_3.7",2815,315.117120531148,3.65950556111111,6.52532763299837e-05,4.18539767776269,1.59103968488931,0.669969820885161,"Amino acids and Peptides","Small peptides","Dipeptides","2-amino-3-[2-(4-fluoro-N-propan-2-ylanilino)-2-oxoethyl]sulfanylpropanoic acid",NA,NA,"CC(C)N(C1=CC=C(C=C1)F)C(=O)CSCC(C(=O)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H19FN2O3S/c1-9(2)17(11-5-3-10(15)4-6-11)13(18)8-21-7-12(16)14(19)20/h3-6,9,12H,7-8,16H2,1-2H3,(H,19,20)","NYVPFDRTSVHZRO"
"889_307.09_2.5",889,307.092596482879,2.50424329850746,0.000149190936638278,3.82625755948763,1.41000760375284,0.495702942671539,"Amino acids and Peptides","Small peptides","Dipeptides","ACMC-20mono","COc1c(O)ccc(/C=C/C(=O)NCCCCNC(C)=O)c1",NA,"C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)NC(CC(=O)O)C(=O)O","InChI=1S/C16H22N2O4/c1-12(19)17-9-3-4-10-18-16(21)8-6-13-5-7-14(20)15(11-13)22-2/h5-8,11,20H,3-4,9-10H2,1-2H3,(H,17,19)(H,18,21)/b8-6+","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO-SOFGYWHQSA-N","ZVMGKOAHBAIHLO",NA,NA,NA,"InChI=1S/C14H14N2O6/c17-11(15-10(14(21)22)6-12(18)19)5-8-7-3-1-2-4-9(7)16-13(8)20/h1-4,8,10H,5-6H2,(H,15,17)(H,16,20)(H,18,19)(H,21,22)","SDOOMIWSQMGJCL"
"3649_235.14_1.9",3649,235.144281566086,1.87054395866667,0.000171756518235668,3.76508677228841,1.48967776574011,0.57500029307323,"Alkaloids","Ornithine alkaloids","Polyamines","p-Coumaroylputrescine","O=C(C=CC1=CC=C(O)C=C1)NCCCCN","NCCCCNC(=O)/C=C/c1ccc(O)cc1","C1=CC(=CC=C1C=CC(=O)NCCCCN)O","1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)",NA,"CJHDBEPXEKGBDW-UHFFFAOYSA-N","CJHDBEPXEKGBDW","CJHDBEPXEKGBDW","InChI=1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)/b8-5+","CJHDBEPXEKGBDW-VMPITWQZSA-N","InChI=1S/C13H18N2O2/c14-9-1-2-10-15-13(17)8-5-11-3-6-12(16)7-4-11/h3-8,16H,1-2,9-10,14H2,(H,15,17)","CJHDBEPXEKGBDW"
"285_273.08_3.8",285,273.075244753984,3.76426818,0.000257543471509769,3.58914945460972,0.684671220233178,-0.546516724051447,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","Asahina","O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21","O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","\"\"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2\"\"",NA,"FTVWIRXFELQLPI-UHFFFAOYSA-N","FTVWIRXFELQLPI","FTVWIRXFELQLPI","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m1/s1","FTVWIRXFELQLPI-CYBMUJFWSA-N","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2","FTVWIRXFELQLPI"
"1682_273.08_4.5",1682,273.075786450137,4.48469088518519,0.000277647677861877,3.55650595444782,0.660537247267198,-0.598288178483295,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","Asahina","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",NA,"FTVWIRXFELQLPI-ZDUSSCGKSA-N","FTVWIRXFELQLPI","FTVWIRXFELQLPI","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m1/s1","FTVWIRXFELQLPI-CYBMUJFWSA-N","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2","FTVWIRXFELQLPI"
"5063_597.14_2.8",5063,597.143655569566,2.83347746111111,0.000299027420356612,3.5242889857105,0.701475098400186,-0.511536204231369,"Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Peltatoside","O=c1c(O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","O=c1c(O[C@H]2O[C@@H](CO[C@H]3OC[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O","InChI=1S/C26H28O16/c27-9-4-12(30)16-14(5-9)40-23(8-1-2-10(28)11(29)3-8)24(19(16)34)42-26-22(37)20(35)18(33)15(41-26)7-39-25-21(36)17(32)13(31)6-38-25/h1-5,13,15,17-18,20-22,25-33,35-37H,6-7H2/t13-,15-,17+,18-,20+,21-,22-,25+,26+/m1/s1",NA,"YNMFDPCLPIMRFD-PEXUZNNCSA-N","YNMFDPCLPIMRFD","YNMFDPCLPIMRFD","InChI=1S/C26H28O16/c27-9-4-12(30)16-14(5-9)40-23(8-1-2-10(28)11(29)3-8)24(19(16)34)42-26-22(37)20(35)18(33)15(41-26)7-39-25-21(36)17(32)13(31)6-38-25/h1-5,13,15,17-18,20-22,25-33,35-37H,6-7H2/t13-,15-,17+,18-,20+,21-,22-,25+,26+/m0/s1","YNMFDPCLPIMRFD-ZEZWPBFOSA-N","InChI=1S/C26H28O16/c27-9-4-12(30)16-14(5-9)40-23(8-1-2-10(28)11(29)3-8)24(19(16)34)42-26-22(37)20(35)18(33)15(41-26)7-39-25-21(36)17(32)13(31)6-38-25/h1-5,13,15,17-18,20-22,25-33,35-37H,6-7H2","YNMFDPCLPIMRFD"
"2882_215.1_4.4",2882,215.096154037905,4.43728836326531,0.000523009354806771,3.28149054305505,1.5472451656125,0.629701814233313,"Alkaloids","Tetramate alkaloids","pteridine alkaloids","Sencorex","CSC1=NN=C(C(=O)N1N)C(C)(C)C","CC1C(O)CC2C(C(=O)O)COC(=O)C12","CC(C)(C)C1=NN=C(N(C1=O)N)SC","1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",NA,"FOXFZRUHNHCZPX-UHFFFAOYSA-N","FOXFZRUHNHCZPX","LEAZKSVQWBGNCL","InChI=1S/C10H14O5/c1-4-7(11)2-5-6(9(12)13)3-15-10(14)8(4)5/h4-8,11H,2-3H2,1H3,(H,12,13)","LEAZKSVQWBGNCL-UHFFFAOYSA-N","InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","FOXFZRUHNHCZPX"
"5223_189.16_0.6",5223,189.159782245894,0.587414858709677,0.000532245001796438,3.27388840824083,1.38406551606349,0.46891223593907,"Amino acids and Peptides","Small peptides","Aminoacids","Laminine","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N",NA,"C[N+](C)(C)CCCCC(C(=O)O)N","\"\"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1\"\"",NA,"MXNRLFUSFKVQSK-QMMMGPOBSA-N","MXNRLFUSFKVQSK",NA,NA,NA,"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/p+1","MXNRLFUSFKVQSK"
"4214_337.19_2.3",4214,337.187273846185,2.33206771071429,0.000549882005959934,3.25973049170232,1.41075478190296,0.496467239758406,"Amino acids and Peptides","Phenylpropanoids (C6-C3)","Cinnamic acid amides","Arphamenine B",NA,NA,"C1=CC(=CC=C1CC(CC(=O)C(CCCN=C(N)N)N)C(=O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C16H24N4O4/c17-13(2-1-7-20-16(18)19)14(22)9-11(15(23)24)8-10-3-5-12(21)6-4-10/h3-6,11,13,21H,1-2,7-9,17H2,(H,23,24)(H4,18,19,20)","RRJCLYMGCZJLBQ"
"5029_321.19_2.4",5029,321.192106629227,2.4279870525,0.000600938164624855,3.22117021376068,1.38694706590467,0.471912726944763,"Alkaloids","Ornithine alkaloids","Polyamines","null",NA,NA,"COC1=C(C=C(C=C1)C=CC(=O)NCCCCN=C(N)N)OC",NA,NA,NA,NA,"CCZXUYRSGKPBHZ","nan","nan","InChI=1S/C16H24N4O3/c1-22-13-7-5-12(11-14(13)23-2)6-8-15(21)19-9-3-4-10-20-16(17)18/h5-8,11H,3-4,9-10H2,1-2H3,(H,19,21)(H4,17,18,20)","CCZXUYRSGKPBHZ"
