"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
43,"43_307.18_2.2","4-hydroxy-3-methoxycinnamoylagmatine_[43_307.18_2.2]",307.176527024519,2.24661596964286,0.0103390691433943,1.98551856028322,1.38801788205392,0.473026154504304,"feruloylagmatine","4-hydroxy-3-methoxycinnamoylagmatine","CHEBI:86091",0.990722896467195,-89.1443878987324,36.9965530780359,1,"InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL","C15H22N4O3","[M + H]+","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","Alkaloids","Polyamines","Ornithine alkaloids","306.169190564","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","UBMDAKWARMURDL","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","C15H22N4O3","Feruloylagmatine","http://www.wikidata.org/entity/Q27145385","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Corydalis saxicola","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Ranunculales']","['Papaveraceae']","['Unknown']","['Corydalis']","['Corydalis saxicola']","nan","345836.0","http://www.wikidata.org/entity/Q15250588",4,1.34406227991274,0.111776447105788,1.30206927713678,0.125748502994012,1.38942503594182,0.125748502994012,0.0657142857142857,0.183632734530938
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.0102303443623544,1.99010974730903,1.32070631160127,0.401309686945986,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,2.20148283116099,0.0359281437125748,1.95821719375528,0.06187624750499,2.21491571543705,0.0538922155688623,0.149142857142857,0.0738522954091816
260,"260_362.14_2.3","NA_[260_362.14_2.3]",362.144915150782,2.28719675454545,0.000695179133719298,3.15790327201188,1.49765305635649,0.582703450334794,"2-(Cyanomethylene)-3,5-dihydroxy-4-methoxycyclohexyl)-.beta.-glucoside",NA,NA,0.572518356126399,-91.0354198281154,60.5208343621602,1,"InChI=1S/C15H23NO9/c1-23-14-7(18)4-8(6(2-3-16)10(14)19)24-15-13(22)12(21)11(20)9(5-17)25-15/h2,7-15,17-22H,4-5H2,1H3","SDYUFOBSNZFKRM","C15H23NO9","[M + H]+","COC1C(CC(C(=CC#N)C1O)OC2C(C(C(C(O2)CO)O)O)O)O","Amino acids and Peptides","Cyanogenic glycosides","Amino acid glycosides","316.07943209199993","InChI=1S/C13H16O9/c14-4-8-9(17)10(18)11(19)13(21-8)22-12(20)5-1-2-6(15)7(16)3-5/h1-3,8-11,13-19H,4H2","MOBYACALHPXMHU-UHFFFAOYSA-N","MOBYACALHPXMHU","O=C(OC1OC(CO)C(O)C(O)C1O)c1ccc(O)c(O)c1","C13H16O9","nan","http://www.wikidata.org/entity/Q115946756","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Terpenoids","Phenolic acids (C6-C1)","Simple phenolic acids","Capsicum annuum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Capsiceae']","['Capsicum']","['Capsicum annuum']","nan","473836.0","http://www.wikidata.org/entity/Q1380",6,3.53564598439928,0.00798403193612774,3.56286665815619,0.00798403193612774,3.64955138786005,0.00998003992015968,0.275142857142857,0.00998003992015968
285,"285_273.08_3.8","naringenin_[285_273.08_3.8]",273.075244753984,3.76426818,0.000257543471509769,3.58914945460972,0.684671220233178,-0.546516724051447,"Asahina","naringenin","CHEBI:50202",0.700396915909534,-1.09270811098633,57.8540545832878,1,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2","FTVWIRXFELQLPI","C15H12O5","[M + H]+","C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","Shikimates and Phenylpropanoids","Chalcones","Flavonoids","272.068473484","InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m1/s1","FTVWIRXFELQLPI-CYBMUJFWSA-N","FTVWIRXFELQLPI","O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21","C15H12O5","(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one","http://www.wikidata.org/entity/Q27121979","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavanones","Euphorbia helioscopia","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Euphorbiaceae']","['Euphorbieae']","['Euphorbia']","['Euphorbia helioscopia']","nan","46554.0","http://www.wikidata.org/entity/Q148889",9,2.43108319163158,0.0119760479041916,2.56244471347446,0.00598802395209581,2.65488073042601,0.0119760479041916,0.197142857142857,0.00598802395209581
354,"354_323.08_2.4","NA_[354_323.08_2.4]",323.075906020212,2.44478368846154,0.0315311688245126,1.50125993015195,0.785993431333314,-0.347410839175047,"p-Coumaric Acid 4-O-|A-D-Glucuronide",NA,NA,0.564766347048185,-15.6129693114842,32.7581558496162,1,"InChI=1S/C15H16O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)","SOKJXEKPKWKYKR","C15H16O9","[M - H2O + H]+","C1=CC(=CC=C1C=CC(=O)O)OC2C(C(C(C(O2)C(=O)O)O)O)O","Shikimates and Phenylpropanoids","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.48502994011976,0,0.463073852295409,0,0.413173652694611,0.0242142857142857,0.862275449101796
446,"446_232.15_1.9","NA_[446_232.15_1.9]",232.154330494444,1.90172899756098,0.00695070814992945,2.15797094649772,1.39209731675081,0.477260068576216,"Butyrylcarnitine",NA,NA,0.743809052395598,-9.55072219722436,15.9192505489709,1,"InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1","QWYFHHGCZUCMBN","C11H21NO4","[M + H]+","CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C","Fatty acids","Fatty acyl carnitines","Fatty esters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.217564870259481,1.00100150250438,0.207584830339321,1.00100150250438,0.197604790419162,0.024,0.892215568862275
450,"450_242.25_8.7","NA_[450_242.25_8.7]",242.247797564341,8.71294177603306,0.0482442701133799,1.31655425964475,0.823204016594532,-0.280678073410005,"Pentadecanamide",NA,NA,0.89714009920587,-9.72752794548608,31.7687524151314,1,"InChI=1S/C15H31NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H2,16,17)","RQGCQWARLQDMCZ","C15H31NO","[M + H]+","CCCCCCCCCCCCCCC(=O)N","Fatty acids","Primary amides","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.401197604790419,0,0.44311377245509,0,0.375249500998004,0,1
602,"602_382.37_10.1","NA_[602_382.37_10.1]",382.368183427417,10.0843771092437,0.014890805195758,1.82708181785428,0.805536104755905,-0.311978841790448,"Erucicoyl-EA",NA,NA,0.502614332589708,-23.752080552558,47.5427508310415,1,"InChI=1S/C24H47NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-24(27)25-22-23-26/h9-10,26H,2-8,11-23H2,1H3,(H,25,27)","UGYSMGXRWBTMRZ","C24H47NO2","[M + H]+","CCCCCCCCC=CCCCCCCCCCCCC(=O)NCCO","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.439121756487026,0,0.425149700598802,0,0.3812375249501,0.0128571428571429,0.972055888223553
607,"607_309.21_6","NA_[607_309.21_6]",309.205314946739,6.02676889593496,0.0289785217779265,1.53792377207614,0.788667264788744,-0.342511332908931,"Phytoprostane A1",NA,NA,0.506773931328836,-61.4669034692114,73.024427218022,1,"InChI=1S/C18H28O4/c1-2-15(19)12-10-14-11-13-17(20)16(14)8-6-4-3-5-7-9-18(21)22/h10-16,19H,2-9H2,1H3,(H,21,22)","OXXJZDJLYSMGIQ","C18H28O4","[M + H]+","CCC(C=CC1C=CC(=O)C1CCCCCCCC(=O)O)O","Polyketides","Prostaglandins","Octadecanoids","308.198759376","InChI=1S/C18H28O4/c1-2-3-4-6-11-16(19)13-9-10-14-17(20)12-7-5-8-15-18(21)22/h9-10,13-14H,2-8,11-12,15H2,1H3,(H,21,22)/b13-9+,14-10+","WTLVYAWQAPUBFY-UTLPMFLDSA-N","WTLVYAWQAPUBFY","CCCCCCC(=O)/C=C/C=C/C(=O)CCCCCC(=O)O","C18H28O4","Ostopanic acid","http://www.wikidata.org/entity/Q105312641","Fatty acids","Octadecanoids","Fatty acids","Octadecanoids","Other Octadecanoids","Ostodes paniculata","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Euphorbiaceae']","['Codiaeae']","['Ostodes']","['Ostodes paniculata']","nan","1028448.0","http://www.wikidata.org/entity/Q10916466",1,0,0.441117764471058,0,0.42315369261477,0,0.377245508982036,0,1
793,"793_551.1_3.2","NA_[793_551.1_3.2]",551.103424072707,3.22747776190476,0.00263073528184121,2.57992285066749,0.682208089323016,-0.551716232992322,"Quercetin 3-O-malonylglucoside",NA,NA,0.613734276840017,-3.3846768361415,46.9102582683403,0.999497487437186,"InChI=1S/C24H22O15/c25-9-4-12(28)17-13(5-9)37-22(8-1-2-10(26)11(27)3-8)23(19(17)33)39-24-21(35)20(34)18(32)14(38-24)7-36-16(31)6-15(29)30/h1-5,14,18,20-21,24-28,32,34-35H,6-7H2,(H,29,30)","NBQPHANHNTWDML","C24H22O15","[M + H]+","C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O)O","Shikimates and Phenylpropanoids","Flavonols","Flavonoids","550.095870004","InChI=1S/C24H22O15/c25-9-4-12(28)17-13(5-9)37-22(8-1-2-10(26)11(27)3-8)23(19(17)33)39-24-21(35)20(34)18(32)14(38-24)7-36-16(31)6-15(29)30/h1-5,14,18,20-21,24-28,32,34-35H,6-7H2,(H,29,30)/t14-,18-,20+,21-,24+/m0/s1","NBQPHANHNTWDML-HONGMTQGSA-N","NBQPHANHNTWDML","O=C(O)CC(=O)OC[C@@H]1O[C@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O","C24H22O15","6''-O-Malonylisoquercitrin","http://www.wikidata.org/entity/Q105176919","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Corchorus olitorius","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malvales']","['Malvaceae']","['Apeibeae']","['Corchorus']","['Corchorus olitorius']","nan","578269.0","http://www.wikidata.org/entity/Q165343",4,-1.00100150250438,0.7624750499002,-1.00100150250438,0.780439121756487,-1.00100150250438,0.714570858283433,0.0748571428571429,0.269461077844311
807,"807_435.13_3.8","NA_[807_435.13_3.8]",435.128684551611,3.78166942352941,0.00481518037551136,2.31738743966676,0.666576820661518,-0.585156944403049,"Prunin",NA,NA,0.550717487924175,-2.270768978669,40.0799638210004,1,"InChI=1S/C21H22O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-6,14,16,18-24,26-28H,7-8H2","DLIKSSGEMUFQOK","C21H22O10","[M + H]+","C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O","Shikimates and Phenylpropanoids","Flavanones","Flavonoids","434.121296904","InChI=1S/C21H22O10/c22-8-17-19(27)20(28)21(9-23,31-17)30-12-5-13(25)18-14(26)7-15(29-16(18)6-12)10-1-3-11(24)4-2-10/h1-6,15,17,19-20,22-25,27-28H,7-9H2/t15-,17+,19+,20-,21-/m0/s1","ILTHPPRTQUWWGU-NXUBFONISA-N","ILTHPPRTQUWWGU","O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O[C@@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)cc(O)c21","C21H22O10","(2S)-7-[(2R,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one","http://www.wikidata.org/entity/Q105115459","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavanones","Euphorbia condylocarpa","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Euphorbiaceae']","['Euphorbieae']","['Euphorbia']","['Euphorbia condylocarpa']","nan","630242.0","http://www.wikidata.org/entity/Q5410404",8,0,0.748502994011976,0,0.75249500998004,0,0.668662674650699,0.014,0.493013972055888
819,"819_277.17_2.4","p-coumaroylagmatine_[819_277.17_2.4]",277.165936671456,2.36503349883721,0.0336547153333357,1.47295407854905,1.2456313707839,0.316877183749599,"4-coumaroylagmatine","p-coumaroylagmatine","CHEBI:32818",0.999244789464334,-17.0355999738301,42.7633905151239,1,"InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)","AKIHYQWCLCDMMI","C14H20N4O2","[M + H]+","C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O","Amino acids and Peptides","Cinnamic acid amides","Phenylpropanoids (C6-C3)","276.15862588","InChI=1S/C14H20N4O2/c15-14(16)18-10-2-1-9-17-13(20)8-5-11-3-6-12(19)7-4-11/h3-8,19H,1-2,9-10H2,(H,17,20)(H4,15,16,18)/b8-5+","AKIHYQWCLCDMMI-VMPITWQZSA-N","AKIHYQWCLCDMMI","N=C(N)NCCCCNC(=O)/C=C/c1ccc(O)cc1","C14H20N4O2","p-Coumaroylagmatine","http://www.wikidata.org/entity/Q27158879","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Arabidopsis thaliana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Camelineae']","['Arabidopsis']","['Arabidopsis thaliana']","nan","309263.0","http://www.wikidata.org/entity/Q158695",4,1.00100150250438,0.2375249500998,1.00100150250438,0.239520958083832,1.00100150250438,0.2375249500998,0.0354285714285714,0.766467065868264
868,"868_205.1_2","tryptophan_[868_205.1_2]",205.097088178882,2.024269945,0.0012423452722485,2.9057576883838,1.45325158953474,0.539284486558877,"Pacitron","tryptophan","CHEBI:27897",0.997774426869463,-0.40649269446535,76.0221223173582,1,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)","QIVBCDIJIAJPQS","C11H12N2O2","[M + H]+","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides","204.089877624","InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1","QIVBCDIJIAJPQS-VIFPVBQESA-N","QIVBCDIJIAJPQS","N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O","C11H12N2O2","(2S)-2-azaniumyl-3-(1H-indol-3-yl)propanoate","http://www.wikidata.org/entity/Q181003","Amino acids and Peptides","Small peptides","Shikimates and Phenylpropanoids","Tryptophan alkaloids","Cinnamic acids and derivatives","Solanum lycopersicum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum lycopersicum']","nan","378964.0","http://www.wikidata.org/entity/Q23501",8,1.38942503594182,0.121756487025948,1.38942503594182,0.139720558882236,1.38942503594182,0.12375249500998,0.0274285714285714,0.872255489021956
889,"889_307.09_2.5","NA_[889_307.09_2.5]",307.092596482879,2.50424329850746,0.000149190936638278,3.82625755948763,1.41000760375284,0.495702942671539,"ACMC-20mono",NA,NA,0.802933584087908,-189.400202464954,77.0652887619413,1,"InChI=1S/C14H14N2O6/c17-11(15-10(14(21)22)6-12(18)19)5-8-7-3-1-2-4-9(7)16-13(8)20/h1-4,8,10H,5-6H2,(H,15,17)(H,16,20)(H,18,19)(H,21,22)","SDOOMIWSQMGJCL","C14H14N2O6","[M + H]+","C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)NC(CC(=O)O)C(=O)O","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19756115235116,0.0199600798403194,2.39076645008365,0.0159680638722555,2.4266465503022,0.0179640718562874,0.117714285714286,0.0339321357285429
911,"911_307.18_2.5","4-hydroxy-3-methoxycinnamoylagmatine_[911_307.18_2.5]",307.176507414768,2.53403085897436,0.00483991911403799,2.31516189633503,1.34334188023729,0.425826517091683,"feruloylagmatine","4-hydroxy-3-methoxycinnamoylagmatine","CHEBI:86091",0.995105802215097,-12.0200753350319,42.9773484801162,1,"InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)","UBMDAKWARMURDL","C15H22N4O3","[M + H]+","COC1=C(C=CC(=C1)C=CC(=O)NCCCCN=C(N)N)O","Amino acids and Peptides","Cinnamic acid amides","Phenylpropanoids (C6-C3)","306.169190564","InChI=1S/C15H22N4O3/c1-22-13-10-11(4-6-12(13)20)5-7-14(21)18-8-2-3-9-19-15(16)17/h4-7,10,20H,2-3,8-9H2,1H3,(H,18,21)(H4,16,17,19)/b7-5+","UBMDAKWARMURDL-FNORWQNLSA-N","UBMDAKWARMURDL","COc1cc(/C=C/C(=O)NCCCCNC(=N)N)ccc1O","C15H22N4O3","Feruloylagmatine","http://www.wikidata.org/entity/Q27145385","Alkaloids","Ornithine alkaloids","Terpenoids","Sesquiterpenoids","Polyamines","Corydalis saxicola","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Ranunculales']","['Papaveraceae']","['Unknown']","['Corydalis']","['Corydalis saxicola']","nan","345836.0","http://www.wikidata.org/entity/Q15250588",4,2.12145215385338,0.0399201596806387,1.93683756784133,0.0479041916167665,2.12809020343249,0.0459081836327345,0.104285714285714,0.0798403193612774
1270,"1270_189.16_1.5","N,N,N-Trimethyllysine_[1270_189.16_1.5]",189.159654639545,1.48040168850575,0.01709612762163,1.76710224884803,1.33314177888516,0.414830218399571,"Laminine","N,N,N-Trimethyllysine","CHEBI:176482",0.796203630997685,-23.0837563003409,54.8974414065581,1,"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/p+1","MXNRLFUSFKVQSK","C9H20N2O2","[M + H]+","C[N+](C)(C)CCCCC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.457085828343313,0,0.43313373253493,0,0.373253493013972,0,1
