"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1065_324.29_8.5",1065,324.289708196279,8.45008633675214,"C20H37NO2"
"107_206.07_4.4",107,206.066875117014,4.40490339268293,"C8H15NOS2"
"1075_165.08_0.7",1075,165.076191250928,0.650918970789474,"C6H14O6"
"1079_169.04_0.7",1079,169.035231928599,0.71277966959596,"C5H4N4O3"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,"C14H30O8"
"1182_207.07_3.2",1182,207.065129340993,3.21788786962025,"C11H12O5"
"1208_309.17_5.8",1208,309.169446703521,5.83171625641025,"C17H24O5"
"1215_204.12_1.5",1215,204.123095635276,1.46682972909091,"C9H17NO4"
"1226_616.26_3.9",1226,616.264800228888,3.92590838157895,"C34H37N3O8"
"125_235.14_2",125,235.144155275142,2.028503434,"C13H18N2O2"
"1311_398.23_9",1311,398.232761383819,8.95504702727273,"C24H31NO4"
"1333_144.08_2.3",1333,144.080919447461,2.27870438631579,"C10H11NO"
"1334_248.11_6",1334,248.113795043383,5.96729575625,"C11H21NOS2"
"138_174.19_3.8",138,174.185271153703,3.83084842295082,"C10H23NO"
"1384_208.13_2.5",1384,208.133094664106,2.47776720487805,"C12H17NO2"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,"C9H11NO2"
"1514_326.23_4.5",1514,326.232459641309,4.45305856,"C18H31NO4"
"1543_137.06_1.6",1543,137.059743431676,1.55605614308943,"C8H10O3"
"1577_234.1_4.3",1577,234.097289604869,4.28225900731707,"C10H19NOS2"
"1590_520.34_7.3",1590,520.339822624683,7.32723695982906,"C26H50NO7P"
"1612_297.1_3.3",1612,297.097952587538,3.28773680186916,"C14H18O8"
"1614_168.05_0.8",1614,168.05153760216,0.820224932878788,"C5H5N5O2"
"1642_163.04_1.9",1642,163.038933781394,1.93109927606838,"C9H8O4"
"1655_182.08_1.5",1655,182.081184015451,1.50177905853659,"C9H11NO3"
"1686_316.28_6.8",1686,316.28466812073,6.81848947352941,"C18H37NO3"
"1690_195.07_2.1",1690,195.065298999988,2.13894350092593,"C10H12O5"
"173_338.14_6.8",173,338.138733546855,6.8473413,"C20H21NO5"
"1732_162.11_1.5",1732,162.112433345139,1.51090215982906,"C7H15NO3"
"1793_328.25_5.3",1793,328.248504272126,5.29324216116505,"C18H35NO5"
"1811_152.07_0.8",1811,152.070563371189,0.802200143252033,"C8H11NO3"
"1812_278.25_8.3",1812,278.247834142211,8.292749685,"C18H31NO"
"1841_270.28_9.5",1841,270.279062411042,9.46654222682926,"C17H35NO"
"1843_336.33_8.7",1843,336.326860977467,8.69831847033898,"C22H43NO2"
"1896_533.09_3.5",1896,533.092893328561,3.4625523,"C24H22O15"
"1932_298.27_8",1932,298.27404958877,7.99655987642277,"C18H35NO2"
"1936_270.32_8",1936,270.315570552833,8.01196642195122,"C18H39N"
"1940_304.18_1.9",1940,304.175624124024,1.93748373534483,"C15H23N5O3"
"1966_388.12_3.1",1966,388.124465047535,3.10680106078431,"C16H21NO10"
"1982_230.1_0.7",1982,230.095703344141,0.654810542,"C9H15N3O2S"
"2002_740.46_3.5",2002,740.462685990898,3.53495432876712,"C30H57N15O7"
"2008_280.26_8",2008,280.263444481997,8.0091821,"C18H33NO"
"2054_220.12_1.9",2054,220.117874145786,1.90781711165049,"C9H17NO5"
"2069_744.58_10.4",2069,744.584223380459,10.3573123469388,"C42H82NO7P"
"2124_172.13_8.5",2124,172.133219711323,8.50126156585366,"C9H17NO2"
"2145_296.26_7.5",2145,296.258435381137,7.54176305528455,"C18H33NO2"
"2158_219.14_4",2158,219.137983324524,3.95828691323529,"C14H18O2"
"2168_144.1_1.5",2168,144.101949366241,1.5254054398374,"C7H13NO2"
"2187_242.25_8.6",2187,242.247906351723,8.55847344188034,"C15H31NO"
"219_202.13_3.8",219,202.125315274933,3.75464902352941,"C10H19NOS"
"2191_261.15_7.1",2191,261.148302579246,7.11416199315069,"C16H22O4"
"2197_202.12_2.4",2197,202.123630253152,2.39317560625,"C10H19NOS"
"2241_333.26_3.3",2241,333.264972595894,3.3337056,"C19H32N4O"
"2245_330.26_5.5",2245,330.263827906617,5.49611606568628,"C18H35NO4"
"2248_252.23_6.3",2248,252.232189249109,6.29161093888889,"C16H29NO"
"2257_242.28_7.4",2257,242.284288070235,7.36751064117647,"C16H35N"
"229_212.16_3.1",229,212.164530309215,3.12091281166667,"C12H23NO3"
"2293_326.31_7.1",2293,326.305663853314,7.09729389166667,"C20H41NO3"
"2343_176.09_1",2343,176.091814914824,1.03114916771186,"C7H13NO4"
"2367_165.05_0.9",2367,165.054704341503,0.94142553089431,"C9H10O4"
"238_280.26_9",238,280.263532638648,9.04370696810345,"C18H33NO"
"2386_280.26_7",2386,280.263600791373,7.03796643739837,"C18H33NO"
"240_183.09_0.7",240,183.086278461492,0.74251660539823,"C6H14O6"
"2417_144.1_1.5",2417,144.101952343452,1.47270278373984,"C7H13NO2"
"2458_154.09_1.4",2458,154.086366638374,1.35354432689076,"C8H11NO2"
"2476_240.23_6.6",2476,240.232239417152,6.56723044830509,"C15H31NO2"
"2489_216.2_4.5",2489,216.195867026741,4.50166171788618,"C12H25NO2"
"249_343.3_5.8",249,343.295590532504,5.82905235040651,"C19H38N2O3"
"2507_294.24_6.9",2507,294.242757037632,6.92241951219512,"C18H33NO3"
"2555_256.26_9.2",2555,256.263527846918,9.18295653495935,"C16H33NO"
"2567_377.15_2.6",2567,377.145048402074,2.61916641981982,"C17H20N4O6"
