	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
1-isothiocyanato-6-(methylsulfinyl)hexane	0.170136144223714	0.573776283396528
hexane-1,2,3,4,5,6-hexol	0.166822199483186	0.571132117375771
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.481851503704773	0.155298329686733
heptaethylene glycol	0.475877079395938	0.0420252593443755
sinapic acid	0.321928094887362	0.355917683749582
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.336677602145743	0.217125244549105
diethylamino hydroxybenzoyl hexyl benzoate	0.0305207876514835	0.931490815930072
tryptophol	0.321928094887362	0.355917683749582
1-isothiocyanato-9-(methylsulfinyl)nonane	0.329903789559406	0.33973460339136
Benzoylcholine	0.304583570967893	0.28117577259543
phenylalanine	0.57953196614951	0.00390839995837821
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	0.493723320339744	0.0375499689990495
hydroxytyrosol	0.122009230775714	0.640868697462798
8-(methylsulfinyl)octyl isothiocyanate	0.256382635592711	0.348473198825868
7,8-dihydro-8-oxoguanine	0.321928094887362	0.355917683749582
caffeic acid	-0.241283268627228	0.37832602474361
tyrosine	0.236953961104695	0.440667568621736
carnitinium	0.0367966496622965	0.896263033438241
noradrenaline	0.33584940028256	0.188952627657165
octadecan-1-amine	0.455104003812943	0.0552169884168687
HDMBOA-Glc	-0.321928094887362	0.355917683749582
pantothenic acid	0.321928094887362	0.355917683749582
gabapentin	0.0337254909336851	0.898868375144044
DL-Stachydrine	0.052189644903539	0.824793343433799
1-cyano-8-(methylsulfinyl)octane	0.0479984978723538	0.904225294589305
alpha-CEHC	-0.292060725934885	0.390871912426173
1-Hexadecylamine	0.45239721420178	0.0874886944587273
3-(4-hydroxyphenyl)lactic acid	0.319637243733694	0.214426661843469
dopamine	0.292701631685407	0.238474237702451
12-aminododecanoic acid	-0.207684495466986	0.42361991820552
hexadecanamide	0.12227834346403	0.609609078807666
3-(indol-3-yl)lactic acid	-0.140940306948898	0.677904479778678
palmitoyl ethanolamide	0.345121719640406	0.116200019002388
N-hexadecanoylglycine	0.237884911207169	0.360259396634348
bis(2-ethylhexyl) adipate	0.204261950261626	0.386100275330221
metribuzin	-0.0446205730857392	0.888371599256138
hordenine	0.314476515881984	0.172962242916447
6,7-dimethoxy-3-(4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl)-3H-isobenzofuran-1-one	-0.368786543772089	0.26946822812561
2-phenylethylamine	0.128475591256361	0.598959260766735
5-Hydroxytryptophol	0.321928094887362	0.355917683749582
monoethyl phthalate	0.373665815589217	0.146839831678793
glutamic acid	0.321928094887362	0.355917683749582
beta-D-Ribofuranose, 1-(6-amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-	-0.635682881285062	0.00116160119249688
SPB 16:1;2O	0.219308909427107	0.512999558840874
phosphocholine	-0.345544070885129	0.279667291356781
N-undecanoylglycine	-0.494471489544295	0.0303297782175908
8-amino-7-oxononanoic acid	0.349064361425872	0.112216615872109
N,N-bis(2-hydroxyethyl)dodecanamide	0.352684638589571	0.130358941902344
sinapine	0.321928094887362	0.355917683749582
octadecanamide	0.389033837341072	0.242508380012619
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	0.139242018889079	0.638976485825273
hexaethylene glycol	0.400486403516375	0.154769532649886
SPB 17:1;2O	0.119341623073472	0.673025358793313
N-methylnicotinic acid	0.371068706243853	0.182535465772666
serotonin	-0.321928094887362	0.355917683749582
hypoxanthine	0.380786577969198	0.25099330017315
epinine	0.335329584210756	0.162346614605865
histidine	-0.265087832675202	0.311083749189836
p-coumaroylagmatine	-0.0836155356055393	0.826729797144556
Valyl-Proline	0.580562608155389	0.134001859572705
N-(6-aminohexanoyl)-6-aminohexanoic acid	-0.0967913943394185	0.762429164627955
4-hydroxy-3-methoxycinnamoylagmatine	0.321928094887362	0.355917683749582
sulforaphane	0.123305379323548	0.627099846264632
4-(trimethylammonio)butanoic acid	-0.10929735748123	0.68713250444482
N-Acetyl-proline	0.399761841105947	0.117381264908595
N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide	0.425437732459964	0.17856550656311
adenine	-0.0710308425471641	0.803197977284899
salicylic acid	0.190991805173398	0.339437019293113
phenylethanolamine	0.360728449756496	0.282756910466368
catechin	0.321928094887362	0.355917683749582
N-acetyldopamine	0.185585681958169	0.527868059957954
pipecolic acid	-0.0703671575492741	0.807146277729556
Camelinin	0.321928094887362	0.355917683749582
2-Methyl-4-carboxy-3,4,5,6-tetrahydropyrimidine	0.191179291409761	0.51842319831302
tryptophan	0.224834050404152	0.501784047506512
guanine	-0.0247242774872109	0.918577591698462
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one	0.436761846046942	0.183223954251029
[3-carboxy-2-(1-oxohexadecoxy)propyl]-trimethylammonium	0.0554094395255936	0.888492260078815
2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	-0.334167441059571	0.324808738567517
L-Glutathione (reduced)	-0.321928094887362	0.355917683749582
N-acetylphenylalanine	-0.063772726906502	0.870473138495767
methiin	0.340066777739969	0.0768941157261642
DIMBOA-Glc	0.0691216529099684	0.785647647258394
arginine	-0.321928094887362	0.355917683749582
3-aminoadipic acid	0.556497711140001	0.016396420904055
N-(tetradecanoyl)ethanolamine	0.151466704082147	0.537195213911925
9-(methylsulfinyl)nonanoic acid	-0.228179390923703	0.419614478376451
Quercetin 3-(2-galloylglucoside)	0.321928094887362	0.355917683749582
2-aminooctadecane-1,3-diol	-0.199378756565751	0.528843512399608
