"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"10_312.22_6.4",10,312.217181773802,6.43624310508474,"C17H31NO5"
"100_261.16_2.9",100,261.159931946008,2.8713669,"C15H20N2O2"
"1000_121.07_1",1000,121.065084907098,1.04013450658537,"C8H8O"
"1004_337.24_6.8",1004,337.236084852993,6.7896998804878,"C20H34O5"
"101_227.18_2.3",101,227.175399590926,2.25984551,"C12H24N2O3"
"1010_261.22_8.9",1010,261.221411716129,8.93154854044944,"C18H30O2"
"1011_165.13_4.8",1011,165.127479305327,4.81233474552845,"C11H18O2"
"1015_200.04_0.6",1015,200.044198934771,0.606117697087379,NA
"1018_301.22_7.1",1018,301.216371987366,7.09491050243902,"C20H30O3"
"1019_299.2_7.3",1019,299.200323898427,7.27027135393259,"C20H28O3"
"1021_482.32_7.3",1021,482.324860895691,7.25700420833333,"C23H48NO7P"
"1022_339.29_8.4",1022,339.289456267937,8.39038181941748,"C21H40O4"
"1025_356.19_5.9",1025,356.186126708984,5.88040976666667,"C21H27NO5"
"1027_193.09_2.3",1027,193.085905475918,2.34029563564356,"C11H14O4"
"1028_453.34_3",1028,453.343599294794,3.02506824675325,"C24H44N4O4"
"1029_390.18_3.1",1029,390.17587153138,3.09641417666667,"C18H25N5O6"
"1030_444.33_7.8",1030,444.332099604709,7.83127607479675,"C24H47NO7"
"1031_1008.74_10.2",1031,1008.73924110064,10.2348533809524,NA
"1032_813.57_10.7",1032,813.572895818119,10.7148411,NA
"1038_511.37_9.9",1038,511.371522344141,9.86520548235294,NA
"1039_348.17_2.3",1039,348.165367589074,2.26471612272727,"C15H25NO8"
"104_771.25_2.3",104,771.246353150311,2.26778943448276,NA
"1040_365.27_7.7",1040,365.268575326432,7.66549013523809,"C22H38O5"
"1046_408.33_11.3",1046,408.326581319173,11.3348134166667,"C23H47NO2"
"1051_234.15_2.9",1051,234.153853970517,2.88541947894737,NA
"1052_867.24_0.6",1052,867.236287862932,0.618405193333334,NA
"1056_616.18_6",1056,616.176951091733,5.99701893333333,NA
"1057_314.11_0.7",1057,314.10862912367,0.675125229861111,"C11H15N5O6"
"1058_377.23_7",1058,377.232138639359,7.0040644,"C22H32O5"
"1059_311.26_9.1",1059,311.258737724058,9.13432945130435,"C19H34O3"
"1061_253.12_2",1061,253.117907694129,1.96923951232877,"C12H16N2O4"
"1065_324.29_8.5",1065,324.289708196279,8.45008633675214,"C20H37NO2"
"1068_332.22_6.3",1068,332.219979558921,6.34155999910714,NA
"1069_256.08_0.6",1069,256.081557228877,0.647622926785714,"C11H13NO6"
"107_206.07_4.4",107,206.066875117014,4.40490339268293,"C8H15NOS2"
"1070_549.42_10.9",1070,549.415933506463,10.9051214471545,NA
"1071_242.15_2.4",1071,242.150613789843,2.36997101153846,NA
"1072_252.99_0.7",1072,252.987764442441,0.744123850869565,"C5H11O7P"
"1074_317.21_7.8",1074,317.209166118744,7.79660185625,NA
"1075_165.08_0.7",1075,165.076191250928,0.650918970789474,"C6H14O6"
"1079_169.04_0.7",1079,169.035231928599,0.71277966959596,"C5H4N4O3"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,"C14H30O8"
"1080_222.11_2.2",1080,222.112510557097,2.15761003821138,"C12H17NO4"
"1085_279.23_8.9",1085,279.231942403086,8.93991362276423,"C18H30O2"
"1086_328.23_2.3",1086,328.232752619744,2.28344054054054,"C15H31N5O4"
"1089_606.41_8.7",1089,606.414116910899,8.72653491304348,"C31H60NO8P"
"109_709.44_4.3",109,709.444662656523,4.29502754117647,NA
"1090_272.19_4.4",1090,272.185432434919,4.35374758571429,"C14H27NO5"
"1091_137.1_2.8",1091,137.096148877439,2.77231450661157,"C9H14O2"
"1093_219.17_7.5",1093,219.174462140148,7.53275299512195,"C15H22O"
"1094_656.53_10.4",1094,656.530814071966,10.3956269837398,"C38H73NO5S"
"1096_507.87_10.9",1096,507.867313809516,10.9404842222222,NA
"1097_577.37_4.1",1097,577.367001958864,4.06037012605042,NA
"11_590.32_7.3",11,590.324582615488,7.31393180769231,"C30H50NO7P"
"1102_252.2_3.7",1102,252.201148989136,3.72490818333333,NA
"1104_354.34_10.7",1104,354.336674372788,10.6707248333333,"C22H43NO2"
"111_375.12_2.1",111,375.115961282175,2.08282065744681,NA
"1114_343.12_1.4",1114,343.123260074517,1.38186762916667,"C12H22O11"
"1116_317.21_7.3",1116,317.211759572132,7.29087597794118,"C20H30O4"
"1118_342.23_3.9",1118,342.227392674072,3.9252533546875,"C18H31NO5"
"1121_277.22_5",1121,277.216375564048,5.02566232777778,"C18H30O3"
"1123_210.11_0.9",1123,210.112321119797,0.925093145681818,"C11H15NO3"
"113_225.15_2.7",113,225.148517610314,2.67823006476191,"C13H20O3"
"1140_412.31_5",1140,412.306154888041,5.02798161666667,"C23H43NO6"
"1145_369.12_1.7",1145,369.116498259999,1.74392212340426,NA
"1147_312.17_2.5",1147,312.165358544124,2.49404247,"C13H23N5O5"
"1149_428.34_9.3",1149,428.337407778443,9.25039683474576,NA
"115_792.56_11",115,792.561284855675,11.0193601688312,"C43H79NO10"
"1150_672.37_8.2",1150,672.374392427823,8.20271255454545,"C37H53NO10"
"1152_607.46_11.5",1152,607.457223680956,11.5013340555556,NA
"1153_181.05_2.7",1153,181.049579567816,2.67387947361111,"C9H8O4"
"1154_568.4_10",1154,568.400707248576,9.95333390833333,NA
"1157_186.99_0.9",1157,186.992581158429,0.885120279024391,"C5H9O3P"
"1161_552.48_11.1",1161,552.483666094358,11.1069892295082,NA
"1163_326.31_9.9",1163,326.305325595637,9.92547142727273,"C20H41NO3"
"1165_292.23_6.5",1165,292.22661297199,6.47518074358974,"C18H29NO2"
"117_593.44_10.2",117,593.440812683105,10.17051835,NA
"1174_253.15_1.5",1174,253.154213691371,1.54004944516129,"C13H20N2O3"
"1176_238.11_1.1",1176,238.107343294757,1.093161136,"C12H15NO4"
"1179_532.34_8.1",1179,532.337403570156,8.145769012,"C25H52NO7P"
"1184_257.18_4.1",1184,257.17538026276,4.08755099705882,NA
"1187_429.37_11.1",1187,429.37307889325,11.1030220446429,"C29H48O2"
"1188_225.2_4",1188,225.196175425993,3.98478924035088,"C13H26N2O2"
"1192_206.05_0.9",1192,206.047453957029,0.904659921346154,"C7H13NO5S"
"1194_223.17_5.1",1194,223.169359968236,5.1447908504065,"C14H24O3"
"1198_326.31_9.1",1198,326.305419013977,9.07401495238095,"C20H39NO2"
"1199_492.22_3.8",1199,492.218817401652,3.75404980833333,"C21H37N3O6S2"
"12_344.21_3.1",12,344.206903898081,3.1180161,"C17H29NO6"
"120_482.86_10.3",120,482.860444461839,10.2517065882353,NA
"1200_241.22_5.8",1200,241.216112470221,5.84360703884297,"C15H30O3"
"1204_276.23_4.5",1204,276.230289858057,4.47910065172414,NA
"1207_222.15_2.7",1207,222.149463735611,2.736484667,"C13H21NO3"
"1211_585.44_11.5",1211,585.443517348346,11.5164364705882,NA
"1214_599.38_4.1",1214,599.379783857998,4.09971220792079,NA
"1215_204.12_1.5",1215,204.123095635276,1.46682972909091,"C9H17NO4"
"1217_176.01_0.6",1217,176.010924572784,0.609421360444445,NA
"1222_186.15_4.2",1222,186.148879942959,4.19183042601626,"C10H19NO2"
"1225_615.45_10.9",1225,615.45429221596,10.858000752809,NA
"1228_250.94_1.6",1228,250.935317874045,1.55527896190476,"C4H5O8P"
"1232_222.11_1.6",1232,222.112464099104,1.63369382926829,"C12H17NO4"
"1233_570.35_7.7",1233,570.354766848094,7.65220603333333,"C30H52NO7P"
"1237_307.23_7.2",1237,307.226695239874,7.18001849911504,"C19H32O4"
"1240_432.21_3.4",1240,432.213083902995,3.38442248333333,"C22H31N3O7"
"1244_265.19_3.6",1244,265.190624663737,3.59297572222222,NA
"125_235.14_2",125,235.144155275142,2.028503434,"C13H18N2O2"
"1251_297.24_6.6",1251,297.242575792762,6.6156274195122,"C18H34O4"
