	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
4-hydroxystyrene	-0.0339298387250063	0.920542643191734
N-(6-aminohexanoyl)-6-aminohexanoic acid	0.321928094887362	0.355917683749582
Elaidolinolenic acid	0.321928094887362	0.355917683749582
1-[(9E)-octadecenoyl]glycerol	0.299415976664902	0.316459296135439
sinapyl alcohol	-0.271896188373036	0.394434091863559
Serinyl-Phenylalanine	0.487025360508157	0.177237000674864
1-isothiocyanato-6-(methylsulfinyl)hexane	0.173946561853166	0.546228606922
hexane-1,2,3,4,5,6-hexol	-0.295318367007709	0.353183324639768
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.247916770052308	0.398421815700141
heptaethylene glycol	-0.156917728635511	0.59791107828847
Methyl 2-octynoate	0.123590463000792	0.587033546726016
caffeic acid	0.291969850414531	0.39651328000539
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	0.321928094887362	0.355917683749582
2-acetamido-3-(4-methoxyphenyl)propanoic acid	0.321928094887362	0.355917683749582
15-hydroxypentadecanoic acid	-0.121648541922966	0.591645852137194
Isoetharine	0.276152784290777	0.419513726155098
N-(4-Aminobutyl)-3-(4-hydroxyphenyl)prop-2-enamide	0.29655626861597	0.333113371905073
N,N,N-Trimethyllysine	0.341304735507283	0.317579932733966
bethanidine	0.128739174869055	0.708511618190439
diethylamino hydroxybenzoyl hexyl benzoate	0.0707588737878866	0.764261403512927
SPB 17:1;2O	-0.286089393005287	0.403957146877818
1-monopalmitoylglycerol	0.438084404458	0.153052231287696
tryptophol	-0.307707435650061	0.37396681224782
1-isothiocyanato-9-(methylsulfinyl)nonane	-0.232979507825897	0.497108014940006
2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol	0.359093292547496	0.285538380282262
Benzoylcholine	-0.0979738345092246	0.770839978262916
C18_Sphingosine*	-0.161683926430348	0.604380164851548
3-(3,4-dihydroxyphenyl)propanoic acid	-0.321928094887362	0.355917683749582
paracetamol	-0.22592268677273	0.405770287109348
arginine	0.46178352164473	0.160471776558013
phenylalanine	0.442582958446286	0.209952063475983
Tricosanoylglycine	0.0312221735975948	0.886713339023544
benzoxonium chloride	0.248841604217028	0.447064803557455
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-0.381397381588459	0.235252876234186
ACar 15:0	-0.289794994782562	0.39915677894573
N-[[3-Hydroxy-2-(2-pentenyl)cyclopentyl]acetyl]isoleucine	-0.321928094887362	0.355917683749582
N-Methyl-14-O-demethylepiporphyroxine	-0.321928094887362	0.355917683749582
hydroxytyrosol	-0.0609767079918783	0.793518712880464
8-(methylsulfinyl)octyl isothiocyanate	-0.318191826748466	0.229616512228969
spermidine	0.505654618943413	0.112662439837325
4-acetamidobenzoic acid	0.461260021547783	0.165347292738299
7,8-dihydro-8-oxoguanine	-0.199210563700215	0.496715357358954
3-hydroxykynurenine	0.54015542087357	0.137257374644471
tyrosine	0.403495358686626	0.21233783038031
3-oxooctanoic acid	-0.0345463114333182	0.899342565327402
N-tridecanoylglycine	0.0122483537801555	0.957008038439808
3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid	-0.159939688024737	0.530940771955204
sym-homospermidine	0.185168772782064	0.473863076359566
Isochlorogenic acid	-0.321928094887362	0.355917683749582
quinolin-8-ol	0.32312591210086	0.227695615029399
carnitinium	0.419331705857113	0.145510320813822
13-Docosenoic acid, methyl ester	0.023818702875355	0.953868862223551
phosphocholine	0.321928094887362	0.355917683749582
noradrenaline	0.517097638847524	0.149771893066791
2-[(2-Amino-1-hydroxy-3-methylpentylidene)amino]-3-methylpentanoic acid	0.265553071921554	0.417754843803701
6-methoxy-2-benzoxazolinone	0.0888458949048132	0.761404871046942
caproylcholine	0.321928094887362	0.355917683749582
octadecan-1-amine	-0.0649747481740031	0.829652437168545
kynurenine	0.528970226966287	0.139797998570155
4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one	-0.285022207018454	0.304796497085137
9-aminononanoic acid	-0.231282623464149	0.529496840337538
8-amino-7-oxononanoic acid	0.122729273391587	0.670678389930181
3-oxo-1,8-octanedicarboxylic acid	-0.151444473897904	0.580128466585865
stearolic acid	0.30188302433212	0.129076604113071
N-(dodecanoyl)ethanolamine	0.201212147758539	0.341981116240912
HDMBOA-Glc	0.426156660426349	0.195487840908037
5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid	0.164014481714002	0.641301801328032
3,6,9-Trimethylidene-3a,4,5,6a,7,8,9a,9b-octahydroazuleno[4,5-b]furan-2-one	-0.254615198682023	0.457129505454421
5-hydroxymethylfurfural	0.00916457979229782	0.974790833009715
pantothenic acid	0.307540705935511	0.367989695219177
gabapentin	-0.381889269531575	0.0648033209709872
DL-Stachydrine	0.283635974890118	0.381200435276405
1-cyano-8-(methylsulfinyl)octane	-0.321928094887362	0.355917683749582
alpha-CEHC	0.40481598402535	0.206072976843327
2-[4-[1,3-dihydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-2-yl]oxy-3,5-dimethoxyphenyl]-5,7-dihydroxychromen-4-one	-0.0676217559850083	0.825414440027706
choline hydrogen sulfate	-0.250043970131709	0.463862282959391
1-Hexadecylamine	-0.116709840045661	0.699114763235122
N-acetyltryptophan	0.32952569423556	0.340489502940614
Ethyl vanillate	-0.18944252262278	0.466778666839748
nicotinic acid	0.297553913479648	0.327732753724594
3-(4-hydroxyphenyl)lactic acid	0.408226651300748	0.205830621210618
(4-Hydroxy-3-methoxyphenyl)ethanol	-0.187053639885417	0.496170570875657
4-[[4-(dimethylamino)-6-(4-morpholinyl)-1,3,5-triazin-2-yl]oxy]benzoic acid methyl ester	0.321928094887362	0.355917683749582
elaidic acid	0.141391270781773	0.499979153643901
octadeca-9,12-diynoic acid	0.177335501847884	0.485324046973619
N-Acetyl-ornithine	0.365212709698216	0.244215935818801
dopamine	0.115148608803046	0.644228420679634
12-aminododecanoic acid	-0.148670674560597	0.54023663933986
alpha-Cyclohexylmandelic acid	-0.133700562773648	0.643834846317962
Depsidellin C	0.111595401625668	0.760363881080898
4-coumaric acid	0.48361059734108	0.165864023649518
N-(decanoyl)ethanolamine	-0.286323404524185	0.190599866220201
hexadecanamide	0.0629198888227929	0.766322217451221
3,4-dimethoxycinnamyl acetate	0.321928094887362	0.355917683749582
3-(indol-3-yl)lactic acid	0.412090948941524	0.232448540279334
3-methoxytyramine	0.0136153554128353	0.948182660177296
palmitoyl ethanolamide	0.202155588471951	0.519836114052789
n-Dimethylarginine	0.432209578633075	0.189347445816441
fingolimod	-0.291403755931658	0.378212031411317
1-methyl-1,2,3,4-tetrahydroisoquinoline-6,7-diol	0.455481059663208	0.0521734703086258
N-hexadecanoylglycine	0.173889622546879	0.387269544452801
3-alpha-Mannobiose	0.340541407685191	0.295525695121652
N-Carboxyacetyl-D-phenylalanine	0.321928094887362	0.355917683749582
bis(2-ethylhexyl) adipate	-0.226466273999843	0.405110868623881
glycyl-DL-phenylalanine	0.442932558103972	0.155562275064332
3-hydroxy-5,5,8a-trimethyl-3,4,4a,6,7,8-hexahydronaphthalene-2-carboxylic acid	-0.0273836359604917	0.922870653868585
carveol	-0.194376405134426	0.465773594977163
l-Norvaline, N-(2-methoxyethoxycarbonyl)-, undecyl ester	0.332138630391762	0.322319321528504
2-aminohexanoic acid	0.376218576673326	0.268520136120985
alanyl-leucine	0.276688146089304	0.368492194673266
2-amino-1,3,4-tetradecanetriol	0.41425467184892	0.1955381682335
