"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3658_261.15_6.4",3658,261.148555232852,6.42195483211009,0.00223730230614596,2.65027532970729,1.71289991704752,0.776440858720571,"Terpenoids","Meroterpenoids","Prenyl quinone meroterpenoids","alpha-Cehc",NA,"C=C1O[C@@H]2[C@H]3C(=C)[C@@H](O)C[C@H]3C(=C)C[C@@H](O)[C@H]2C1=C","CC1=C(C2=C(CCC(O2)(C)CCC(=O)O)C(=C1O)C)C",NA,NA,NA,NA,"OLSOYTHXHBNGLE","InChI=1S/C16H20O3/c1-7-5-13(18)15-8(2)10(4)19-16(15)14-9(3)12(17)6-11(7)14/h11-18H,1-6H2/t11-,12-,13+,14-,15+,16+/m0/s1","OLSOYTHXHBNGLE-RWHKXBQASA-N","InChI=1S/C16H22O4/c1-9-10(2)15-12(11(3)14(9)19)5-7-16(4,20-15)8-6-13(17)18/h19H,5-8H2,1-4H3,(H,17,18)","AXODOWFEFKOVSH"
"2868_464.36_9.3",2868,464.35866180668,9.27041423252033,0.00361518059974016,2.44187000223904,0.677494985554598,-0.561717826416847,"Fatty acids","Glycerophospholipids","Monoacylglycerols","D-Glucosyldihydrosphingosine",NA,NA,"CCCCCCCCCCCCCCCC(C(COC1C(C(C(C(O1)CO)O)O)O)N)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H49NO7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(27)18(25)17-31-24-23(30)22(29)21(28)20(16-26)32-24/h18-24,26-30H,2-17,25H2,1H3","FIFSBOWKHSUGDL"
"5240_234.13_2.2",5240,234.133887066276,2.2327271203252,0.00628373251848322,2.20178230998139,1.52899302725239,0.612581827515371,"Amino acids and Peptides","Small peptides","Dipeptides","Pantogab",NA,NA,"CC(C)(CO)C(C(=O)NCCCC(=O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C10H19NO5/c1-10(2,6-12)8(15)9(16)11-5-3-4-7(13)14/h8,12,15H,3-6H2,1-2H3,(H,11,16)(H,13,14)","SBBDHANTMHIRGW"
"2690_231.14_6.5",2690,231.138162646561,6.54331486147541,0.0109373652654864,1.96108728389568,0.675258032653953,-0.566489198211475,"Terpenoids","Sesquiterpenoids","Illudalane sesquiterpenoids","Pterosin A",NA,NA,"CC1=CC2=C(C(=C1CCO)C)C(=O)C(C2)(C)CO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H20O3/c1-9-6-11-7-15(3,8-17)14(18)13(11)10(2)12(9)4-5-16/h6,16-17H,4-5,7-8H2,1-3H3","BDZJLPDYMKPKGC"
"1668_229.12_5.2",1668,229.122343137862,5.21434178461539,0.0206487326243364,1.68510659926901,0.618711123296238,-0.692662123680168,"Terpenoids","Sesquiterpenoids","Eudesmane sesquiterpenoids","null","C=C[C@]1(C)C[C@H](O)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]1C(=C)CO","C=C(C(=O)O)[C@H]1C=C2C(C)=CC=C2C(C)=CC1","CC1=CCCC(=C)C(=O)CC2C(C1)OC(=O)C2=C","InChI=1S/C15H20O4/c1-5-15(4)6-10(17)11-9(3)14(18)19-13(11)12(15)8(2)7-16/h5,10-13,16-17H,1-3,6-7H2,4H3/t10-,11+,12+,13-,15+/m0/s1","GQBRDBUFLQZZBP-IHWVXMPCSA-N","GQBRDBUFLQZZBP-IHWVXMPCSA-N","GQBRDBUFLQZZBP","VPDJBEHQUMUQDG","InChI=1S/C15H16O2/c1-9-4-6-12(11(3)15(16)17)8-14-10(2)5-7-13(9)14/h4-5,7-8,12H,3,6H2,1-2H3,(H,16,17)/t12-/m1/s1","VPDJBEHQUMUQDG-GFCCVEGCSA-N","InChI=1S/C15H18O3/c1-9-5-4-6-10(2)13(16)8-12-11(3)15(17)18-14(12)7-9/h5,12,14H,2-4,6-8H2,1H3","KYCKEGJVFFKZTR"
"4399_139.04_2.6",4399,139.039139149913,2.58408633644068,0.0214428052618168,1.66871839854872,0.692305318655686,-0.530519663143673,"Polyketides","Phloroglucinols","Tropolones and derivatives (Shikimate)","4-Formylresorcinol",NA,"O=C(O)c1cccc(O)c1","C1=CC(=C(C=C1O)O)C=O",NA,NA,NA,NA,"IJFXRHURBJZNAO","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","IJFXRHURBJZNAO-UHFFFAOYSA-N","InChI=1S/C7H6O3/c8-4-5-1-2-6(9)3-7(5)10/h1-4,9-10H","IUNJCFABHJZSKB"
"1927_673.5_10.8",1927,673.496054256664,10.8211720588235,0.0249579451733106,1.6027911736622,1.38577535898577,0.470693408453514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985_695.51_10.8",1985,695.509091696106,10.8055638888889,0.0252100635261725,1.59842605995499,1.44686787876826,0.532933187696587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3538_339.25_6.7",3538,339.250849407923,6.65514109074074,0.0254825207129029,1.59375761410916,1.56551936875317,0.646641357746011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2678_392.23_5.7",2678,392.227897954181,5.67442866666667,0.028996203682394,1.53765885822905,0.710534310110358,-0.493023779225151,"Alkaloids","Peptide alkaloids","Simple amide alkaloids","Cpp-vpgvg",NA,NA,"CC(C)C(C(=O)NCC(=O)NC(C(C)C)C(=O)N1CC=CC1C=O)NC(=O)CN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H31N5O5/c1-11(2)16(22-14(26)8-20)18(28)21-9-15(27)23-17(12(3)4)19(29)24-7-5-6-13(24)10-25/h5-6,10-13,16-17H,7-9,20H2,1-4H3,(H,21,28)(H,22,26)(H,23,27)","MIHGCDPJJGWQHT"
