"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
605,"605_197.08_2.3","Ethyl vanillate_[605_197.08_2.3]",197.080943925614,2.33230445982143,0.0379607320529332,1.42066542102125,0.709426906167062,-0.495274047025208,"Ethyl Vanilate","Ethyl vanillate","CHEBI:181310",0.285609289974411,-40.2687801502827,89.3883937535867,1,"InChI=1S/C10H12O4/c1-3-14-10(12)7-4-5-8(11)9(6-7)13-2/h4-6,11H,3H2,1-2H3","MWAYRGBWOVHDDZ","C10H12O4","[M + H]+","CCOC(=O)C1=CC(=C(C=C1)O)OC","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)","164.047344116|164.047344116|196.073558864","InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+|InChI=1S/C9H8O3/c10-8-4-2-1-3-7(8)5-6-9(11)12/h1-6,10H,(H,11,12)|InChI=1S/C10H12O4/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3/h4-5,12H,1-3H3","NGSWKAQJJWESNS-ZZXKWVIFSA-N|PMOWTIHVNWZYFI-UHFFFAOYSA-N|OJOBTAOGJIWAGB-UHFFFAOYSA-N","NGSWKAQJJWESNS|PMOWTIHVNWZYFI|OJOBTAOGJIWAGB","O=C(O)/C=C/c1ccc(O)cc1|O=C(O)C=Cc1ccccc1O|COc1cc(C(C)=O)cc(OC)c1O","C9H8O3|C9H8O3|C10H12O4","4-Hydroxycinnamic acid|ortho-Hydroxycinnamic acid|Acetosyringone","http://www.wikidata.org/entity/Q99374|http://www.wikidata.org/entity/Q27102874|http://www.wikidata.org/entity/Q906309","Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)|Phenylpropanoids (C6-C3)|nan","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Shikimic acids and derivatives","Triticum aestivum|Triticum aestivum|Triticum aestivum","['Eukaryota']|['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']","['Poales']|['Poales']|['Poales']","['Poaceae']|['Poaceae']|['Poaceae']","['Triticeae']|['Triticeae']|['Triticeae']","['Triticum']|['Triticum']|['Triticum']","['Triticum aestivum']|['Triticum aestivum']|['Triticum aestivum']","nan|nan|nan","31926.0|31926.0|31926.0","http://www.wikidata.org/entity/Q161098|http://www.wikidata.org/entity/Q161098|http://www.wikidata.org/entity/Q161098",NA,-1.00100150250438,0.596806387225549,-1.00100150250438,0.616766467065868,-1.00100150250438,0.590818363273453,0.145,0.508982035928144
818,"818_183.1_1.8","NA_[818_183.1_1.8]",183.101162723111,1.81777695818182,0.0463144497219506,1.3342834915854,0.716938608978192,-0.48007850777977,"Oprea1_690247",NA,NA,0.18861492743091,-82.5140587205428,179.084670505574,1,"InChI=1S/C10H14O3/c1-9(2)6-3-4-10(9,8(12)13)7(11)5-6/h6H,3-5H2,1-2H3,(H,12,13)","WDODWBQJVMBHCO","C10H14O3","[M + H]+","CC1(C2CCC1(C(=O)C2)C(=O)O)C","Terpenoids","Camphane monoterpenoids","Monoterpenoids","182.094294308","InChI=1S/C10H14O3/c1-6-3-4-8-7(2)9(11)13-10(8,12)5-6/h6,12H,3-5H2,1-2H3","LBNWZGLSMCTAQB-UHFFFAOYSA-N","LBNWZGLSMCTAQB","CC1=C2CCC(C)CC2(O)OC1=O","C10H14O3","3,6-Dimethyl-7a-hydroxy-5,6,7,7a-tetrahydrobenzofuran-2(4H)-one","http://www.wikidata.org/entity/Q82948017","Terpenoids","Monoterpenoids","nan","nan","nan","Mentha piperita","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Lamiaceae']","['Mentheae']","['Mentha']","['Mentha x piperita']","nan","6082512.0","http://www.wikidata.org/entity/Q102165594",5,1.00100150250438,0.209580838323353,-0.14286005839829,0.387225548902196,0.468624165678062,0.25748502994012,0.113228571428571,0.806387225548902
1232,"1232_222.11_1.6","NA_[1232_222.11_1.6]",222.112464099104,1.63369382926829,0.0436357039738614,1.36015801317733,0.724594356569547,-0.464754525337997,"N-(3,4-dimethoxybenzyl)-beta-alanine",NA,NA,0.139126421875119,-174.223144010673,46.8096184918016,1,"InChI=1S/C12H17NO4/c1-16-10-4-3-9(7-11(10)17-2)8-13-6-5-12(14)15/h3-4,7,13H,5-6,8H2,1-2H3,(H,14,15)","QVZCXKFEFBZSFG","C12H17NO4","[M - H2O + H]+","COC1=C(C=C(C=C1)CNCCC(=O)O)OC","Alkaloids","Phenylethylamines","Tyrosine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817041456918251,0.29940119760479,1.41705050316284,0.207584830339321,0.929278138329161,0.277445109780439,0.0987,0.816367265469062
1668,"1668_229.12_5.2","NA_[1668_229.12_5.2]",229.122343137862,5.21434178461539,0.0206487326243364,1.68510659926901,0.618711123296238,-0.692662123680168,"null",NA,NA,0.127761263487281,-42.684784917778,72.3159312075425,1,"InChI=1S/C15H18O3/c1-9-5-4-6-10(2)13(16)8-12-11(3)15(17)18-14(12)7-9/h5,12,14H,2-4,6-8H2,1H3","KYCKEGJVFFKZTR","C15H18O3","[M - H2O + H]+","CC1=CCCC(=C)C(=O)CC2C(C1)OC(=O)C2=C","Terpenoids","Eudesmane sesquiterpenoids","Sesquiterpenoids","228.115029752","InChI=1S/C15H16O2/c1-9-4-6-12(11(3)15(16)17)8-14-10(2)5-7-13(9)14/h4-5,7-8,12H,3,6H2,1-2H3,(H,16,17)/t12-/m1/s1","VPDJBEHQUMUQDG-GFCCVEGCSA-N","VPDJBEHQUMUQDG","C=C(C(=O)O)[C@H]1C=C2C(C)=CC=C2C(C)=CC1","C15H16O2","2-[(5R)-3,8-dimethyl-5,6-dihydroazulen-5-yl]prop-2-enoic acid","http://www.wikidata.org/entity/Q105290656","Terpenoids","Sesquiterpenoids","nan","nan","nan","Ursinia nudicaulis","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Asterales']","['Asteraceae']","['Anthemideae']","['Ursinia']","['Ursinia nudicaulis']","nan","6055864.0","http://www.wikidata.org/entity/Q15562618",6,3.44173922309483,0.0259481037924152,3.52137501326018,0.0219560878243513,3.58818614403067,0.0219560878243513,0.2825,0.0379241516966068
1927,"1927_673.5_10.8","NA_[1927_673.5_10.8]",673.496054256664,10.8211720588235,0.0249579451733106,1.6027911736622,1.38577535898577,0.470693408453514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12004437429114,0.0518962075848303,2.12004437429114,0.0718562874251497,2.23486110692435,0.0598802395209581,0.1492,0.335329341317365
1985,"1985_695.51_10.8","NA_[1985_695.51_10.8]",695.509091696106,10.8055638888889,0.0252100635261725,1.59842605995499,1.44686787876826,0.532933187696587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.251497005988024,1.00100150250438,0.263473053892216,1.00100150250438,0.225548902195609,0.0877714285714286,0.798403193612774
2007,"2007_374.14_3.1","NA_[2007_374.14_3.1]",374.144792732398,3.12350870909091,0.0358179280891643,1.44589953980099,0.640574223835299,-0.642562348434407,"Proacaciberin",NA,NA,0.277662059160607,-135.16656477291,113.075080885426,1,"InChI=1S/C16H25NO10/c1-6(2)8(3-17)26-16-14(23)12(21)11(20)9(27-16)5-25-15-13(22)10(19)7(18)4-24-15/h7-16,18-23H,1,4-5H2,2H3","BHUCUDQLYLLDIA","C16H25NO10","[M - H2O + H]+","CC(=C)C(C#N)OC1C(C(C(C(O1)COC2C(C(C(CO2)O)O)O)O)O)O","Amino acids and Peptides","Cyanogenic glycosides","Amino acid glycosides","356.11073222","InChI=1S/C16H20O9/c1-23-10-6-8(2-4-9(10)17)3-5-12(18)24-7-11-13(19)14(20)15(21)16(22)25-11/h2-6,11,13-17,19-22H,7H2,1H3","LVNFIOGAAUPIPC-UHFFFAOYSA-N","LVNFIOGAAUPIPC","COc1cc(C=CC(=O)OCC2OC(O)C(O)C(O)C2O)ccc1O","C16H20O9","beta-D-Glucopyranose, 6-[3-(4-hydroxy-3-methoxyphenyl)-2-propenoate], (E)-","http://www.wikidata.org/entity/Q105157934","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Terpenoids","Sesquiterpenoids","Cinnamic acids and derivatives","Picrorhiza scrophulariiflora","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Veroniceae']","['Neopicrorhiza']","['Neopicrorhiza scrophulariiflora']","nan","257215.0","http://www.wikidata.org/entity/Q15246965",7,1.00100150250438,0.193612774451098,1.00100150250438,0.187624750499002,1.00100150250438,0.17564870259481,0.1272,0.163672654690619
2469,"2469_403.21_1.9","NA_[2469_403.21_1.9]",403.20826167172,1.92643236363636,0.0404502292162563,1.39307901306102,1.54864254542819,0.631004182571833,"null",NA,NA,0.107895607039292,-410.207391483969,27.4782048964743,0.520100502512563,"InChI=1S/C19H26N6O4/c20-11-16(26)25-10-9-24(19(29)22-13-5-2-1-3-6-13)12-15(25)18(28)23-14-7-4-8-21-17(14)27/h1-3,5-6,14-15H,4,7-12,20H2,(H,21,27)(H,22,29)(H,23,28)","YJLFEDANYGKJMS","C19H26N6O4","[M + H]+","C1CC(C(=O)NC1)NC(=O)C2CN(CCN2C(=O)CN)C(=O)NC3=CC=CC=C3","Alkaloids","Polyamines","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.0898203592814371,2.00804832225625,0.0838323353293413,1.98770612744662,0.0918163672654691,0.084,0.950099800399202
2568,"2568_293.17_7.1","NA_[2568_293.17_7.1]",293.174845005531,7.05267056504065,0.0368259034487665,1.43384658982135,0.70841277406254,-0.497337867960548,"Decyl gallate",NA,NA,0.115882807857204,-131.392268307476,67.9730236999047,1,"InChI=1S/C17H26O5/c1-2-3-4-5-6-7-8-9-10-22-17(21)13-11-14(18)16(20)15(19)12-13/h11-12,18-20H,2-10H2,1H3","AOTRKUOCGUXQCY","C17H26O5","[M - H2O + H]+","CCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)","292.167459248","InChI=1S/C17H24O4/c1-11(20)21-14-8-12(9-18)13(10-19)17(4)7-5-6-16(2,3)15(14)17/h8-10,13-15H,5-7H2,1-4H3/t13-,14+,15-,17+/m0/s1","ZKYNLPLNNYOIPE-QSJFSLAZSA-N","ZKYNLPLNNYOIPE","CC(=O)O[C@@H]1C=C(C=O)[C@H](C=O)[C@@]2(C)CCCC(C)(C)[C@H]12","C17H24O4","[(1R,4R,4aS,8aS)-3,4-diformyl-4a,8,8-trimethyl-1,4,5,6,7,8a-hexahydronaphthalen-1-yl] acetate","http://www.wikidata.org/entity/Q105378799","Terpenoids","Sesquiterpenoids","Terpenoids","Sesquiterpenoids","Guaiane sesquiterpenoids","Dendrodoris arborescens","['Eukaryota']","['Metazoa']","['Mollusca']","['Gastropoda']","['Nudibranchia']","['Dendrodorididae']","['Unknown']","['Dendrodoris']","['Dendrodoris arborescens']","nan","2875548.0","http://www.wikidata.org/entity/Q13584714",4,1.73727046020804,0.0998003992015968,1.73727046020804,0.0978043912175649,1.73727046020804,0.093812375249501,0.1347,0.355289421157685
2678,"2678_392.23_5.7","NA_[2678_392.23_5.7]",392.227897954181,5.67442866666667,0.028996203682394,1.53765885822905,0.710534310110358,-0.493023779225151,"Cpp-vpgvg",NA,NA,0.524607850819056,-270.61218428133,16.3971884324849,1,"InChI=1S/C19H31N5O5/c1-11(2)16(22-14(26)8-20)18(28)21-9-15(27)23-17(12(3)4)19(29)24-7-5-6-13(24)10-25/h5-6,10-13,16-17H,7-9,20H2,1-4H3,(H,21,28)(H,22,26)(H,23,27)","MIHGCDPJJGWQHT","C19H31N5O5","[M - H2O + H]+","CC(C)C(C(=O)NCC(=O)NC(C(C)C)C(=O)N1CC=CC1C=O)NC(=O)CN","Alkaloids","Simple amide alkaloids","Peptide alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41705050316284,0.239520958083832,1.41705050316284,0.255489021956088,1.41705050316284,0.251497005988024,0.092,0.846307385229541
2690,"2690_231.14_6.5","NA_[2690_231.14_6.5]",231.138162646561,6.54331486147541,0.0109373652654864,1.96108728389568,0.675258032653953,-0.566489198211475,"Pterosin A",NA,NA,0.231947545114083,-114.498954794628,55.9974076958797,1,"InChI=1S/C15H20O3/c1-9-6-11-7-15(3,8-17)14(18)13(11)10(2)12(9)4-5-16/h6,16-17H,4-5,7-8H2,1-3H3","BDZJLPDYMKPKGC","C15H20O3","[M - H2O + H]+","CC1=CC2=C(C(=C1CCO)C)C(=O)C(C2)(C)CO","Terpenoids","Illudalane sesquiterpenoids","Sesquiterpenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34001385863954,0.0219560878243513,3.27002911227061,0.0239520958083832,3.44082817632328,0.0199600798403194,0.225666666666667,0.129740518962076
2868,"2868_464.36_9.3","NA_[2868_464.36_9.3]",464.35866180668,9.27041423252033,0.00361518059974016,2.44187000223904,0.677494985554598,-0.561717826416847,"D-Glucosyldihydrosphingosine",NA,NA,0.347054242361369,-118.708745391089,27.3660829476162,1,"InChI=1S/C24H49NO7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(27)18(25)17-31-24-23(30)22(29)21(28)20(16-26)32-24/h18-24,26-30H,2-17,25H2,1H3","FIFSBOWKHSUGDL","C24H49NO7","[M + H]+","CCCCCCCCCCCCCCCC(C(COC1C(C(C(C(O1)CO)O)O)O)N)O","Fatty acids","Monoacylglycerols","Glycerophospholipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69610635477286,0.0179640718562874,3.45294776570298,0.0259481037924152,3.66761642106846,0.0219560878243513,0.229533333333333,0.159680638722555
3097,"3097_725.52_10.8","NA_[3097_725.52_10.8]",725.520966608863,10.7737233361345,0.0437654518501349,1.35886858336221,1.43818194081782,0.524246199081611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67131567616219,0.167664670658683,1.41705050316284,0.193612774451098,1.67131567616219,0.167664670658683,0.0873,0.80439121756487
3199,"3199_179.11_5.9","NA_[3199_179.11_5.9]",179.10669912943,5.8868164195122,0.0391890081138236,1.40683572851334,0.743488548544048,-0.427617573303606,"o-(Allyloxy)phenetole",NA,NA,0.21589215420329,-68.5947983269419,21.6151660759141,1,"InChI=1S/C11H14O2/c1-3-9-13-11-8-6-5-7-10(11)12-4-2/h3,5-8H,1,4,9H2,2H3","UCMXTTKAPKCTNV","C11H14O2","[M + H]+","CCOC1=CC=CC=C1OCC=C","Shikimates and Phenylpropanoids","Cinnamic acids and derivatives","Phenylpropanoids (C6-C3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41705050316284,0.179640718562874,1.67131567616219,0.13373253493014,1.71351027480322,0.135728542914172,0.109233333333333,0.748502994011976
3223,"3223_659.48_10.8","NA_[3223_659.48_10.8]",659.481363936287,10.817469040404,0.0317920137216561,1.49768196278968,1.35830884985062,0.441811554315243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34406227991274,0.229540918163673,1.41705050316284,0.207584830339321,1.40275209380409,0.231536926147705,0.1097,0.654690618762475
