"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
2844	"2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol_[2844_381.08_0.6]"	40.0708377756693	-0.549027326130328	-0.387287124575366
2481	"Isochlorogenic acid_[2481_355.1_2.3]"	25.5194747879272	-0.43517303511306	0.487335769441113
2751	"NA_[2751_219.03_0.6]"	20.7820025313951	-0.239050255747176	-0.151165985564807
5396	"NA_[5396_852.51_4.1]"	15.5813162287724	-0.262746852935457	0.404788796694716
2201	"NA_[2201_381.08_1.5]"	12.9918387492666	-0.17812292010141	-0.140515024986149
4547	"caffeic acid_[4547_163.04_2.3]"	12.9839368976422	-0.221204029934251	0.268085591933577
1000	"4-hydroxystyrene_[1000_121.07_1]"	12.6642582471936	-0.214172747443677	0.342589871439741
2721	"caffeic acid_[2721_163.04_2.3]"	12.6588375501998	-0.215319273024857	0.273059637670041
2351	"NA_[2351_381.08_1.5]"	11.8298709639684	-0.16284232985271	-0.127242526528407
2651	"NA_[2651_360.15_0.7]"	10.5689392755419	-0.137888515181267	-0.12017906847079
5380	"arginine_[5380_175.12_0.6]"	9.88088776022024	-0.0402398870727963	-0.0938336245482546
5153	"NA_[5153_398.34_4.1]"	9.1694347243158	-0.15461138470133	0.238553658143273
4436	"NA_[4436_868.5_4.1]"	8.74868312974273	-0.147454528972244	0.225125106336866
2566	"NA_[2566_280.26_8.7]"	8.08448535335859	-0.0582150103914448	-0.0448713734876751
3940	"N-methylnicotinic acid_[3940_138.06_0.7]"	8.00544557136527	-0.117909464943736	0.0162979234843231
4610	"NA_[4610_420.22_4.8]"	7.87308528108048	-0.133099462504221	0.210253822414576
3250	"glutamic acid_[3250_148.06_0.6]"	7.36125114550248	-0.0865860736548166	-0.0423866261297979
3867	"2-aminohexanoic acid_[3867_132.1_1.1]"	7.1163740306815	-0.0603585676364795	-0.0580566392544485
5178	"DL-Stachydrine_[5178_144.1_0.6]"	6.97995079960877	-0.0257541330853398	-0.0643673933437279
4598	"glutamic acid_[4598_130.05_0.6]"	6.90512862666622	-0.0723983877134329	-0.04512868238835
5535	"NA_[5535_235.17_0.7]"	6.90377756425258	-0.0793516865877829	-0.104462313449195
4656	"acetylagmatine_[4656_173.14_0.8]"	6.35694759428859	-0.0337155091324121	-0.123013493784468
1694	"NA_[1694_360.15_1.5]"	6.04172392602151	-0.0801629612588887	-0.0700122708159175
4494	"glutamine_[4494_147.08_0.6]"	5.84972445017469	-0.0592559127304261	-0.041294247180325
1419	"phenylalanine_[1419_166.09_1.6]"	5.67728016106772	-0.0510257377827366	-0.0339800203205539
846	"1,5-anhydro-1-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-6-yl]hexitol_[846_449.11_2.8]"	5.16581969661767	-0.0678875315584904	-0.0816997835729437
5635	"NA_[5635_219.03_1.3]"	5.07439294318291	-0.0599114480613208	-0.039983235024995
3612	"NA_[3612_254.25_8.5]"	4.58109361624515	-0.0324179305636948	-0.0250434037277314
5422	"NA_[5422_273.12_1.5]"	4.48718036584699	-0.0543460854096877	-0.0677235151028025
868	"tryptophan_[868_205.1_2]"	4.48340778225171	-0.056475041785706	0.0244654149440668
5616	"NA_[5616_542.32_6.9]"	4.39790062540468	-0.00719743031445877	-0.0354479604770674
5540	"NA_[5540_273.12_1.4]"	4.32199957769192	-0.0533865453412732	-0.06690342260153
628	"hydroxytyrosol_[628_137.06_0.8]"	4.29055649962826	-0.0596760647891776	0.0396187551686819
4647	"NA_[4647_522.36_7.9]"	3.96822476722697	-0.00861108372675636	-0.0318191088319628
5652	"1-(ethylamino)-3-[3-(ethylamino)-2-hydroxypropoxy]-2-propanol_[5652_221.19_0.6]"	3.96155925065207	-0.0356797396024913	-0.050111806698728
2555	"hexadecanamide_[2555_256.26_9.2]"	3.85819295479499	-0.0254559819891439	-0.0226832431705219
3075	"NA_[3075_607.29_10.3]"	3.8126686483265	-0.0460782768566215	-0.0188282228004047
4966	"NA_[4966_560.39_4.1]"	3.80520219263728	-0.0641814364431997	0.0990928614834377
5440	"NA_[5440_180.09_0.7]"	3.57926688169747	-0.0408188037471715	-0.0317423171191379
4775	"pipecolic acid_[4775_130.09_0.7]"	3.53740441518042	-0.0359663557924687	-0.0317383114444122
2800	"3-alpha-Mannobiose_[2800_365.11_0.6]"	3.47069940570985	-0.0442103898545392	-0.0246288398148198
3781	"NA_[3781_231.17_0.7]"	3.34257001348404	-0.00465145419473721	-0.0233428835868698
3873	"NA_[3873_231.17_0.7]"	3.33668684487738	-0.00462922072871916	-0.0232409088628023
5064	"NA_[5064_198.1_0.7]"	3.32164228218207	-0.0372875743822758	-0.0299346999190656
4822	"tyrosine_[4822_182.08_0.9]"	3.23662718689736	-0.0224194806431301	-0.0190690217365697
350	"NA_[350_360.15_1.4]"	3.15137661222207	-0.0412480956304577	-0.0357803427907619
3943	"NA_[3943_221.04_0.6]"	3.11376053279693	-0.0129310113772238	-0.0196001546869245
4800	"NA_[4800_338.14_3.7]"	3.08393108998528	-0.0423161075251787	-0.0594167080306209
1590	"NA_[1590_520.34_7.3]"	3.05960216914595	-0.0173543689063945	-0.0152362568736909
2117	"NA_[2117_581.15_2.6]"	3.05905964553507	-0.0351593760224437	-0.0450000656619066
5439	"NA_[5439_581.15_2.6]"	3.00769578663658	-0.0350414782725825	-0.0448251600358939
2602	"3-(indol-3-yl)lactic acid_[2602_188.07_2]"	2.98204530681146	-0.0374913278759426	0.0160989485177394
2168	"DL-Stachydrine_[2168_144.1_1.5]"	2.9628712439431	-0.0115767009170028	-0.0294118137035799
3355	"phosphocholine_[3355_184.07_0.6]"	2.94134607168383	-0.0413941968792156	0.0227961984527972
5409	"NA_[5409_266.16_2.1]"	2.9085410836471	-0.0485831866118841	0.070072263125877
4826	"trimazosin_[4826_436.22_3.4]"	2.87930008342992	-0.0485769994463758	0.0751192563939997
4203	"3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid_[4203_177.05_2.4]"	2.87028930436325	-0.0375020501624403	-0.0445432468317949
5584	"NA_[5584_235.17_1.5]"	2.85458532721123	-0.0347030131200055	-0.0435114694534199
480	"N-methylnicotinic acid_[480_138.06_1.6]"	2.82194129157401	-0.0431673657262476	0.0178026399969063
1710	"NA_[1710_214.92_0.5]"	2.8152523552702	-0.00540685950793596	-0.0120364668217879
1265	"NA_[1265_226.25_5.5]"	2.76282844424737	-0.00363518944567921	-0.0141748177847921
4437	"N-(4-Aminobutyl)-3-(3,4-dihydroxyphenyl)prop-2-enamide_[4437_251.14_1.9]"	2.741764486595	-0.0340519351844537	-0.0111819727572858
4216	"NA_[4216_230.99_0.8]"	2.71474877343263	-0.0358267529112937	-0.00609996278068797
4869	"NA_[4869_273.12_0.6]"	2.61429829094988	-0.0307397859402901	-0.0396292296341809
5462	"NA_[5462_544.34_7.3]"	2.5782445699355	-0.00437154485854138	-0.0211389023109223
5146	"L-Glutathione (reduced)_[5146_308.09_0.8]"	2.5741469788016	-0.0346454702419609	-0.0247940809229523
4766	"4-hydroxy-3-methoxycinnamoylagmatine_[4766_307.18_2.3]"	2.52959841664396	-0.039425499864897	0.0492182704358752
1716	"NA_[1716_230.99_0.8]"	2.43978895261769	-0.0324145742148088	-0.00442881072798607
