	biodynamique_vs_conventional purely mineral fertilization_fold_change_log2	biodynamique_vs_conventional purely mineral fertilization_p_value
4-hydroxystyrene	-0.344107497131888	0.246810136379269
N-(6-aminohexanoyl)-6-aminohexanoic acid	0.400314266784968	0.102841526777351
Elaidolinolenic acid	-0.101192007270319	0.706619302226331
9-(methylsulfinyl)nonanoic acid	-0.532980656485895	0.0368732739969051
1-[(9E)-octadecenoyl]glycerol	-0.0388078998206762	0.903357830706664
2-hydroxyemodic acid	-0.387326664934166	0.241596249534908
Hibiscitrin	-0.429367992067716	0.168790242350618
sinapyl alcohol	-0.179273081730853	0.537673326059689
Serinyl-Phenylalanine	-0.268785136727206	0.356705703752782
1-isothiocyanato-6-(methylsulfinyl)hexane	-0.12978721005979	0.570824187885062
hexane-1,2,3,4,5,6-hexol	-0.552945841845776	0.0313953723449711
sanguinarine	-0.321928094887362	0.355917683749582
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.0134112713748519	0.963217191315557
heptaethylene glycol	0.130942464967087	0.536852678757036
trimazosin	-0.282421462339638	0.297095138887904
Methyl 2-octynoate	-0.134668966589764	0.612951116188488
bufotenin	-0.321928094887362	0.355917683749582
6-{[5-(p-nitrophenoxy)-5-oxopentanoyl]amino}hexanoic acid	-0.14916291596521	0.648885767634642
morin	-0.454777463252414	0.146288338555285
1,5-anhydro-1-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-6-yl]hexitol	0.183757402108089	0.561028234955895
caffeic acid	-0.317075475228313	0.275228620095866
2-(3,4-Dihydroxyphenyl)-8-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-4-yl]-4-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]-3,4-dihydro-2H-chromene-3,5,7-triol	-0.321928094887362	0.355917683749582
N-(4-aminobutyl)-3-(3,4-dihydroxyphenyl)propanimidic acid	-0.321928094887362	0.355917683749582
2-acetamido-3-(4-methoxyphenyl)propanoic acid	-0.344702389987242	0.310311169084102
sinapic acid	-0.136787260229329	0.584085602520454
quercetin	-0.361065129196866	0.282187730776246
15-hydroxypentadecanoic acid	-0.201306276734142	0.505097195965802
N-Phenylacetylaspartic acid	-0.171862515487789	0.560606660845549
