"feature_id_full","feature_id","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"4029_489.31_3.9",4029,489.314016324769,3.85857190280374,0.00015881749918244,3.79910164687323,1.73582043411535,0.795617712638213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3465_445.29_3.7",3465,445.28832575826,3.74114467079646,0.000507211277567617,3.29481109871675,1.60189612192836,0.679780596412146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24_348.72_3.5",24,348.722459825605,3.45581344745763,0.000590900336831821,3.22848576245872,1.5524920488908,0.634585879682352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3083_476.31_2.9",3083,476.306753577501,2.94547358373984,0.00162611989284602,2.78884743728937,1.52798844535024,0.61163363375394,"Alkaloids","Oligopeptides","Cyclic peptides","Netililn",NA,NA,"CCNC1CC(C(C(C1OC2C(C(C(CO2)(C)O)NC)O)O)OC3C(CC=C(O3)CN)N)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C21H41N5O7/c1-4-26-13-7-12(24)16(32-19-11(23)6-5-10(8-22)31-19)14(27)17(13)33-20-15(28)18(25-3)21(2,29)9-30-20/h5,11-20,25-29H,4,6-9,22-24H2,1-3H3","CIDUJQMULVCIBT"
"4274_511.33_3.9",4274,511.327516298812,3.91131502972973,0.00176574734410275,2.75307143830765,1.47573984938178,0.561438418494317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3790_467.3_3.8",3790,467.301368083533,3.80131652975207,0.00190303562324474,2.72055308200525,1.55764551647802,0.639366947258726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322_195.07_1.8",322,195.06533586559,1.81382337142857,0.00321827441715565,2.49237692705637,0.603888285651767,-0.727646407328413,"Terpenoids","Monoterpenoids","Iridoids monoterpenoids","(4aS,7aS)-1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",NA,"COc1ccc(C=CC(=O)O)cc1O","C1C=C(C2C1C(=COC2O)C(=O)O)CO",NA,NA,NA,NA,"QURCVMIEKCOAJU","InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)","QURCVMIEKCOAJU-UHFFFAOYSA-N","InChI=1S/C10H12O5/c11-3-5-1-2-6-7(9(12)13)4-15-10(14)8(5)6/h1,4,6,8,10-11,14H,2-3H2,(H,12,13)","SLUWJPWHBUWROV"
"1413_416.26_3.6",1413,416.264404961684,3.59871218695652,0.00460837349437828,2.33645232993767,0.698224771025342,-0.518236554379557,"Polyketides","Linear polyketides","Open-chain polyketides","null",NA,NA,"CC1C(OC(CC1=C)(CC(=O)NCC2CC(C(C(O2)CC(CO)O)(C)C)O)O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C21H37NO7/c1-12-8-21(27,29-14(3)13(12)2)9-19(26)22-10-16-7-17(25)20(4,5)18(28-16)6-15(24)11-23/h13-18,23-25,27H,1,6-11H2,2-5H3,(H,22,26)","YWJZKKGHAWXBLL"
"74_225.08_4",74,225.075606689917,3.960327568,0.00653162318067387,2.18497887832523,1.59027546574189,0.669276689181363,"Polyketides","Meroterpenoids","Simple cyclic polyketides","Trinexapac","C(C1)C1C(O)=C(C(=O)CC2C(=O)O)C(=O)C2","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)/b10-9-",NA,"DFFWZNDCNBOKDI-UHFFFAOYSA-N","DFFWZNDCNBOKDI","PCMORTLOPMLEFB","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI"
"2955_432.26_3.1",2955,432.25902087924,3.08476279615385,0.00663576788263735,2.1781088138853,0.6449387305476,-0.632765984481232,"Alkaloids","Lysine alkaloids","Piperidine alkaloids","null",NA,NA,"CC(C)NC(=O)NC1CC2C(=O)NCC(N2C1)CCC(=O)NCC3=CC=C(C=C3)OC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C22H33N5O4/c1-14(2)25-22(30)26-16-10-19-21(29)24-12-17(27(19)13-16)6-9-20(28)23-11-15-4-7-18(31-3)8-5-15/h4-5,7-8,14,16-17,19H,6,9-13H2,1-3H3,(H,23,28)(H,24,29)(H2,25,26,30)","LTHPPKCJRYGNCC"
