"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","biodynamique_vs_conventional purely mineral fertilization_p_value","biodynamique_vs_conventional purely mineral fertilization_p_value_minus_log10","biodynamique_vs_conventional purely mineral fertilization_fold_change","biodynamique_vs_conventional purely mineral fertilization_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","biodynamique","biodynamique.pval","conventional.purely.mineral.fertilization","conventional.purely.mineral.fertilization.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
24,"24_348.72_3.5","NA_[24_348.72_3.5]",348.722459825605,3.45581344745763,0.000590900336831821,3.22848576245872,1.5524920488908,0.634585879682352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67131567616219,0.0718562874251497,1.73727046020804,0.0419161676646707,1.71058924980998,0.0678642714570858,0.0355,0.42315369261477
74,"74_225.08_4","NA_[74_225.08_4]",225.075606689917,3.960327568,0.00653162318067387,2.18497887832523,1.59027546574189,0.669276689181363,"Trinexapac",NA,NA,0.753992698734823,-25.2212522107409,64.6201219279393,1,"InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)","DFFWZNDCNBOKDI","C11H12O5","[M + H]+","C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O","Polyketides","Simple cyclic polyketides","Meroterpenoids","224.068473484","InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+","PCMORTLOPMLEFB-ONEGZZNKSA-N","PCMORTLOPMLEFB","COc1cc(/C=C/C(=O)O)cc(OC)c1O","C11H12O5","Sinapic acid","http://www.wikidata.org/entity/Q417527","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Coumarins","Cinnamic acids and derivatives","Solanum tuberosum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Solaneae']","['Solanum']","['Solanum tuberosum']","nan","494835.0","http://www.wikidata.org/entity/Q10998",9,1.41705050316284,0.0918163672654691,1.34406227991274,0.135728542914172,1.38942503594182,0.13373253493014,0.0365,0.441117764471058
84,"84_165.05_4.1","3-(3,4-dihydroxyphenyl)propanoic acid_[84_165.05_4.1]",165.054659563763,4.09012826764706,0.0389721511188236,1.4092456220941,0.637482838144581,-0.649541591593481,"bmse000680","3-(3,4-dihydroxyphenyl)propanoic acid","CHEBI:48400",0.20608820281032,-111.307430514748,115.988084967687,1,"InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)","DZAUWHJDUNRCTF","C9H10O4","[M - H2O + H]+","C1=CC(=C(C=C1CCC(=O)O)O)O","Polyketides","Simple phenolic acids","Cyclic polyketides","164.047344116","InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+","NGSWKAQJJWESNS-ZZXKWVIFSA-N","NGSWKAQJJWESNS","O=C(O)/C=C/c1ccc(O)cc1","C9H8O3","4-Hydroxycinnamic acid","http://www.wikidata.org/entity/Q99374","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Simple phenolic acids","Globularia alypum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Globularieae']","['Globularia']","['Globularia alypum']","nan","5921385.0","http://www.wikidata.org/entity/Q3109037",6,1.00100150250438,0.18562874251497,1.00100150250438,0.183632734530938,1.00100150250438,0.18562874251497,0.0195,0.55688622754491
95,"95_652.41_3.4","NA_[95_652.41_3.4]",652.410908933574,3.37077191967213,0.0424269413891063,1.37235827593343,1.38492476222134,0.46980760218166,"null",NA,NA,0.143065003015486,-695.651123576216,26.8423134539322,0.110050251256281,"InChI=1S/C36H59N3O5/c1-26-22-39(27(2)25-40)36(42)32-21-31(37-35(41)30-16-9-6-10-17-30)18-19-33(32)44-28(3)13-11-12-20-43-34(26)24-38(4)23-29-14-7-5-8-15-29/h18-19,21,26-30,34,40H,5-17,20,22-25H2,1-4H3,(H,37,41)","NILCQTKEVAIMRT","C36H59N3O5","[M + K]+","CC1CCCCOC(C(CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3CCCCC3)C(C)CO)C)CN(C)CC4CCCCC4","Terpenoids","Pregnane steroids","Steroids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26693979201741,0.111776447105788,1.34406227991274,0.109780439121756,1.40275209380409,0.105788423153693,0.0235,0.710578842315369
136,"136_221.04_1.4","NA_[136_221.04_1.4]",221.041944659259,1.35565837972973,0.0105359978615309,1.97732432619409,0.679067345376813,-0.558373436436188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.245508982035928,1.00100150250438,0.241516966067864,1.00100150250438,0.251497005988024,0.0275,0.528942115768463
240,"240_183.09_0.7","hexane-1,2,3,4,5,6-hexol_[240_183.09_0.7]",183.086278461492,0.74251660539823,0.0312717537775676,1.50484776203938,0.693552941901148,-0.52792208097151,"Sorbogem","hexane-1,2,3,4,5,6-hexol","CHEBI:125392",0.861925203155878,-1.62829574948428,97.1592427557228,1,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA","C6H14O6","[M + H]+","C(C(C(C(C(CO)O)O)O)O)O","Carbohydrates","Monosaccharides","Saccharides","182.079038168","InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-","FBPFZTCFMRRESA-GUCUJZIJSA-N","FBPFZTCFMRRESA","OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO","C6H14O6","Galactitol","http://www.wikidata.org/entity/Q420367","Carbohydrates","Saccharides","Carbohydrates","Saccharides","Disaccharides","Veronica hederifolia","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Veroniceae']","['Veronica']","['Veronica hederifolia']","nan","502001.0","http://www.wikidata.org/entity/Q158319",9,1.41705050316284,0.0798403193612774,1.41705050316284,0.0858283433133733,1.41705050316284,0.0958083832335329,0.0285,0.63872255489022
241,"241_425.18_3","NA_[241_425.18_3]",425.179180734028,3.03011491538461,0.025558127489874,1.59247096782993,0.687680461734092,-0.540189738329902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.582834331337325,0,0.570858283433134,0,0.534930139720559,0.0275,0.646706586826347
248,"248_296.2_4.2","phenyl-[1-(2-phenylethyl)-4-piperidinyl]methanol_[248_296.2_4.2]",296.200685501831,4.243088275,0.0319105366068522,1.49606589265903,0.621398684855048,-0.686408906783108,"Glemanserin","phenyl-[1-(2-phenylethyl)-4-piperidinyl]methanol","CHEBI:91790",0.204821909943486,-105.314537767999,42.3956067799905,0.998994974874372,"InChI=1S/C20H25NO/c22-20(18-9-5-2-6-10-18)19-12-15-21(16-13-19)14-11-17-7-3-1-4-8-17/h1-10,19-20,22H,11-16H2","AXNGJCOYCMDPQG","C20H25NO","[M + H]+","C1CN(CCC1C(C2=CC=CC=C2)O)CCC3=CC=CC=C3","Alkaloids","Piperidine alkaloids","Lysine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.746506986027944,0,0.772455089820359,0,0.706586826347305,0.0265,0.229540918163673
300,"300_344.13_3.4","NA_[300_344.13_3.4]",344.133066813527,3.411591975,0.0486866485261047,1.31259012023158,0.688778044616681,-0.537888938545553,"Bauhinin",NA,NA,0.15788550503829,-199.994122760338,79.2451876235612,1,"InChI=1S/C15H21NO8/c1-22-8-3-2-7(4-5-16)14(11(8)19)24-15-13(21)12(20)10(18)9(6-17)23-15/h2-4,8-15,17-21H,6H2,1H3","LZYYZVIACZQHFH","C15H21NO8","[M + H]+","COC1C=CC(=CC#N)C(C1O)OC2C(C(C(C(O2)CO)O)O)O","Amino acids and Peptides","Cyanogenic glycosides","Amino acid glycosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34406227991274,0.0738522954091816,1.41705050316284,0.0459081836327345,1.40275209380409,0.0598802395209581,0.0305,0.249500998003992
322,"322_195.07_1.8","NA_[322_195.07_1.8]",195.06533586559,1.81382337142857,0.00321827441715565,2.49237692705637,0.603888285651767,-0.727646407328413,"(4aS,7aS)-1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",NA,NA,0.42219975102115,-91.3067268795443,109.643289274756,1,"InChI=1S/C10H12O5/c11-3-5-1-2-6-7(9(12)13)4-15-10(14)8(5)6/h1,4,6,8,10-11,14H,2-3H2,(H,12,13)","SLUWJPWHBUWROV","C10H12O5","[M - H2O + H]+","C1C=C(C2C1C(=COC2O)C(=O)O)CO","Terpenoids","Iridoids monoterpenoids","Monoterpenoids","194.0579088","InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)","QURCVMIEKCOAJU-UHFFFAOYSA-N","QURCVMIEKCOAJU","COc1ccc(C=CC(=O)O)cc1O","C10H10O4","3-(3-Hydroxy-4-methoxyphenyl)prop-2-enoic acid","http://www.wikidata.org/entity/Q105228379","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","nan","nan","nan","Digitalis ferruginea","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Lamiales']","['Plantaginaceae']","['Digitalideae']","['Digitalis']","['Digitalis ferruginea']","nan","644418.0","http://www.wikidata.org/entity/Q161356",6,1.34406227991274,0.0918163672654691,1.38942503594182,0.0738522954091816,1.37457856297529,0.0958083832335329,0.0325,0.333333333333333
